# PAGES2kv2_Ant-PlateauRemot_Cole-Dai_1996LMR17 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Ant-PlateauRemot_Cole-Dai_1996LMR17 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Ahmed, Moinuddin,Anchukaitis, Kevin J.,Asrat, Asfawossen,Borgaonkar, Hemant P.,Braida, Martina,Buckley, Brendan M.,Büntgen, Ulf,Chase, Brian M.,Christie, Duncan A.,Cook, Edward R.,Curran, Mark A. J.,Diaz, Henry F.,Esper, Jan,Fan, Ze-Xin,Gaire, Narayan P.,Ge, Quansheng,Gergis, Joëlle,González-Rouco, J Fidel,Goosse, Hugues,Grab, Stefan W.,Graham, Nicholas,Graham, Rochelle,Grosjean, Martin,Hanhijärvi, Sami T.,Kaufman, Darrell S.,Kiefer, Thorsten,Kimura, Katsuhiko,Korhola, Atte A.,Krusic, Paul J.,Lara, Antonio,Lézine, Anne-Marie,Ljungqvist, Fredrik C.,Lorrey, Andrew M.,Luterbacher, Jürg,Masson-Delmotte, Valérie,McCarroll, Danny,McConnell, Joseph R.,McKay, Nicholas P.,Morales, Mariano S.,Moy, Andrew D.,Mulvaney, Robert,Mundo, Ignacio A.,Nakatsuka, Takeshi,Nash, David J.,Neukom, Raphael,Nicholson, Sharon E.,Oerter, Hans,Palmer, Jonathan G.,Phipps, Steven J.,Prieto, Maria R.,Rivera, Andres,Sano, Masaki,Severi, Mirko,Shanahan, Timothy M.,Shao, Xuemei,Shi, Feng,Sigl, Michael,Smerdon, Jason E.,Solomina, Olga N.,Steig, Eric J.,Stenni, Barbara,Thamban, Meloth,Trouet, Valerie,Turney, Chris S.M.,Umer, Mohammed,van Ommen, Tas,Verschuren, Dirk,Viau, Andre E.,Villalba, Ricardo,Vinther, Bo M.,von Gunten, Lucien,Wagner, Sebastian,Wahl, Eugene R.,Wanner, Heinz,Werner, Johannes P.,White, James W.C.,Yasue, Koh,Zorita, Eduardo
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Ahmed, Moinuddin,Anchukaitis, Kevin J.,Asrat, Asfawossen,Borgaonkar, Hemant P.,Braida, Martina,Buckley, Brendan M.,Büntgen, Ulf,Chase, Brian M.,Christie, Duncan A.,Cook, Edward R.,Curran, Mark A. J.,Diaz, Henry F.,Esper, Jan,Fan, Ze-Xin,Gaire, Narayan P.,Ge, Quansheng,Gergis, Joëlle,González-Rouco, J Fidel,Goosse, Hugues,Grab, Stefan W.,Graham, Nicholas,Graham, Rochelle,Grosjean, Martin,Hanhijärvi, Sami T.,Kaufman, Darrell S.,Kiefer, Thorsten,Kimura, Katsuhiko,Korhola, Atte A.,Krusic, Paul J.,Lara, Antonio,Lézine, Anne-Marie,Ljungqvist, Fredrik C.,Lorrey, Andrew M.,Luterbacher, Jürg,Masson-Delmotte, Valérie,McCarroll, Danny,McConnell, Joseph R.,McKay, Nicholas P.,Morales, Mariano S.,Moy, Andrew D.,Mulvaney, Robert,Mundo, Ignacio A.,Nakatsuka, Takeshi,Nash, David J.,Neukom, Raphael,Nicholson, Sharon E.,Oerter, Hans,Palmer, Jonathan G.,Phipps, Steven J.,Prieto, Maria R.,Rivera, Andres,Sano, Masaki,Severi, Mirko,Shanahan, Timothy M.,Shao, Xuemei,Shi, Feng,Sigl, Michael,Smerdon, Jason E.,Solomina, Olga N.,Steig, Eric J.,Stenni, Barbara,Thamban, Meloth,Trouet, Valerie,Turney, Chris S.M.,Umer, Mohammed,van Ommen, Tas,Verschuren, Dirk,Viau, Andre E.,Villalba, Ricardo,Vinther, Bo M.,von Gunten, Lucien,Wagner, Sebastian,Wahl, Eugene R.,Wanner, Heinz,Werner, Johannes P.,White, James W.C.,Yasue, Koh,Zorita, Eduardo
#	Published_Date_or_Year: 
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 10.1038/NGEO1797
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Plateau Remote
#	Location: 
#	Country: 
#	Northernmost_Latitude: -84
#	Southernmost_Latitude: -84
#	Easternmost_Longitude: 43
#	Westernmost_Longitude: 43
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Ant-PlateauRemot_Cole-Dai_1996LMR17
#	Earliest_Year: 2
#	Most_Recent_Year: 1985
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##d18O	oxygen isotope ratio, , , permil, "[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]", Ice Cores, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	d18O
1985	-54.383539346
1984	-54.5897084219
1983	-56.2466066014
1982	-54.5344893887
1981	-55.2941802723
1980	-51.8716313366
1979	-52.3945040203
1978	-55.8373705239
1977	-57.1222457329
1976	-54.8458731602
1975	-56.7250253974
1974	-56.9911522536
1973	-56.3558343985
1972	-54.8719655818
1971	-55.0556672811
1970	-54.8309912529
1969	-54.3878278823
1968	-53.9472932511
1967	-54.1581102838
1966	-54.3248272645
1965	-56.3779341822
1964	-57.2043059763
1963	-55.6804867531
1962	-55.3230409614
1961	-52.9699181387
1960	-52.2671681444
1959	-52.5197090781
1958	-52.4283512439
1957	-54.1669709626
1956	-56.8789811269
1955	-56.8553153488
1954	-53.1425014408
1953	-51.8499251562
1952	-53.4488387626
1951	-56.9080972617
1950	-57.8171594483
1949	-55.5723275688
1948	-52.229650908
1947	-54.4959601293
1946	-56.1022961452
1945	-56.7197319063
1944	-57.1470487123
1943	-57.561662934
1942	-56.7455929475
1941	-54.3742220351
1940	-51.7323030914
1939	-50.9435239768
1938	-54.330256842
1937	-55.6053872114
1936	-54.6739649164
1935	-52.6401586919
1934	-51.6024100157
1933	-54.2222911663
1932	-56.4279069179
1931	-57.9258179051
1930	-58.2034457044
1929	-57.0034396371
1928	-54.7025096635
1927	-53.3655772034
1926	-53.8805052502
1925	-55.3898673395
1924	-56.3733943518
1923	-54.9952015313
1922	-53.5050619538
1921	-51.7800592313
1920	-50.2708392686
1919	-54.2570543091
1918	-54.6265008548
1917	-51.5269479557
1916	-52.2353190421
1915	-54.1145023522
1914	-54.9926503895
1913	-56.6008561776
1912	-56.8024921322
1911	-55.394915536
1910	-55.2660949914
1909	-53.1549631991
1908	-51.1628658505
1907	-49.6592683431
1906	-50.9234084269
1905	-53.8107934872
1904	-56.2708105223
1903	-56.4790412093
1902	-55.5034176276
1901	-55.6578157343
1900	-57.1904453436
1899	-55.0716352132
1898	-53.9012350543
1897	-55.7419186083
1896	-55.3713553656
1895	-52.4000132058
1894	-50.7016469421
1893	-52.6509020817
1892	-54.1931082625
1891	-54.8815359146
1890	-54.9957284279
1889	-54.7644849418
1888	-54.7479813356
1887	-54.7242582784
1886	-52.7694660971
1885	-50.6342188259
1884	-52.5468985492
1883	-53.1584709125
1882	-54.4773454261
1881	-54.377010612
1880	-54.71
1879	-54.94732604
1878	-55.5200652589
1877	-55.2736157805
1876	-53.0914583389
1875	-51.4747874644
1874	-52.7907019433
1873	-55.5252795527
1872	-57.3464975246
1871	-57.9262637393
1870	-56.5463003284
1869	-53.6661833565
1868	-54.0804152159
1867	-55.6632313584
1866	-52.923767298
1865	-52.626302693
1864	-53.4221093061
1863	-54.0790718449
1862	-54.5938024758
1861	-55.0761756439
1860	-55.7457519573
1859	-56.0463146929
1858	-56.8057346963
1857	-55.7447070655
1856	-53.866011441
1855	-55.510155698
1854	-58.9052451722
1853	-59.2562608987
1852	-58.0669642464
1851	-56.8062895381
1850	-57.3942139017
1849	-56.305592445
1848	-56.7532223922
1847	-56.332198135
1846	-53.6312359088
1845	-53.3624570716
1844	-52.1579927812
1843	-52.7118913861
1842	-54.1138191728
1841	-55.0106513701
1840	-52.3735997543
1839	-52.9127829784
1838	-55.7011281542
1837	-54.7394047028
1836	-53.88
1835	-54.4274370997
1834	-57.3770324854
1833	-55.8749262448
1832	-55.001395012
1831	-52.6619131211
1830	-52.5089343558
1829	-53.3376122039
1828	-55.0449301929
1827	-56.0436218455
1826	-57.3273177469
1825	-57.92983715
1824	-57.3860378694
1823	-57.5111315405
1822	-55.7596760844
1821	-54.5238180967
1820	-55.9859194793
1819	-56.0670714736
1818	-55.2383663203
1817	-53.781226893
1816	-53.8848909164
1815	-54.436778802
1814	-54.6950229717
1813	-53.8427953148
1812	-55.5049565377
1811	-57.9992542843
1810	-57.8431013637
1809	-55.4004096956
1808	-52.1326429702
1807	-50.6419926141
1806	-47.8918461941
1805	-51.2389572153
1804	-55.6417474991
1803	-56.7168620837
1802	-56.8931915854
1801	-56.6095600178
1800	-57.1955241143
1799	-57.8313660851
1798	-57.4466447468
1797	-56.3933516928
1796	-55.847771722
1795	-54.7012191006
1794	-53.1600275345
1793	-52.5592815661
1792	-51.1893956915
1791	-51.6022655895
1790	-53.8103651742
1789	-54.6094187611
1788	-55.1756861117
1787	-56.2167252049
1786	-57.0090218552
1785	-56.9746800553
1784	-57.3897977385
1783	-57.98
1782	-57.7315630453
1781	-55.9132244239
1780	-53.4738741881
1779	-52.9913736251
1778	-54.8064538957
1777	-56.0019371131
1776	-54.8657279849
1775	-53.0933444569
1774	-52.7678843866
1773	-53.221450753
1772	-51.5966112956
1771	-49.7282093952
1770	-50.7530483229
1769	-53.1379562723
1768	-54.2635591896
1767	-55.8327663267
1766	-56.4239228152
1765	-57.4620532505
1764	-57.477388495
1763	-57.9984184015
1762	-57.6417730562
1761	-56.2857734301
1760	-53.9610796406
1759	-52.8195177633
1758	-54.3730966732
1757	-55.0680487555
1756	-52.7207073565
1755	-50.7272467333
1754	-50.3264269513
1753	-51.2807140926
1752	-53.9674782638
1751	-55.2625753884
1750	-55.1718961783
1749	-53.4588884571
1748	-53.201551563
1747	-52.1565492902
1746	-50.530004834
1745	-51.3216601108
1744	-54.3546621968
1743	-55.6990749385
1742	-55.1741617466
1741	-55.1610601356
1740	-56.0410438398
1739	-56.3156931917
1738	-55.6355664566
1737	-55.6057000819
1736	-55.3803806198
1735	-55.2382421155
1734	-56.0380458652
1733	-56.8470229032
1732	-57.4453919391
1731	-55.7937503827
1730	-52.3990974553
1729	-50.5352968742
1728	-51.7185797988
1727	-52.8438218731
1726	-53.2021557468
1725	-54.4332061194
1724	-55.2726939668
1723	-55.1292784394
1722	-54.9434360151
1721	-55.091324115
1720	-55.5614448848
1719	-55.4536984843
1718	-54.4144678096
1717	-53.706957733
1716	-52.7515203124
1715	-51.9302838095
1714	-52.7014883459
1713	-54.2994892375
1712	-55.373768443
1711	-55.7156165151
