# PAGES2kv2_Ant-WDC05A_Steig_2013LMR33 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Ant-WDC05A_Steig_2013LMR33 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Steig, Eric J.,Ding, Qinghua,White, James W. C.,Küttel, Marcel,Rupper, Summer B.,Neumann, Thomas A.,Neff, Peter D.,Gallant, Ailie J. E.,Mayewski, Paul A.,Taylor, Kendrick C.,Hoffmann, Georg,Dixon, Daniel A.,Schoenemann, Spruce W.,Markle, Bradley R.,Fudge, Tyler J.,Schneider, David P.,Schauer, Andrew J.,Teel, Rebecca P.,Vaughn, Bruce H.,Burgener, Landon,Williams, Jessica,Korotkikh, Elena
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Steig, Eric J.,Ding, Qinghua,White, James W. C.,Küttel, Marcel,Rupper, Summer B.,Neumann, Thomas A.,Neff, Peter D.,Gallant, Ailie J. E.,Mayewski, Paul A.,Taylor, Kendrick C.,Hoffmann, Georg,Dixon, Daniel A.,Schoenemann, Spruce W.,Markle, Bradley R.,Fudge, Tyler J.,Schneider, David P.,Schauer, Andrew J.,Teel, Rebecca P.,Vaughn, Bruce H.,Burgener, Landon,Williams, Jessica,Korotkikh, Elena
#	Published_Date_or_Year: 
#	Published_Title: Recent climate and ice-sheet changes in West Antarctica compared with the past 2,000 years
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 10.1038/NGEO1778
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: WDC05A
#	Location: 
#	Country: 
#	Northernmost_Latitude: -79.46
#	Southernmost_Latitude: -79.46
#	Easternmost_Longitude: -112.09
#	Westernmost_Longitude: -112.09
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Ant-WDC05A_Steig_2013LMR33
#	Earliest_Year: 786
#	Most_Recent_Year: 2004
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"duplicate":"05WAIS01.txt"} {"database":"PAGES2"}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##d18O	oxygen isotope ratio, , , permil, "[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]", Ice Cores, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	d18O
2004	-35.6732429257
2003	-33.1574311278
2002	-34.2853975853
2001	-34.4030784888
2000	-32.8941728176
1999	-35.0951081142
1998	-31.7643686992
1997	-32.9773277498
1996	-32.7068366115
1995	-33.8327036934
1994	-32.5144714656
1993	-32.6122156871
1992	-32.5273188207
1991	-32.8673780269
1990	-33.9900843237
1989	-34.243837912
1988	-32.9162235029
1987	-33.0025220507
1986	-37.1462866107
1985	-35.2845548844
1984	-34.6864060714
1983	-33.28203857
1982	-33.0691689796
1981	-34.7731101808
1980	-32.6533362321
1979	-36.0741940001
1978	-36.1750535078
1977	-35.8718667347
1976	-33.3486978569
1975	-35.8300007985
1974	-35.3461489668
1973	-35.2133158513
1972	-34.9128244768
1971	-33.07501072
1970	-33.1402593768
1969	-35.7742063525
1968	-35.151532878
1967	-34.8335208069
1966	-32.0519633146
1965	-33.4918303094
1964	-33.8164390835
1963	-35.2887886983
1962	-35.7231793423
1961	-33.5201765176
1960	-34.4439449986
1959	-34.5361065628
1958	-36.678490714
1957	-32.8876206399
1956	-34.4578231434
1955	-34.0716516865
1954	-33.6196484748
1953	-34.4985074272
1952	-33.2588443997
1951	-34.0386013621
1950	-34.5100961456
1949	-33.246678025
1948	-34.9368667237
1947	-35.1963838784
1946	-33.0785480216
1945	-33.9693687819
1944	-33.5028453342
1943	-33.9284255031
1942	-35.2090921575
1941	-33.7068743158
1940	-31.0914818682
1939	-33.7697088609
1938	-33.6282830112
1937	-34.3758082179
1936	-34.6806784173
1935	-34.3250077046
1934	-34.6705859875
1933	-33.811413664
1932	-33.8858925229
1931	-33.9430560334
1930	-34.1506768793
1929	-34.9276627431
1928	-33.3264630609
1927	-34.4087507996
1926	-32.5112640228
1925	-33.9569649157
1924	-35.7288259763
1923	-34.0720000014
1922	-34.5137622474
1921	-34.4868949833
1920	-33.2302881416
1919	-33.9462313087
1918	-33.9353799491
1917	-33.5483637407
1916	-34.1923830418
1915	-32.9854926656
1914	-34.7179963485
1913	-32.5329574
1912	-31.6818700984
1911	-33.0752970145
1910	-33.2142390529
1909	-34.5920014943
1908	-33.2968436961
1907	-34.592678426
1906	-34.7570851032
1905	-33.4732030071
1904	-32.4470801157
1903	-33.233773195
1902	-33.5882168613
1901	-33.121697435
1900	-33.4307821716
1899	-34.0399375069
1898	-33.6278331052
1897	-34.7209732712
1896	-33.6211535699
1895	-34.5987299751
1894	-35.5539576963
1893	-34.8496601485
1892	-35.1115815441
1891	-33.8350954692
1890	-34.5120185446
1889	-33.2284981985
1888	-31.2793411414
1887	-32.9104368499
1886	-34.0370108026
1885	-34.1498999199
1884	-34.2326096538
1883	-33.3888925828
1882	-33.583583065
1881	-34.599050485
1880	-34.8189031738
1879	-32.138448233
1878	-31.1594237829
1877	-31.5379015617
1876	-34.7671207053
1875	-35.4319616112
1874	-34.2248744416
1873	-34.6341568581
1872	-34.000422826
1871	-34.5298698668
1870	-35.8563572852
1869	-33.9812934616
1868	-34.2340533629
1867	-34.7122506193
1866	-34.2555501248
1865	-35.0483472877
1864	-35.5562920233
1863	-33.6108926763
1862	-33.6218463203
1861	-33.554402439
1860	-33.1644179435
1859	-34.4450699864
1858	-35.4381546987
1857	-33.2040698908
1856	-34.4001081525
1855	-33.5982286847
1854	-33.0517313861
1853	-34.156026125
1852	-34.4048180896
1851	-34.3623780285
1850	-34.8441642477
1849	-35.3001801163
1848	-34.1592060393
1847	-34.3419759461
1846	-34.657977768
1845	-33.8422145155
1844	-33.1874687426
1843	-34.7496388529
1842	-34.4269214303
1841	-35.7702451855
1840	-33.5106130599
1839	-32.8417763801
1838	-33.1401806381
1837	-33.7597978508
1836	-33.402166649
1835	-32.400585203
1834	-32.5490437371
1833	-33.6204452342
1832	-35.0905299252
1831	-34.6108973657
1830	-33.4609190714
1829	-33.2841656143
1828	-34.3457011168
1827	-34.4242928725
1826	-31.2772437641
1825	-32.5160617196
1824	-33.1588081344
1823	-35.0811947139
1822	-34.9033860376
1821	-35.1415853447
1820	-34.9955705349
1819	-33.5339605473
1818	-33.8863416381
1817	-33.2212398734
1816	-34.0531911836
1815	-33.0258741386
1814	-34.7453283988
1813	-34.0034891418
1812	-35.2046642144
1811	-35.1711655737
1810	-35.2436622062
1809	-35.3866975944
1808	-34.8836629235
1807	-35.1703912017
1806	-34.4765778114
1805	-34.043362285
1804	-34.620227808
1803	-32.1511506076
1802	-33.5392374836
1801	-35.0381048758
1800	-34.8902967557
1799	-33.7165163114
1798	-33.1337884658
1797	-33.9418103615
1796	-34.3760274653
1795	-34.1092754555
1794	-33.5718647811
1793	-33.4066930657
1792	-33.4957013831
1791	-33.4564272649
1790	-33.4866640121
1789	-35.7144014618
1788	-34.2261830345
1787	-33.5476800653
1786	-33.540806532
1785	-33.4819644544
1784	-33.6971829096
1783	-34.3413299403
1782	-34.8518630828
1781	-34.7194721994
1780	-34.3951477619
1779	-34.5031066394
1778	-35.2252269575
1777	-34.8471542684
1776	-32.3477970331
1775	-33.1048017956
1774	-33.2161398875
1773	-35.3888931977
1772	-33.3237652257
1771	-32.2256496698
1770	-33.168015297
1769	-34.1378025462
1768	-34.2770268276
1767	-33.403848673
1766	-33.442173084
1765	-32.2841077836
1764	-33.3544419112
1763	-33.0424251249
1762	-33.473196959
1761	-33.5870404007
1760	-33.870432399
1759	-34.5707416912
1758	-35.4397058567
1757	-34.306407968
1756	-34.7649590162
1755	-35.7786309331
1754	-34.8532604045
1753	-34.0559853262
1752	-33.6828183191
1751	-34.2036508672
1750	-33.2130370038
1749	-33.1867669991
1748	-35.1331142857
1747	-33.4043982211
1746	-33.2668292457
1745	-34.1870137209
1744	-34.4843413617
1743	-35.2314778827
1742	-35.1820055022
1741	-35.1600828046
1740	-36.3970474716
1739	-33.5633061613
1738	-32.3393351045
1737	-34.5661534623
1736	-33.0751960409
1735	-32.307169991
1734	-31.8757011885
1733	-33.6372874152
1732	-33.5665684689
1731	-34.4194712801
1730	-32.6364928855
1729	-32.9965635163
