# PAGES2kv2_Arc-Avam-Taimyr_Briffa_2008LMR41 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Arc-Avam-Taimyr_Briffa_2008LMR41 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Briffa, K. R,Shishov, V. V,Melvin, T. M,Vaganov, E. A,Grudd, H.,Hantemirov, R. M,Eronen, M.,Naurzbaev, M. M
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Briffa, K. R,Shishov, V. V,Melvin, T. M,Vaganov, E. A,Grudd, H.,Hantemirov, R. M,Eronen, M.,Naurzbaev, M. M
#	Published_Date_or_Year: 
#	Published_Title: Trends in recent temperature and radial tree growth spanning 2000 years across northwest Eurasia
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 10.1098/rstb.2007.2199
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Avam-Taimyr
#	Location: 
#	Country: 
#	Northernmost_Latitude: 72
#	Southernmost_Latitude: 72
#	Easternmost_Longitude: 101
#	Westernmost_Longitude: 101
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Arc-Avam-Taimyr_Briffa_2008LMR41
#	Earliest_Year: 0
#	Most_Recent_Year: 2000
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"correlation", "climateVariable":"T", "climateVariableDetail":"air-surface", "interpDirection":"positive", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
0	362
1	399
2	693
3	727
4	1148
5	606
6	75
7	620
8	597
9	657
10	478
11	747
12	722
13	1001
14	816
15	194
16	685
17	948
18	602
19	928
20	795
21	82
22	901
23	590
24	480
25	681
26	432
27	691
28	742
29	1025
30	424
31	193
32	1077
33	797
34	305
35	1089
36	464
37	403
38	471
39	660
40	603
41	788
42	1019
43	915
44	620
45	562
46	232
47	881
48	652
49	463
50	466
51	653
52	967
53	966
54	826
55	1114
56	1157
57	569
58	1066
59	865
60	862
61	1271
62	787
63	885
64	773
65	884
66	380
67	870
68	207
69	746
70	925
71	574
72	881
73	1166
74	1081
75	1070
76	1487
77	994
78	665
79	922
80	1308
81	1390
82	1116
83	1218
84	885
85	786
86	1237
87	1026
88	1254
89	1392
90	580
91	826
92	986
93	1070
94	539
95	738
96	1389
97	1181
98	960
99	830
100	1249
101	789
102	817
103	1093
104	1080
105	712
106	222
107	1067
108	659
109	300
110	1058
111	957
112	419
113	608
114	548
115	881
116	766
117	665
118	795
119	619
120	925
121	1000
122	1106
123	721
124	707
125	1196
126	883
127	807
128	1447
129	1292
130	1449
131	1459
132	990
133	491
134	953
135	948
136	1073
137	369
138	383
139	506
140	922
141	667
142	615
143	843
144	1018
145	801
146	662
147	1215
148	915
149	1162
150	816
151	1151
152	734
153	1283
154	886
155	1581
156	1320
157	1132
158	1433
159	588
160	1567
161	1330
162	843
163	352
164	803
165	1040
166	500
167	916
168	986
169	997
170	132
171	906
172	519
173	463
174	874
175	539
176	1111
177	731
178	902
179	1116
180	186
181	309
182	552
183	775
184	763
185	925
186	420
187	1056
188	477
189	641
190	686
191	758
192	363
193	791
194	842
195	834
196	534
197	697
198	541
199	316
200	700
201	344
202	515
203	567
204	765
205	1027
206	457
207	504
208	640
209	154
210	348
211	734
212	317
213	959
214	655
215	748
216	252
217	868
218	823
219	570
220	702
221	1139
222	1153
223	650
224	694
225	872
226	854
227	1286
228	622
229	923
230	852
231	1202
232	694
233	425
234	648
235	1238
236	1098
237	622
238	883
239	495
240	1183
241	749
242	1084
243	968
244	928
245	1364
246	1441
247	1911
248	1437
249	1886
250	1790
251	1756
252	1800
253	1892
254	776
255	878
256	1386
257	1299
258	1288
259	1292
260	881
261	1164
262	836
263	1058
264	1306
265	1512
266	798
267	1038
268	1315
269	1269
270	2216
271	720
272	1546
273	1814
274	1288
275	1173
276	1560
277	1141
278	1658
279	707
280	1403
281	1477
282	2527
283	1682
284	1768
285	1479
286	1203
287	1432
288	1056
289	774
290	817
291	1810
292	836
293	937
294	1296
295	1409
296	1729
297	946
298	456
299	1543
300	878
301	426
302	736
303	1219
304	1259
305	804
306	1361
307	1381
308	1269
309	937
310	1085
311	1209
