# PAGES2kv2_Arc-Crete_Vinther_2010LMR43 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Arc-Crete_Vinther_2010LMR43 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Vinther, B.M.,Jones, P.D.,Briffa, K.R.,Clausen, H.B.,Andersen, K.K.,Dahl-Jensen, D.,Johnsen, S.J.
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Vinther, B.M.,Jones, P.D.,Briffa, K.R.,Clausen, H.B.,Andersen, K.K.,Dahl-Jensen, D.,Johnsen, S.J.
#	Published_Date_or_Year: 
#	Published_Title: Climatic signals in multiple highly resolved stable isotope records from Greenland
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 10.1016/j.quascirev.2009.11.002
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Crete
#	Location: 
#	Country: 
#	Northernmost_Latitude: 71.12
#	Southernmost_Latitude: 71.12
#	Easternmost_Longitude: -37.32
#	Westernmost_Longitude: -37.32
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Arc-Crete_Vinther_2010LMR43
#	Earliest_Year: 553
#	Most_Recent_Year: 1973
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"duplicate":"10Cret01.txt"} {"database":"PAGES2"}{"climateInterpretation":{"basis":"correlation with instrumental", "climateVariable":"T", "climateVariableDetail":"air-suface", "interpDirection":"positive", "seasonality":"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##d18O	, , , permil, "[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]", Ice Cores, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	d18O
553	-33.58
554	-38.61
555	-34.39
556	-35.66
557	-36.22
558	-36.8
559	-35.51
560	-36.81
561	-35.6
562	-36.22
563	-38.08
564	-37.97
565	-37.3
566	-34.7
567	-37.15
568	-35.56
569	-36.3
570	-34.63
571	-38.88
572	-37.39
573	-37.24
574	-34.72
575	-40.36
576	-41.43
577	-37.13
578	-35.43
579	-35.46
580	-40.26
581	-37.16
582	-37.26
583	-36.79
584	-34.96
585	-37.5
586	-38.39
587	-37.88
588	-39.18
589	-38.07
590	-37.44
591	-38.56
592	-34.24
593	-35.6
594	-34.41
595	-34.88
596	-34.8
597	-33.76
598	-35.99
599	-32.63
600	-34.09
601	-35.03
602	-37.3
603	-37.71
604	-38.05
605	-37.52
606	-39.05
607	-33.26
608	-37.53
609	-36.85
610	-37.64
611	-38.57
612	-39.35
613	-35.83
614	-35.95
615	-37.94
616	-35.62
617	-35.93
618	-38.04
619	-38.51
620	-38.56
621	-37.41
622	-37.21
623	-35.64
624	-36.75
625	-35.04
626	-36.32
627	-38.68
628	-39.17
629	-37.59
630	-36.11
631	-35.67
632	-35.09
633	-39.29
634	-36.51
635	-35.0
636	-33.48
637	-38.77
638	-38.73
639	-36.01
640	-34.53
641	-36.76
642	-36.9
643	-37.73
644	-37.44
645	-35.0
646	-36.47
647	-37.67
648	-35.38
649	-38.86
650	-36.76
651	-36.35
652	-35.4
653	-36.88
654	-36.92
655	-37.87
656	-35.97
657	-34.73
658	-35.84
659	-35.92
660	-36.82
661	-36.37
662	-36.35
663	-35.79
664	-39.1
665	-36.52
666	-37.13
667	-35.42
668	-38.03
669	-37.48
670	-32.98
671	-35.74
672	-38.23
673	-35.64
674	-35.29
675	-37.88
676	-33.22
677	-36.84
678	-39.66
679	-38.75
680	-39.25
681	-37.6
682	-38.01
683	-37.38
684	-40.28
685	-37.09
686	-35.47
687	-38.35
688	-34.97
689	-37.14
690	-36.67
691	-39.49
692	-36.02
693	-38.55
694	-33.57
695	-35.59
696	-37.55
697	-38.39
698	-34.27
699	-35.16
700	-37.42
701	-36.06
702	-39.78
703	-36.35
704	-36.62
705	-37.21
706	-39.32
707	-37.12
708	-38.05
709	-39.53
710	-35.01
711	-35.78
712	-35.67
713	-37.29
714	-36.53
715	-37.76
716	-37.19
717	-36.4
718	-35.5
719	-36.67
720	-38.74
721	-37.78
722	-35.88
723	-36.42
724	-37.17
725	-34.14
726	-37.6
727	-35.0
728	-35.09
729	-36.65
730	-38.28
731	-34.43
732	-37.22
733	-37.01
734	-37.99
735	-34.9
736	-35.36
737	-37.73
738	-36.23
739	-36.03
740	-37.82
741	-32.45
742	-38.13
743	-38.32
744	-40.17
745	-35.08
746	-38.25
747	-35.69
748	-37.63
749	-36.6
750	-38.1
751	-33.66
752	-38.59
753	-38.42
