# PAGES2kv2_Arc-Dye_Vinther_2010LMR44 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Arc-Dye_Vinther_2010LMR44 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Vinther, B.M.,Jones, P.D.,Briffa, K.R.,Clausen, H.B.,Andersen, K.K.,Dahl-Jensen, D.,Johnsen, S.J.
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Vinther, B.M.,Jones, P.D.,Briffa, K.R.,Clausen, H.B.,Andersen, K.K.,Dahl-Jensen, D.,Johnsen, S.J.
#	Published_Date_or_Year: 
#	Published_Title: Climatic signals in multiple highly resolved stable isotope records from Greenland
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 10.1016/j.quascirev.2009.11.002
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Dye
#	Location: 
#	Country: 
#	Northernmost_Latitude: 65.18
#	Southernmost_Latitude: 65.18
#	Easternmost_Longitude: -43.83
#	Westernmost_Longitude: -43.83
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Arc-Dye_Vinther_2010LMR44
#	Earliest_Year: 1
#	Most_Recent_Year: 1978
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"duplicate":"10GDye01.txt"} {"database":"PAGES2"}{"climateInterpretation":{"basis":"correlation with instrumental", "climateVariable":"T", "climateVariableDetail":"air-suface", "interpDirection":"positive", "seasonality":"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##d18O	, , , permil, "[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]", Ice Cores, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	d18O
1	-27.91
2	-28.34
3	-27.76
4	-27.77
5	-28.17
6	-28.8
7	-29.35
8	-27.96
9	-27.41
10	-26.22
11	-27.52
12	-28.45
13	-30.55
14	-28.46
15	-26.96
16	-28.22
17	-29.17
18	-26.62
19	-26.51
20	-28.15
21	-30.48
22	-27.38
23	-28.8
24	-28.14
25	-28.44
26	-29.38
27	-27.43
28	-28.3
29	-26.74
30	-29.71
31	-28.77
32	-28.0
33	-27.53
34	-26.62
35	-28.83
36	-30.62
37	-28.41
38	-29.43
39	-28.49
40	-27.97
41	-28.39
42	-25.9
43	-28.2
44	-27.31
45	-28.46
46	-28.14
47	-29.79
48	-29.45
49	-27.59
50	-28.73
51	-27.61
52	-28.8
53	-26.7
54	-30.04
55	-29.28
56	-28.38
57	-27.96
58	-28.28
59	-27.82
60	-27.16
61	-28.85
62	-27.24
63	-27.23
64	-27.17
65	-28.94
66	-28.07
67	-27.48
68	-28.7
69	-27.73
70	-27.44
71	-29.66
72	-26.19
73	-29.21
74	-26.67
75	-27.05
76	-29.45
77	-27.13
78	-29.85
79	-27.2
80	-27.09
81	-27.07
82	-27.77
83	-29.71
84	-29.08
85	-28.82
86	-28.03
87	-29.34
88	-28.09
89	-26.74
90	-27.52
91	-27.96
92	-30.01
93	-27.39
94	-27.32
95	-28.74
96	-29.39
97	-28.2
98	-27.27
99	-28.31
100	-28.39
101	-28.53
102	-26.81
103	-27.85
104	-28.92
105	-29.75
106	-28.77
107	-28.11
108	-27.76
109	-28.19
110	-27.02
111	-29.25
112	-29.54
113	-27.63
114	-30.03
115	-29.44
116	-28.52
117	-26.27
118	-27.9
119	-29.78
120	-28.02
121	-27.13
122	-26.17
123	-27.94
124	-27.9
125	-27.75
126	-28.3
127	-27.37
128	-28.8
129	-28.76
130	-29.05
131	-25.63
132	-28.85
133	-27.32
134	-27.13
135	-26.78
136	-28.64
137	-28.48
138	-28.95
139	-28.09
140	-25.82
141	-28.24
142	-28.76
143	-27.91
144	-29.03
145	-27.6
146	-28.73
147	-28.22
148	-25.75
149	-27.67
150	-28.87
151	-28.18
152	-29.07
153	-30.2
154	-28.27
155	-28.35
156	-28.38
157	-29.11
158	-28.86
159	-28.33
160	-29.32
161	-28.59
162	-27.55
163	-27.78
164	-29.2
165	-26.71
166	-29.33
167	-31.16
168	-27.62
169	-28.87
170	-29.21
171	-27.06
172	-28.0
173	-28.2
174	-29.48
175	-29.22
176	-27.07
177	-27.76
178	-28.51
179	-29.12
180	-28.01
181	-29.32
182	-29.05
183	-29.3
184	-29.26
185	-29.15
186	-29.01
187	-28.71
188	-29.58
189	-25.8
190	-28.09
191	-28.68
192	-30.6
193	-29.15
194	-27.45
195	-27.63
196	-29.22
197	-28.37
198	-28.16
199	-27.88
200	-29.12
201	-30.03
202	-28.29
203	-29.22
204	-27.52
205	-28.86
206	-27.35
207	-28.39
208	-29.03
209	-28.3
210	-27.78
211	-28.33
212	-28.14
213	-28.56
214	-29.4
215	-29.19
216	-28.47
217	-30.98
218	-30.49
219	-29.1
220	-27.22
221	-27.97
222	-27.2
223	-27.14
224	-29.39
225	-28.02
226	-28.72
227	-29.22
228	-30.15
229	-28.55
230	-28.19
231	-27.3
232	-28.86
233	-28.01
234	-28.31
235	-30.22
236	-28.1
237	-27.71
238	-29.18
239	-27.01
240	-29.68
241	-28.15
242	-31.33
243	-28.82
244	-26.88
245	-26.47
246	-29.05
247	-28.04
248	-27.97
249	-27.14
250	-27.62
251	-28.75
252	-25.57
253	-27.48
254	-27.44
255	-27.45
256	-29.1
257	-30.64
258	-25.89
259	-25.79
260	-30.0
261	-28.88
262	-28.17
263	-27.87
264	-28.89
265	-29.2
266	-29.33
267	-29.22
268	-28.9
269	-28.52
270	-27.08
271	-27.83
272	-28.1
273	-28.79
274	-29.08
275	-26.71
276	-28.94
277	-28.67
278	-27.58
279	-28.25
280	-28.0
281	-29.19
282	-26.68
283	-29.0
284	-25.99
285	-28.21
286	-28.91
287	-30.24
288	-28.62
289	-29.86
290	-27.89
291	-27.76
292	-26.12
293	-28.74
294	-30.11
295	-29.01
296	-28.01
297	-28.66
298	-30.2
299	-26.28
300	-28.4
301	-28.91
302	-27.64
303	-30.41
304	-30.15
305	-29.67
306	-27.75
307	-31.0
308	-28.05
309	-27.66
310	-27.6
311	-28.05
312	-29.18
313	-29.06
314	-28.27
315	-28.1
316	-27.55
317	-28.71
318	-28.04
319	-30.64
320	-27.51
321	-29.23
322	-28.6
323	-31.08
324	-27.53
325	-29.65
326	-26.93
327	-26.08
328	-27.66
329	-30.29
330	-29.0
331	-27.82
332	-26.34
333	-26.9
334	-28.01
335	-28.84
336	-28.18
337	-28.67
338	-26.67
339	-27.09
340	-27.74
341	-28.78
342	-30.68
343	-28.96
344	-28.36
345	-29.99
346	-28.58
347	-29.05
348	-26.8
349	-27.53
350	-29.68
351	-30.13
352	-30.15
353	-28.77
354	-29.35
355	-28.82
356	-29.86
357	-28.23
358	-28.82
359	-29.32
360	-28.88
361	-26.83
362	-30.45
363	-28.77
364	-29.87
365	-27.53
366	-28.76
367	-27.75
368	-29.14
369	-29.17
370	-27.64
371	-29.53
372	-30.37
373	-29.31
374	-27.64
375	-27.01
376	-29.06
377	-28.41
378	-28.29
379	-29.55
380	-27.76
381	-26.95
382	-29.33
383	-29.74
384	-27.45
385	-28.75
386	-27.01
387	-28.26
388	-28.42
389	-29.16
390	-30.74
391	-30.8
392	-30.26
393	-28.6
394	-27.91
395	-29.53
396	-27.01
397	-30.36
398	-26.51
399	-28.18
400	-27.03
401	-26.45
402	-27.78
403	-27.4
404	-28.79
405	-28.31
406	-28.81
407	-29.3
408	-28.5
409	-29.24
410	-28.12
411	-27.85
412	-27.59
413	-27.43
414	-28.8
415	-28.46
416	-29.79
417	-27.59
418	-28.05
419	-28.64
420	-28.02
421	-27.73
422	-27.66
423	-27.46
424	-26.88
425	-28.08
426	-29.59
427	-28.79
428	-28.82
429	-29.44
430	-28.85
431	-28.95
432	-29.88
433	-28.13
434	-29.97
435	-28.87
436	-27.64
437	-28.04
438	-27.45
439	-27.93
440	-28.51
441	-28.74
442	-27.73
443	-27.54
444	-29.39
445	-28.33
446	-28.96
447	-29.01
448	-27.72
449	-28.56
450	-28.41
451	-28.66
452	-26.98
453	-28.87
454	-28.32
455	-26.43
456	-27.37
457	-26.36
458	-27.5
459	-29.27
460	-29.14
461	-27.15
462	-29.77
463	-28.68
464	-28.82
465	-28.24
466	-28.82
467	-28.88
468	-28.93
469	-29.73
470	-28.84
471	-27.95
472	-27.59
473	-29.35
474	-30.2
475	-28.73
476	-28.29
477	-30.2
478	-27.31
479	-27.75
480	-29.06
481	-29.94
482	-29.36
483	-27.75
484	-27.4
485	-29.52
486	-29.0
487	-27.55
488	-29.92
489	-29.29
490	-28.91
491	-27.79
492	-28.78
493	-31.72
494	-27.16
495	-29.78
496	-27.13
497	-28.43
498	-29.81
499	-28.19
500	-28.27
501	-29.96
502	-29.6
503	-28.47
504	-26.22
505	-28.97
506	-29.82
507	-28.87
508	-27.45
509	-28.85
510	-29.08
511	-29.1
512	-29.56
513	-26.37
514	-28.77
515	-28.48
516	-26.48
517	-29.5
518	-30.59
519	-28.96
520	-28.94
521	-28.19
522	-27.48
523	-29.72
524	-28.75
525	-25.96
526	-28.16
527	-27.79
528	-29.82
529	-28.86
530	-33.84
531	-29.64
532	-31.04
533	-29.38
534	-29.57
535	-29.5
536	-29.64
537	-29.09
538	-29.01
539	-28.37
540	-28.93
541	-28.96
542	-28.45
543	-27.89
544	-29.77
545	-28.29
546	-27.81
547	-30.18
548	-28.42
549	-30.19
550	-28.14
551	-28.08
552	-28.19
553	-26.59
554	-27.83
555	-26.36
556	-27.37
557	-29.39
558	-30.09
559	-27.52
560	-28.38
561	-28.72
562	-29.44
563	-29.19
564	-29.42
565	-28.59
566	-30.43
567	-28.75
568	-28.99
569	-27.71
570	-29.51
571	-29.46
572	-27.88
573	-28.57
574	-30.48
575	-31.89
576	-30.92
577	-28.16
578	-29.23
579	-28.1
580	-27.22
581	-27.52
582	-28.17
583	-27.54
584	-29.27
585	-28.91
586	-27.66
587	-29.57
588	-28.7
589	-30.58
590	-26.78
591	-30.2
592	-27.6
593	-26.65
594	-28.28
595	-27.4
596	-28.19
597	-27.56
598	-30.97
599	-28.73
600	-28.07
601	-28.6
602	-28.92
603	-29.09
604	-27.73
605	-27.29
606	-27.93
607	-29.49
608	-28.99
609	-29.85
610	-29.81
611	-28.79
612	-28.68
613	-31.51
614	-29.07
615	-28.35
616	-29.33
617	-28.49
618	-30.88
619	-30.33
620	-30.5
621	-29.55
622	-27.99
623	-27.19
624	-28.2
625	-27.76
626	-31.2
627	-27.68
628	-29.38
629	-29.74
630	-29.69
631	-29.52
632	-27.14
633	-29.2
634	-30.2
635	-28.51
636	-26.81
637	-30.39
638	-29.68
639	-28.48
640	-28.48
641	-30.04
642	-31.44
643	-27.7
644	-29.46
645	-27.52
646	-28.7
647	-30.42
648	-29.26
649	-30.04
650	-30.79
651	-30.25
652	-27.14
653	-27.37
654	-29.12
655	-27.81
656	-26.64
657	-28.17
658	-29.75
659	-29.86
660	-28.38
661	-28.54
662	-30.03
663	-28.89
664	-30.45
665	-26.02
666	-27.8
667	-29.29
668	-27.84
669	-28.36
670	-28.43
671	-28.96
672	-29.31
