# PAGES2kv2_Arc-LakeDonardBa_Moore_2001LMR57 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Lake Cores
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Arc-LakeDonardBa_Moore_2001LMR57 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Moore, J.J.,Hughen, K.A.,Miller, G.H.,Overpeck, J.T.
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Moore, J.J.,Hughen, K.A.,Miller, G.H.,Overpeck, J.T.
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 10.1023/A:1011181301514
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Lake Donard Baffin Island
#	Location: 
#	Country: 
#	Northernmost_Latitude: 66.73
#	Southernmost_Latitude: 66.73
#	Easternmost_Longitude: -61.35
#	Westernmost_Longitude: -61.35
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Arc-LakeDonardBa_Moore_2001LMR57
#	Earliest_Year: 752
#	Most_Recent_Year: 1992
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"duplicate":"01cana01a.txt"} {"database":"PAGES2"}{"climateInterpretation":{"basis":"regression 3yr average", "climateVariable":"T", "climateVariableDetail":"air-surface", "interpDirection":"positive", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##varve	laminated varve thickness, , , mm, , Lake Cores, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	varve
752	0.3
753	0.5
754	0.43
755	0.38
756	0.6
757	0.57
758	0.38
759	0.34
760	0.34
761	0.46
762	0.38
763	0.4
764	0.35
765	0.45
766	0.57
767	0.75
768	0.45
769	0.77
770	0.61
771	0.97
772	1.28
773	0.31
774	0.63
775	0.57
776	0.84
777	0.37
778	0.9
779	0.67
780	1.28
781	1.63
782	0.69
783	0.61
784	0.71
785	0.44
786	1.38
787	0.63
788	0.93
789	0.43
790	0.88
791	0.55
792	0.47
793	0.51
794	0.43
795	0.41
796	0.63
797	1.07
798	0.44
799	0.65
800	2.04
801	0.89
802	0.67
803	0.49
804	0.73
805	0.85
806	1.66
807	0.97
808	0.6
809	0.52
810	0.91
811	0.37
812	0.69
813	0.61
814	0.5
815	0.56
816	0.85
817	0.56
818	0.64
819	0.66
820	1.61
821	0.66
822	0.62
823	1.64
824	0.5
825	0.37
826	0.42
827	0.52
828	0.63
829	1.08
830	0.5
831	0.66
832	0.76
833	0.79
834	0.56
835	0.66
836	0.71
837	0.96
838	0.49
839	1.12
840	0.67
841	0.74
842	1.65
843	1.94
844	0.94
845	0.7
846	0.41
847	0.63
848	0.47
849	0.44
850	0.42
851	0.4
852	1.48
853	1.13
854	0.72
855	1.26
856	0.96
857	0.81
858	0.62
859	0.81
860	0.47
861	1.52
862	0.32
863	1.77
864	0.44
865	0.5
866	0.91
867	1.03
868	1.0
869	1.21
870	0.69
871	1.1
872	0.55
873	1.05
874	1.03
875	0.58
876	0.78
877	0.56
878	0.52
879	0.32
880	0.3
881	0.39
882	0.89
883	0.52
884	0.44
885	0.89
886	0.83
887	1.05
888	1.16
889	0.76
890	1.09
891	0.41
892	0.66
893	0.76
894	0.76
895	0.61
896	0.67
897	0.62
898	0.55
899	0.57
900	0.64
901	0.84
902	0.62
903	1.53
904	0.9
905	0.76
906	0.79
907	0.71
908	0.69
909	0.6
910	0.95
911	0.86
912	0.62
913	0.51
914	0.57
915	0.55
916	1.16
917	0.35
918	0.59
919	0.64
920	0.49
921	1.21
922	0.96
923	0.53
924	0.53
925	0.36
926	0.71
927	0.65
928	0.86
929	0.9
930	1.39
931	0.47
932	0.86
933	1.23
934	0.51
935	0.41
936	0.49
937	0.74
938	1.29
939	0.89
940	0.4
941	0.53
942	0.61
943	0.7
944	1.25
945	0.87
946	0.53
947	1.14
948	0.63
949	1.57
950	0.74
951	0.69
952	1.22
953	1.41
954	0.8
955	1.05
956	0.63
957	1.22
958	1.2
959	0.78
960	0.88
961	0.73
