# PAGES2kv2_Asia-22DLTLMR84 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Asia-22DLTLMR84 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: 
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: 
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: 
#	Location: 
#	Country: 
#	Northernmost_Latitude: 27.88
#	Southernmost_Latitude: 27.88
#	Easternmost_Longitude: 98.4
#	Westernmost_Longitude: 98.4
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Asia-22DLTLMR84
#	Earliest_Year: 1530
#	Most_Recent_Year: 2005
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"", "interpDirection":"positive", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1530	1.013
1531	0.832
1532	1.241
1533	1.375
1534	1.141
1535	0.848
1536	0.828
1537	0.84
1538	0.725
1539	0.855
1540	0.805
1541	0.796
1542	0.866
1543	0.918
1544	0.873
1545	0.948
1546	1.017
1547	1.023
1548	0.981
1549	0.837
1550	1.057
1551	0.935
1552	0.917
1553	1.171
1554	1.258
1555	1.171
1556	1.181
1557	1.196
1558	1.324
1559	1.168
1560	1.042
1561	1.322
1562	1.368
1563	1.308
1564	1.217
1565	1.075
1566	0.844
1567	1.28
1568	1.248
1569	1.256
1570	0.963
1571	0.857
1572	0.851
1573	0.745
1574	0.821
1575	0.899
1576	0.957
1577	0.905
1578	0.877
1579	0.742
1580	0.794
1581	0.643
1582	0.587
1583	0.765
1584	0.825
1585	1.08
1586	0.871
1587	0.896
1588	0.977
1589	0.885
1590	0.935
1591	0.843
1592	0.97
1593	1.109
1594	1.206
1595	0.939
1596	0.912
1597	0.726
1598	0.707
1599	0.58
1600	0.694
1601	0.764
1602	0.685
1603	0.678
1604	0.716
1605	0.858
1606	0.744
1607	0.964
1608	0.887
1609	0.962
1610	0.937
1611	0.96
1612	0.851
1613	0.877
1614	0.824
1615	0.973
1616	1.038
1617	1.171
1618	0.899
1619	0.873
1620	0.926
1621	0.886
1622	1.227
1623	1.078
1624	0.97
1625	0.926
1626	0.828
1627	0.985
1628	1.114
1629	0.98
1630	0.889
1631	1.017
1632	1.502
1633	1.383
1634	1.004
1635	0.679
1636	0.84
1637	1.213
1638	1.133
1639	1.506
1640	1.199
1641	0.858
1642	0.855
1643	0.897
1644	0.976
1645	0.886
1646	0.978
1647	1.047
1648	1.159
1649	1.002
1650	1.0
1651	1.04
1652	1.367
1653	0.962
1654	0.785
1655	0.957
1656	0.806
1657	0.82
1658	0.961
1659	0.934
1660	0.945
1661	0.947
1662	0.743
1663	0.661
1664	0.664
1665	0.786
1666	0.944
1667	0.944
1668	1.001
1669	0.918
1670	0.866
1671	0.961
1672	0.834
1673	1.025
1674	0.998
1675	0.941
1676	0.83
1677	0.798
1678	0.804
1679	0.988
1680	1.088
1681	1.1
1682	1.078
1683	1.025
1684	1.084
1685	1.031
1686	1.075
1687	0.727
1688	0.918
1689	1.119
