# PAGES2kv2_Asia-BUKCDDLMR106 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Asia-BUKCDDLMR106 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: 
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: 
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: 
#	Location: 
#	Country: 
#	Northernmost_Latitude: 35.68
#	Southernmost_Latitude: 35.68
#	Easternmost_Longitude: 71.63
#	Westernmost_Longitude: 71.63
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Asia-BUKCDDLMR106
#	Earliest_Year: 1411
#	Most_Recent_Year: 2006
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"", "interpDirection":"positive", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1411	1.343
1412	1.572
1413	1.565
1414	1.35
1415	1.123
1416	1.302
1417	1.086
1418	1.014
1419	1.307
1420	1.134
1421	1.153
1422	1.111
1423	1.174
1424	1.392
1425	1.578
1426	1.382
1427	1.194
1428	1.13
1429	0.909
1430	1.101
1431	0.957
1432	0.922
1433	1.01
1434	0.86
1435	0.888
1436	1.042
1437	0.883
1438	0.864
1439	0.814
1440	0.823
1441	0.931
1442	0.77
1443	0.961
1444	0.892
1445	0.98
1446	0.996
1447	1.061
1448	0.948
1449	0.896
1450	0.93
1451	1.04
1452	1.055
1453	1.162
1454	0.931
1455	0.976
1456	0.985
1457	1.025
1458	0.947
1459	1.05
1460	1.135
1461	1.138
1462	1.102
1463	1.032
1464	1.054
1465	1.207
1466	1.124
1467	0.933
1468	1.089
1469	0.886
1470	1.006
1471	0.892
1472	0.887
1473	0.94
1474	0.977
1475	0.927
1476	0.909
1477	0.978
1478	1.015
1479	0.829
1480	0.939
1481	0.834
1482	0.874
1483	0.819
1484	1.008
1485	0.961
1486	0.898
1487	0.875
1488	0.932
1489	0.739
1490	0.772
1491	0.772
1492	0.803
1493	0.797
1494	0.889
1495	0.86
1496	0.927
1497	0.88
1498	0.912
1499	0.905
1500	0.963
1501	0.773
1502	0.743
1503	0.886
1504	0.727
1505	0.788
1506	0.738
1507	0.828
1508	0.834
1509	0.814
1510	0.898
1511	0.957
1512	0.933
1513	0.901
1514	1.057
1515	0.938
1516	0.984
1517	1.295
1518	1.09
1519	1.059
1520	1.101
1521	0.983
1522	1.014
1523	1.037
1524	0.883
1525	1.054
1526	1.0
1527	0.929
1528	1.0
1529	1.099
1530	1.153
1531	1.061
1532	1.008
1533	1.088
1534	1.06
1535	1.017
1536	1.049
1537	1.005
1538	1.047
1539	1.042
1540	1.117
1541	1.124
1542	1.214
1543	1.233
1544	1.018
1545	0.986
1546	0.921
1547	1.002
1548	1.067
1549	1.066
1550	1.055
1551	1.074
1552	0.931
1553	0.983
1554	0.849
1555	0.944
1556	0.971
1557	1.043
1558	0.986
1559	0.953
1560	1.031
1561	1.012
1562	1.107
1563	1.264
1564	1.239
1565	1.23
1566	1.27
1567	1.26
1568	1.198
1569	1.251
1570	1.277
1571	1.214
1572	0.991
1573	0.981
1574	0.974
1575	0.895
1576	0.949
1577	1.071
1578	1.055
1579	1.022
1580	0.941
1581	1.035
1582	0.975
1583	0.981
1584	0.937
1585	0.98
1586	0.943
1587	1.034
1588	0.978
1589	0.914
1590	0.858
1591	0.907
1592	1.0
1593	1.029
1594	0.981
1595	0.902
1596	0.991
1597	1.057
1598	1.095
1599	0.926
1600	0.97
1601	1.004
1602	0.796
1603	0.795
1604	0.959
1605	1.165
1606	1.259
1607	1.124
1608	0.962
1609	1.088
1610	1.085
1611	0.973
1612	1.028
1613	1.139
1614	1.215
1615	0.871
1616	1.127
1617	1.303
1618	1.095
1619	1.071
1620	1.21
1621	1.215
1622	1.136
1623	1.097
1624	1.041
1625	1.191
1626	1.029
1627	1.0
1628	1.069
1629	1.112
1630	0.929
1631	0.951
1632	0.91
1633	1.015
1634	0.992
1635	1.14
1636	1.125
1637	1.128
1638	1.134
1639	1.199
1640	0.98
1641	1.062
1642	0.957
1643	1.119
1644	1.021
1645	1.025
1646	1.028
1647	1.098
1648	0.933
1649	0.985
1650	1.021
1651	1.091
1652	1.188
1653	1.006
1654	1.131
1655	1.135
1656	1.169
1657	1.1
1658	0.92
1659	0.846
1660	0.925
1661	0.953
1662	0.855
1663	0.875
1664	1.1
1665	1.249
1666	1.276
1667	1.144
1668	1.273
1669	0.977
1670	1.159
1671	1.081
1672	1.191
1673	1.259
1674	0.877
1675	0.97
1676	0.86
1677	0.718
1678	0.821
1679	0.73
1680	1.045
1681	0.999
1682	1.119
1683	0.876
1684	1.073
1685	1.006
1686	1.053
1687	1.207
1688	1.29
1689	1.442
1690	1.413
