# PAGES2kv2_Asia-CENTIBLMR111 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Asia-CENTIBLMR111 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: 
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: 
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: 
#	Location: 
#	Country: 
#	Northernmost_Latitude: 29.35
#	Southernmost_Latitude: 29.35
#	Easternmost_Longitude: 92
#	Westernmost_Longitude: 92
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Asia-CENTIBLMR111
#	Earliest_Year: 1285
#	Most_Recent_Year: 2008
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"", "interpDirection":"positive", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1285	0.862
1286	0.944
1287	1.148
1288	0.839
1289	0.948
1290	0.92
1291	0.967
1292	0.595
1293	0.6
1294	1.029
1295	1.102
1296	0.829
1297	0.561
1298	1.032
1299	0.808
1300	1.187
1301	1.007
1302	1.103
1303	1.185
1304	0.901
1305	0.836
1306	0.958
1307	1.052
1308	1.105
1309	0.975
1310	1.131
1311	1.028
1312	1.182
1313	1.093
1314	1.508
1315	1.206
1316	1.069
1317	1.02
1318	1.365
1319	1.083
1320	1.071
1321	0.915
1322	1.024
1323	1.371
1324	1.085
1325	0.991
1326	0.863
1327	1.122
1328	0.948
1329	1.204
1330	1.596
1331	1.273
1332	1.124
1333	1.204
1334	1.147
1335	1.046
1336	1.283
1337	1.092
1338	1.171
1339	1.013
1340	0.94
1341	1.068
1342	1.077
1343	0.269
1344	1.129
1345	0.93
1346	1.056
1347	1.012
1348	0.817
1349	1.019
1350	1.153
1351	0.973
1352	1.094
1353	0.867
1354	1.162
1355	1.174
1356	1.164
1357	1.125
1358	1.043
1359	0.998
1360	1.225
1361	1.282
1362	0.944
1363	1.348
1364	1.058
1365	1.217
1366	1.172
1367	1.147
1368	1.145
1369	1.229
1370	1.391
1371	1.174
1372	1.244
1373	1.125
1374	1.094
1375	1.431
1376	1.171
1377	1.292
1378	0.938
1379	0.941
1380	0.982
1381	0.943
1382	1.111
1383	1.348
1384	1.32
1385	1.368
1386	1.114
1387	0.948
1388	1.126
1389	0.795
1390	0.988
1391	0.903
1392	0.835
1393	0.946
1394	0.764
1395	0.745
1396	0.775
1397	0.924
1398	0.954
1399	1.023
1400	0.882
1401	0.96
1402	0.74
1403	0.72
1404	0.391
1405	0.629
1406	1.062
1407	0.708
1408	0.829
1409	1.076
1410	1.111
1411	0.873
1412	0.892
1413	0.621
1414	0.58
1415	0.785
1416	0.884
1417	0.985
1418	0.934
1419	0.875
1420	0.852
1421	0.77
1422	0.963
1423	0.838
1424	0.914
1425	0.886
1426	0.349
1427	0.708
1428	0.78
1429	0.803
1430	0.698
1431	0.783
1432	0.458
1433	0.235
1434	0.622
1435	0.701
1436	0.771
1437	0.833
1438	0.662
1439	0.818
1440	0.729
1441	0.776
1442	0.714
1443	0.787
1444	0.915
1445	0.802
1446	0.835
1447	0.655
1448	0.769
1449	0.836
1450	0.599
1451	0.568
1452	0.748
1453	0.742
1454	0.698
1455	0.737
1456	0.692
1457	0.682
1458	0.753
1459	0.618
1460	0.363
1461	0.53
1462	0.565
1463	0.56
1464	0.633
1465	0.588
1466	0.665
1467	0.728
1468	0.804
1469	0.655
1470	0.515
1471	0.72
1472	0.772
1473	0.718
1474	0.789
1475	0.818
1476	0.972
1477	0.963
1478	1.091
1479	1.169
1480	1.166
1481	1.277
1482	1.397
1483	1.286
1484	1.3
1485	1.323
1486	1.311
1487	1.07
1488	1.252
1489	1.229
1490	1.106
1491	1.022
1492	0.866
1493	0.773
1494	0.985
1495	1.007
1496	1.056
1497	0.687
1498	0.975
1499	1.11
1500	0.453
1501	0.989
1502	0.997
1503	0.939
1504	0.87
1505	0.98
1506	0.708
1507	0.475
1508	0.979
1509	1.015
1510	1.127
1511	1.226
1512	1.211
