# PAGES2kv2_Asia-DLH6LMR134 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Asia-DLH6LMR134 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: 
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: 
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: 
#	Location: 
#	Country: 
#	Northernmost_Latitude: 37.52
#	Southernmost_Latitude: 37.52
#	Easternmost_Longitude: 97.05
#	Westernmost_Longitude: 97.05
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Asia-DLH6LMR134
#	Earliest_Year: 1237
#	Most_Recent_Year: 2002
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"", "interpDirection":"positive", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1237	1.525
1238	1.453
1239	1.279
1240	1.108
1241	1.51
1242	0.561
1243	1.407
1244	0.891
1245	1.052
1246	1.693
1247	1.673
1248	1.275
1249	1.241
1250	0.856
1251	0.411
1252	1.023
1253	1.793
1254	0.566
1255	0.443
1256	0.274
1257	0.514
1258	0.149
1259	0.109
1260	0.529
1261	0.884
1262	0.913
1263	1.081
1264	0.869
1265	1.154
1266	0.938
1267	1.24
1268	0.708
1269	0.369
1270	1.018
1271	0.075
1272	1.315
1273	0.58
1274	0.842
1275	0.78
1276	0.248
1277	1.343
1278	1.391
1279	0.728
1280	0.931
1281	0.886
1282	1.251
1283	1.386
1284	1.263
1285	0.487
1286	0.847
1287	1.21
1288	1.556
1289	1.486
1290	0.388
1291	1.129
1292	1.021
1293	0.419
1294	0.523
1295	0.427
1296	1.292
1297	1.563
1298	0.995
1299	0.615
1300	1.418
1301	0.516
1302	0.467
1303	1.278
1304	0.571
1305	0.829
1306	0.95
1307	0.909
1308	0.0
1309	0.582
1310	0.86
1311	0.211
1312	1.431
1313	1.251
1314	1.173
1315	1.02
1316	1.195
1317	1.124
1318	1.202
1319	0.0
1320	0.466
1321	1.312
1322	1.173
1323	0.329
1324	1.24
1325	1.561
1326	0.871
1327	0.881
1328	0.841
1329	0.043
1330	0.962
1331	0.702
1332	0.133
1333	1.278
1334	0.909
1335	0.465
1336	0.652
1337	0.729
1338	0.62
1339	0.234
1340	0.275
1341	0.711
1342	0.948
1343	0.155
1344	0.028
1345	0.903
1346	1.294
1347	0.897
1348	1.128
1349	0.806
1350	1.173
1351	0.838
1352	1.072
1353	1.215
1354	1.402
1355	1.066
1356	1.496
1357	1.25
1358	1.001
1359	1.493
1360	1.382
1361	1.605
1362	1.352
1363	1.753
1364	1.278
1365	1.461
1366	1.63
1367	1.252
1368	1.207
1369	0.838
1370	0.485
1371	1.237
1372	0.865
1373	1.318
1374	1.487
1375	0.48
1376	0.244
1377	1.036
1378	0.861
1379	0.228
1380	0.774
1381	1.51
1382	1.175
1383	0.505
1384	1.19
1385	1.056
1386	0.98
1387	1.286
1388	1.496
1389	1.163
1390	1.255
1391	1.429
1392	0.131
1393	1.222
1394	0.993
1395	0.308
1396	0.947
1397	0.835
1398	0.8
1399	1.339
1400	1.085
1401	0.56
1402	1.476
1403	1.143
1404	1.346
1405	1.365
1406	0.571
1407	2.0
1408	1.379
1409	1.593
1410	0.317
1411	1.329
1412	1.212
1413	1.481
1414	1.571
1415	0.552
1416	1.843
1417	1.41
1418	1.602
1419	0.403
1420	1.54
1421	1.281
1422	0.895
1423	1.421
1424	1.161
1425	1.346
1426	0.94
1427	1.125
1428	0.316
1429	0.496
1430	0.784
1431	1.063
1432	1.222
1433	1.452
1434	1.427
1435	1.014
1436	0.174
1437	1.224
1438	0.708
1439	1.115
