# PAGES2kv2_Asia-DskJUELMR140 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Asia-DskJUELMR140 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: 
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: 
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: 
#	Location: 
#	Country: 
#	Northernmost_Latitude: 35.45
#	Southernmost_Latitude: 35.45
#	Easternmost_Longitude: 74.78
#	Westernmost_Longitude: 74.78
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Asia-DskJUELMR140
#	Earliest_Year: 1290
#	Most_Recent_Year: 2007
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"", "interpDirection":"positive", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1290	0.836
1291	0.743
1292	0.827
1293	0.983
1294	1.015
1295	0.981
1296	0.989
1297	1.182
1298	1.017
1299	1.131
1300	1.047
1301	1.004
1302	0.936
1303	0.996
1304	1.02
1305	1.33
1306	1.036
1307	1.123
1308	1.136
1309	1.196
1310	0.886
1311	1.13
1312	1.167
1313	1.381
1314	1.541
1315	1.313
1316	1.233
1317	1.199
1318	1.039
1319	1.21
1320	1.15
1321	1.309
1322	1.245
1323	1.094
1324	1.242
1325	1.309
1326	1.068
1327	1.176
1328	1.485
1329	1.535
1330	1.399
1331	1.243
1332	0.889
1333	0.798
1334	0.901
1335	0.96
1336	1.086
1337	1.147
1338	1.159
1339	0.975
1340	0.973
1341	1.162
1342	1.264
1343	1.19
1344	0.95
1345	1.066
1346	1.152
1347	1.149
1348	1.029
1349	1.052
1350	1.105
1351	0.978
1352	1.123
1353	1.099
1354	1.111
1355	1.209
1356	1.343
1357	1.553
1358	1.508
1359	1.247
1360	1.03
1361	1.181
1362	1.119
1363	1.204
1364	1.276
1365	1.058
1366	1.085
1367	1.006
1368	1.004
1369	1.168
1370	1.003
1371	1.01
1372	1.086
1373	0.835
1374	0.827
1375	0.923
1376	1.101
1377	1.111
1378	1.139
1379	1.137
1380	1.11
1381	1.051
1382	0.94
1383	0.785
1384	0.765
1385	0.932
1386	0.745
1387	0.899
1388	0.905
1389	0.79
1390	0.836
1391	0.873
1392	0.704
1393	0.954
1394	1.021
1395	0.864
1396	0.743
1397	0.857
1398	0.84
1399	0.922
1400	0.996
1401	0.922
1402	0.927
1403	0.962
1404	1.071
1405	1.196
1406	1.074
1407	0.996
1408	0.984
1409	0.922
1410	0.865
1411	0.835
1412	1.09
1413	1.151
1414	0.776
1415	0.922
1416	0.84
1417	1.071
1418	0.944
1419	0.958
1420	0.708
1421	1.004
1422	0.812
1423	0.897
1424	1.106
1425	1.083
1426	1.087
1427	0.916
1428	1.0
1429	1.229
1430	1.287
1431	1.331
1432	1.286
1433	1.157
1434	1.066
1435	0.914
1436	1.05
1437	0.754
1438	0.972
1439	0.915
1440	1.116
1441	0.977
1442	0.969
1443	1.04
1444	1.215
1445	1.142
1446	1.085
1447	0.969
1448	1.304
1449	1.094
