# PAGES2kv2_Asia-GHEGANLMR152 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Asia-GHEGANLMR152 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: 
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: 
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: 
#	Location: 
#	Country: 
#	Northernmost_Latitude: 37.93
#	Southernmost_Latitude: 37.93
#	Easternmost_Longitude: 101.53
#	Westernmost_Longitude: 101.53
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Asia-GHEGANLMR152
#	Earliest_Year: 1288
#	Most_Recent_Year: 2000
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"", "interpDirection":"positive", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1288	0.706
1289	0.672
1290	0.709
1291	0.556
1292	0.826
1293	0.792
1294	1.247
1295	1.298
1296	1.011
1297	1.537
1298	1.398
1299	0.843
1300	1.158
1301	1.314
1302	0.875
1303	0.848
1304	0.777
1305	0.6
1306	0.775
1307	0.997
1308	0.971
1309	0.998
1310	1.007
1311	0.944
1312	0.46
1313	0.925
1314	1.219
1315	1.183
1316	0.99
1317	0.823
1318	0.758
1319	1.046
1320	1.185
1321	1.559
1322	1.009
1323	1.515
1324	1.375
1325	1.198
1326	1.321
1327	0.915
1328	1.418
1329	1.058
1330	1.288
1331	1.309
1332	1.292
1333	1.537
1334	1.521
1335	1.485
1336	1.657
1337	1.613
1338	1.014
1339	0.659
1340	0.974
1341	0.871
1342	0.974
1343	1.101
1344	0.951
1345	0.714
1346	0.942
1347	0.752
1348	1.26
1349	1.205
1350	0.895
1351	1.207
1352	0.98
1353	1.027
1354	0.962
1355	0.641
1356	0.782
1357	0.826
1358	0.65
1359	0.849
1360	0.895
1361	0.753
1362	1.418
1363	1.465
1364	1.173
1365	0.942
1366	1.316
1367	1.005
1368	1.342
1369	1.386
1370	0.985
1371	1.347
1372	0.805
1373	1.466
1374	1.394
1375	1.038
1376	1.069
1377	1.157
1378	0.86
1379	0.886
1380	0.829
1381	0.405
1382	0.653
1383	0.62
1384	0.278
1385	0.792
1386	1.172
1387	1.029
1388	0.639
1389	0.768
1390	0.86
1391	0.701
1392	0.909
1393	1.146
1394	0.805
1395	1.181
1396	1.436
1397	1.293
1398	1.557
1399	1.195
1400	1.174
1401	1.07
1402	1.196
1403	0.842
1404	0.996
1405	0.778
1406	0.72
1407	0.784
1408	0.666
1409	0.671
1410	0.735
1411	0.876
1412	0.528
1413	0.817
1414	0.723
1415	1.175
1416	1.484
1417	0.753
1418	0.885
1419	0.976
1420	0.92
1421	0.724
1422	0.606
1423	0.625
1424	0.763
1425	0.427
1426	0.804
1427	0.781
1428	0.997
1429	0.944
1430	0.893
1431	1.017
1432	0.692
1433	0.799
1434	0.363
1435	0.977
1436	0.834
1437	0.654
1438	0.808
1439	0.911
1440	0.644
1441	1.274
1442	1.097
1443	0.833
1444	1.168
1445	0.837
1446	1.614
1447	1.155
1448	1.145
