# PAGES2kv2_Asia-HBHXJPLMR160 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Asia-HBHXJPLMR160 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: 
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: 
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: 
#	Location: 
#	Country: 
#	Northernmost_Latitude: 34.78
#	Southernmost_Latitude: 34.78
#	Easternmost_Longitude: 100.82
#	Westernmost_Longitude: 100.82
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Asia-HBHXJPLMR160
#	Earliest_Year: 1500
#	Most_Recent_Year: 2002
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"", "interpDirection":"positive", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1500	0.73
1501	0.786
1502	0.818
1503	0.837
1504	0.823
1505	0.995
1506	1.152
1507	0.999
1508	1.102
1509	0.885
1510	0.61
1511	0.831
1512	1.006
1513	0.874
1514	0.786
1515	0.95
1516	0.537
1517	0.721
1518	0.791
1519	0.565
1520	0.819
1521	0.824
1522	0.871
1523	0.62
1524	0.687
1525	0.837
1526	0.908
1527	0.717
1528	0.771
1529	0.976
1530	1.08
1531	1.187
1532	1.255
1533	1.089
1534	1.192
1535	1.273
1536	0.702
1537	0.515
1538	0.69
1539	0.845
1540	0.743
1541	0.838
1542	0.889
1543	0.991
1544	0.898
1545	0.941
1546	1.183
1547	0.945
1548	0.866
1549	0.992
1550	0.921
1551	0.955
1552	1.116
1553	0.352
1554	0.987
1555	1.184
1556	0.752
1557	0.853
1558	1.123
1559	0.997
1560	1.147
1561	1.17
1562	0.987
1563	1.43
1564	1.32
1565	1.426
1566	0.952
1567	1.088
1568	0.992
1569	1.121
1570	1.237
1571	1.236
1572	0.95
1573	0.868
1574	0.989
1575	1.186
1576	1.138
1577	1.113
1578	1.376
1579	1.403
1580	1.204
1581	0.923
1582	1.325
1583	1.249
1584	1.048
1585	1.321
1586	1.019
1587	0.893
1588	1.094
1589	0.341
1590	0.027
1591	0.155
1592	0.565
1593	0.656
1594	0.551
1595	0.56
1596	0.449
1597	0.346
1598	0.891
1599	0.62
1600	1.059
1601	0.923
1602	0.429
1603	0.996
1604	1.131
1605	1.309
1606	1.248
1607	1.278
1608	0.91
1609	1.004
1610	1.258
1611	1.222
1612	1.14
1613	0.695
1614	1.183
1615	1.278
1616	1.161
1617	1.01
1618	1.272
1619	1.387
1620	1.061
1621	1.27
1622	1.087
1623	1.087
1624	1.286
1625	1.063
1626	0.904
1627	0.364
1628	1.002
1629	1.158
1630	0.865
1631	1.24
1632	1.0
1633	0.939
1634	0.972
1635	1.084
1636	0.528
1637	1.196
1638	1.175
1639	0.809
1640	1.175
1641	0.944
1642	0.972
1643	0.995
1644	1.015
1645	1.145
1646	0.952
1647	1.184
1648	1.336
1649	0.265
1650	1.281
1651	1.104
1652	0.784
1653	1.13
1654	1.164
1655	1.135
1656	0.947
1657	0.628
1658	1.001
1659	0.791
1660	1.111
1661	0.99
1662	1.174
1663	0.913
1664	0.721
1665	0.682
1666	0.93
1667	0.596
1668	1.06
1669	0.906
1670	1.295
1671	1.283
1672	0.642
1673	1.293
1674	1.033
1675	0.986
1676	0.825
1677	1.098
1678	1.075
1679	1.217
1680	1.049
1681	0.616
1682	1.087
1683	1.131
1684	1.296
1685	1.272
1686	0.947
1687	0.488
1688	0.855
1689	1.193
1690	1.255
1691	1.139
1692	1.122
1693	1.067
1694	1.078
1695	0.884
1696	0.947
1697	1.228
1698	1.275
1699	1.163
1700	1.126
1701	0.78
1702	0.958
1703	0.904
1704	0.637
1705	1.157
1706	1.141
1707	1.124
1708	0.878
1709	1.278
1710	0.972
1711	0.932
1712	1.138
1713	0.539
1714	0.739
1715	0.708
1716	0.878
1717	0.556
1718	1.009
1719	0.828
1720	1.033
1721	0.876
1722	0.664
1723	0.889
1724	1.016
1725	0.827
1726	0.886
1727	0.713
1728	1.211
1729	0.758
1730	1.083
1731	0.619
1732	1.149
1733	0.812
1734	0.889
1735	0.585
1736	1.088
1737	0.975
1738	1.019
1739	0.931
1740	0.781
1741	1.043
1742	1.056
1743	1.059
1744	1.046
1745	1.06
1746	0.973
1747	0.78
1748	0.878
1749	0.409
1750	1.157
1751	1.167
1752	1.186
1753	1.263
1754	1.184
1755	1.182
1756	1.193
1757	1.275
1758	0.967
1759	1.534
1760	1.036
1761	1.274
1762	0.965
1763	1.132
1764	0.818
1765	1.272
1766	0.786
1767	1.167
1768	0.95
1769	1.194
1770	0.171
1771	0.888
1772	1.15
1773	1.36
1774	1.255
1775	0.768
1776	0.139
1777	0.769
1778	1.169
1779	1.014
1780	1.399
1781	1.314
1782	0.91
1783	0.665
1784	0.723
1785	0.518
1786	0.916
1787	0.636
1788	0.837
1789	0.844
1790	1.188
1791	0.739
1792	0.401
1793	0.297
1794	0.628
1795	0.663
1796	0.502
1797	0.693
1798	0.935
1799	0.879
1800	1.179
1801	0.943
1802	1.145
1803	1.183
1804	1.029
1805	1.17
1806	0.899
1807	1.302
1808	1.169
1809	0.995
1810	1.1
1811	1.073
1812	1.095
1813	1.003
1814	1.133
1815	1.271
1816	1.066
1817	0.919
1818	0.956
1819	1.077
1820	0.843
1821	1.076
1822	0.856
1823	1.195
1824	0.135
1825	0.907
1826	0.82
1827	0.96
1828	0.972
1829	0.828
1830	1.109
1831	0.418
1832	1.306
1833	0.917
1834	0.513
1835	1.248
1836	0.673
1837	1.059
1838	0.845
1839	0.983
1840	1.131
1841	1.143
1842	0.806
1843	1.046
1844	0.483
1845	0.729
1846	0.355
1847	0.866
1848	1.03
1849	1.104
1850	1.251
1851	1.173
1852	0.902
1853	1.044
1854	1.115
1855	1.147
1856	0.966
1857	0.797
1858	0.815
1859	1.148
1860	1.088
1861	0.503
1862	0.277
1863	0.983
1864	1.014
1865	1.084
1866	1.184
1867	1.229
1868	1.188
1869	0.758
1870	0.915
1871	0.424
1872	0.816
1873	1.172
1874	1.189
1875	1.335
1876	1.226
1877	0.678
1878	0.635
1879	0.257
1880	0.607
1881	0.73
1882	0.894
1883	0.858
1884	0.878
1885	1.027
1886	0.988
1887	0.94
1888	1.151
1889	0.996
1890	1.123
1891	0.901
1892	0.796
1893	0.991
1894	0.525
1895	0.479
1896	1.078
1897	1.191
1898	0.786
1899	1.215
1900	0.877
1901	1.298
1902	0.643
1903	1.462
1904	1.292
1905	1.023
1906	1.069
1907	1.304
1908	1.04
1909	0.942
1910	1.303
1911	1.375
1912	1.292
1913	1.246
1914	1.27
1915	0.83
1916	0.413
1917	0.925
1918	0.429
1919	0.804
1920	0.81
1921	0.7
1922	0.556
1923	0.941
1924	1.088
1925	0.979
1926	0.429
1927	0.824
1928	0.888
1929	0.858
1930	1.049
1931	1.164
1932	0.43
1933	0.987
1934	0.403
1935	1.151
1936	1.011
1937	1.024
1938	0.426
1939	0.967
1940	0.605
1941	1.075
1942	0.399
1943	1.106
1944	1.041
1945	1.14
1946	1.208
1947	1.196
1948	1.019
1949	1.186
1950	1.246
1951	1.421
1952	1.127
1953	0.457
1954	1.098
1955	1.416
1956	0.958
1957	0.9
1958	1.0
1959	1.059
1960	0.568
1961	1.101
1962	1.076
1963	0.803
1964	1.113
1965	1.194
1966	0.697
1967	1.283
1968	0.979
1969	0.808
1970	1.375
1971	0.48
1972	1.582
1973	1.041
1974	1.286
1975	1.46
1976	0.993
1977	1.046
1978	0.523
1979	0.735
1980	1.011
1981	1.269
1982	1.231
1983	1.239
1984	1.147
1985	0.869
1986	1.348
1987	1.062
1988	0.973
1989	1.523
1990	1.041
1991	1.131
1992	0.776
1993	1.047
1994	0.955
1995	0.36
1996	1.361
1997	0.968
1998	0.974
1999	1.34
2000	1.289
2001	0.969
2002	1.393
