# PAGES2kv2_Asia-HSSLMR169 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Asia-HSSLMR169 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: 
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: 
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: 
#	Location: 
#	Country: 
#	Northernmost_Latitude: 34.47
#	Southernmost_Latitude: 34.47
#	Easternmost_Longitude: 110.08
#	Westernmost_Longitude: 110.08
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Asia-HSSLMR169
#	Earliest_Year: 1512
#	Most_Recent_Year: 2005
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"", "interpDirection":"positive", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1512	0.737
1513	0.959
1514	0.836
1515	1.135
1516	0.971
1517	0.857
1518	0.668
1519	0.891
1520	0.808
1521	1.117
1522	1.12
1523	1.12
1524	1.127
1525	0.954
1526	0.935
1527	1.026
1528	0.767
1529	0.872
1530	1.108
1531	0.834
1532	0.501
1533	0.62
1534	0.869
1535	0.54
1536	0.914
1537	0.396
1538	0.643
1539	1.176
1540	1.635
1541	1.329
1542	1.428
1543	1.209
1544	1.094
1545	0.849
1546	1.26
1547	1.003
1548	1.173
1549	1.16
1550	0.988
1551	1.033
1552	1.273
1553	1.069
1554	0.685
1555	0.913
1556	0.792
1557	0.828
1558	0.863
1559	0.717
1560	0.841
1561	0.98
1562	1.051
1563	0.932
1564	0.53
1565	0.729
1566	0.885
1567	1.07
1568	1.205
1569	1.281
1570	1.083
1571	1.174
1572	1.645
1573	1.44
1574	1.599
1575	1.541
1576	1.282
1577	1.051
1578	0.767
1579	1.141
1580	0.811
1581	1.165
1582	1.158
1583	1.26
1584	1.36
1585	1.382
1586	0.871
1587	0.919
1588	1.048
1589	0.66
1590	0.866
1591	1.0
1592	0.817
1593	0.951
1594	1.01
1595	1.184
1596	0.949
1597	1.068
1598	0.954
1599	0.775
1600	0.824
1601	0.884
1602	1.032
1603	1.4
1604	1.411
1605	1.371
1606	1.257
1607	1.206
1608	0.973
1609	1.147
1610	0.783
1611	1.036
1612	1.288
1613	1.078
1614	1.007
1615	0.791
1616	0.702
1617	0.65
1618	1.112
1619	0.942
1620	1.005
1621	1.101
1622	1.07
1623	1.032
1624	0.849
1625	1.147
1626	0.962
1627	1.253
1628	0.858
1629	0.846
1630	1.007
1631	1.056
1632	0.862
1633	0.611
1634	0.806
1635	0.822
1636	1.319
1637	1.013
1638	1.008
1639	1.203
1640	0.647
1641	1.161
1642	1.009
1643	0.995
1644	0.713
1645	1.078
1646	1.212
1647	0.673
1648	1.115
1649	1.021
1650	0.749
1651	1.114
1652	1.153
1653	1.032
1654	1.099
1655	0.848
1656	1.093
1657	0.73
1658	1.227
1659	1.184
1660	0.971
1661	0.893
1662	1.279
1663	0.619
1664	0.997
1665	1.022
1666	0.888
1667	1.165
1668	1.221
1669	1.132
1670	1.037
1671	0.884
