# PAGES2kv2_Asia-HUASPILMR171 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Asia-HUASPILMR171 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: 
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: 
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: 
#	Location: 
#	Country: 
#	Northernmost_Latitude: 34.48
#	Southernmost_Latitude: 34.48
#	Easternmost_Longitude: 110.08
#	Westernmost_Longitude: 110.08
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Asia-HUASPILMR171
#	Earliest_Year: 1540
#	Most_Recent_Year: 1990
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"duplicate":"asia_chin004B.txt"}  {"database":"PAGES2"}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"", "interpDirection":"positive", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1540	1.263
1541	0.972
1542	0.938
1543	0.955
1544	0.756
1545	0.827
1546	1.132
1547	0.987
1548	1.202
1549	0.978
1550	0.775
1551	0.63
1552	1.096
1553	1.094
1554	0.618
1555	0.739
1556	0.634
1557	0.598
1558	0.695
1559	0.747
1560	0.834
1561	0.957
1562	1.339
1563	0.987
1564	0.632
1565	0.644
1566	0.797
1567	0.965
1568	1.003
1569	0.988
1570	0.978
1571	1.053
1572	1.351
1573	1.271
1574	1.389
1575	1.419
1576	1.149
1577	1.16
1578	0.943
1579	1.422
1580	0.953
1581	1.383
1582	1.357
1583	1.172
1584	1.062
1585	1.111
1586	0.876
1587	0.901
1588	1.104
1589	0.931
1590	1.016
1591	0.95
1592	0.972
1593	1.119
1594	1.265
1595	1.235
1596	1.083
1597	1.154
1598	0.885
1599	0.929
1600	1.023
1601	0.998
1602	0.992
1603	1.407
1604	1.211
1605	1.16
1606	1.157
1607	1.001
1608	0.856
1609	1.095
1610	0.793
1611	0.87
1612	1.102
1613	0.916
1614	0.992
1615	0.916
1616	0.794
1617	0.649
1618	0.968
1619	0.938
1620	1.023
1621	1.022
1622	1.111
1623	1.127
1624	0.867
1625	1.183
1626	0.989
1627	1.127
1628	0.911
1629	0.831
1630	0.945
1631	0.961
1632	0.909
1633	0.726
1634	0.913
1635	0.923
1636	1.339
1637	1.159
1638	1.045
1639	1.107
1640	0.626
1641	1.165
1642	0.98
1643	1.036
1644	0.684
1645	1.015
1646	1.236
1647	0.827
1648	1.153
1649	1.018
1650	0.9
1651	1.04
1652	1.0
1653	1.001
1654	1.052
1655	0.904
1656	1.214
1657	0.727
1658	1.25
1659	1.186
1660	1.017
1661	1.015
1662	1.325
1663	0.776
1664	1.165
1665	1.139
1666	1.02
1667	1.117
1668	1.088
1669	1.106
1670	1.114
1671	0.986
1672	1.155
1673	1.139
1674	0.696
1675	1.246
1676	1.167
1677	0.979
1678	0.835
1679	0.762
1680	0.971
1681	0.847
1682	0.692
1683	0.919
1684	0.714
1685	1.039
1686	0.651
1687	0.767
1688	1.077
1689	0.827
1690	0.911
1691	0.688
1692	0.731
1693	1.045
1694	0.914
1695	1.1
1696	1.03
1697	0.998
1698	0.672
1699	0.777
1700	0.684
1701	0.612
1702	0.994
1703	0.927
1704	0.783
1705	1.079
1706	0.961
1707	1.024
1708	1.001
1709	1.139
1710	0.919
1711	0.836
1712	1.072
1713	0.919
1714	0.863
1715	0.798
1716	0.973
1717	0.859
1718	0.99
1719	1.077
1720	1.049
1721	1.125
1722	0.768
1723	1.301
1724	1.058
1725	0.999
1726	0.819
1727	1.251
1728	1.216
1729	0.698
1730	1.071
1731	1.112
1732	0.787
1733	1.313
1734	0.722
1735	1.243
1736	1.094
1737	0.676
1738	1.245
1739	0.94
1740	0.79
1741	1.041
1742	1.159
1743	0.891
1744	1.029
1745	1.045
1746	1.05
1747	1.161
1748	1.169
1749	1.218
1750	0.914
1751	1.037
1752	0.676
1753	1.047
1754	0.996
1755	0.941
1756	0.958
1757	0.978
1758	0.809
1759	0.737
1760	1.027
1761	1.256
1762	0.598
1763	0.904
1764	0.815
1765	0.745
1766	1.061
1767	0.975
1768	0.626
1769	0.707
1770	0.876
1771	1.112
1772	0.833
1773	1.002
1774	1.145
1775	0.877
1776	1.114
1777	0.705
1778	0.925
1779	0.911
1780	0.95
1781	1.158
1782	1.002
1783	0.963
1784	0.898
1785	0.934
1786	1.253
1787	1.235
1788	0.816
1789	1.063
1790	1.017
1791	1.236
1792	0.591
1793	1.233
1794	1.131
1795	0.839
1796	1.212
1797	0.883
1798	0.9
1799	1.231
1800	1.092
1801	0.77
1802	1.167
1803	1.167
1804	1.143
1805	1.302
1806	1.299
1807	0.773
1808	0.696
1809	0.791
1810	0.806
1811	1.304
1812	0.728
1813	0.735
1814	0.913
1815	1.024
1816	0.998
1817	1.008
1818	1.141
1819	0.934
1820	0.948
1821	0.752
1822	1.248
1823	0.787
1824	0.831
1825	1.048
1826	1.16
1827	0.977
1828	0.782
1829	0.961
1830	1.088
1831	1.073
1832	1.287
1833	0.978
1834	0.874
1835	0.845
1836	0.807
1837	1.245
1838	1.173
1839	0.91
1840	1.197
1841	0.761
1842	0.661
1843	1.042
1844	1.007
1845	1.007
1846	0.972
1847	0.724
1848	0.953
1849	1.011
1850	0.903
1851	0.986
1852	1.13
1853	1.121
1854	1.196
1855	0.902
1856	1.072
1857	0.897
1858	1.149
1859	1.253
1860	0.999
1861	1.194
1862	0.482
1863	1.227
1864	0.916
1865	1.21
1866	1.392
1867	0.557
1868	1.392
1869	1.134
1870	1.053
1871	1.358
1872	1.035
1873	0.914
1874	1.182
1875	0.957
1876	0.857
1877	0.531
1878	0.971
1879	0.971
1880	0.889
1881	1.072
1882	1.095
1883	0.946
1884	0.829
1885	1.169
1886	0.996
1887	1.008
1888	1.114
1889	1.384
1890	1.082
1891	0.532
1892	0.789
1893	1.196
1894	1.361
1895	1.178
1896	1.341
1897	1.32
1898	1.357
1899	0.954
1900	0.483
1901	0.958
1902	0.876
1903	0.978
1904	0.557
1905	0.97
1906	1.143
1907	0.771
1908	0.69
1909	1.234
1910	1.209
1911	1.334
1912	1.278
1913	1.197
1914	1.056
1915	0.883
1916	0.879
1917	0.978
1918	1.022
1919	0.881
1920	0.736
1921	1.019
1922	0.87
1923	0.966
1924	0.857
1925	1.038
1926	0.714
1927	0.894
1928	0.557
1929	0.655
1930	1.081
1931	0.95
1932	0.815
1933	1.314
1934	1.055
1935	1.031
1936	1.428
1937	1.121
1938	1.112
1939	0.985
1940	1.148
1941	0.766
1942	0.897
1943	1.008
1944	0.841
1945	0.475
1946	1.281
1947	0.938
1948	1.107
1949	1.14
1950	0.809
1951	0.953
1952	0.848
1953	1.006
1954	0.947
1955	0.821
1956	1.268
1957	1.338
1958	0.963
1959	0.97
1960	0.425
1961	1.176
1962	0.639
1963	0.724
1964	1.127
1965	0.934
1966	1.104
1967	1.141
1968	0.58
1969	0.674
1970	1.122
1971	1.054
1972	1.206
1973	1.276
1974	1.056
1975	1.07
1976	0.977
1977	1.064
1978	1.13
1979	0.67
1980	1.175
1981	0.951
1982	1.075
1983	1.273
1984	1.328
1985	1.254
1986	0.833
1987	1.03
1988	0.837
1989	1.152
1990	1.0
