# PAGES2kv2_Asia-HYGJUPLMR173 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Asia-HYGJUPLMR173 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: 
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: 
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: 
#	Location: 
#	Country: 
#	Northernmost_Latitude: 38.7
#	Southernmost_Latitude: 38.7
#	Easternmost_Longitude: 99.68
#	Westernmost_Longitude: 99.68
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Asia-HYGJUPLMR173
#	Earliest_Year: 540
#	Most_Recent_Year: 2006
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"", "interpDirection":"positive", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
540	0.786
541	1.018
542	0.723
543	0.795
544	1.059
545	0.981
546	1.025
547	0.64
548	1.11
549	1.049
550	1.024
551	0.952
552	0.986
553	1.181
554	1.223
555	1.11
556	0.9
557	1.237
558	0.947
559	0.775
560	0.72
561	0.823
562	0.807
563	1.158
564	0.55
565	1.377
566	1.111
567	1.503
568	1.037
569	1.327
570	1.541
571	1.549
572	1.428
573	1.23
574	1.501
575	0.86
576	1.342
577	1.086
578	0.832
579	1.256
580	1.661
581	1.376
582	1.018
583	1.204
584	1.125
585	1.414
586	1.289
587	1.167
588	1.129
589	1.133
590	0.775
591	1.074
592	0.858
593	1.126
594	1.198
595	1.129
596	0.855
597	1.126
598	1.122
599	1.15
600	1.56
601	0.963
602	1.301
603	1.219
604	1.375
605	1.218
606	1.165
607	1.679
608	1.651
609	1.294
610	1.22
611	1.52
612	1.112
613	1.181
614	1.22
615	1.164
616	1.093
617	0.674
618	0.58
619	0.915
620	1.057
621	1.107
622	1.16
623	1.39
624	0.853
625	0.949
626	0.736
627	0.908
628	0.598
629	0.972
630	0.637
631	0.641
632	0.548
633	0.675
634	0.901
635	0.932
636	0.88
637	0.792
638	0.806
639	0.794
640	0.775
641	0.729
642	0.802
643	0.868
644	0.607
645	0.663
646	0.684
647	0.825
648	0.714
649	0.924
650	0.731
651	0.897
652	0.622
653	1.257
654	0.675
655	1.191
656	1.137
657	1.117
658	0.899
659	0.684
660	0.314
661	0.599
662	0.703
663	0.494
664	0.686
665	0.634
666	0.658
667	0.88
668	0.839
669	0.935
670	1.036
671	1.177
672	0.853
673	1.163
674	0.579
675	0.48
676	0.58
677	0.872
678	1.053
679	0.88
680	0.471
681	0.964
682	1.057
683	0.99
684	0.792
685	0.844
686	0.725
687	0.663
688	1.04
689	1.12
690	0.605
691	0.761
692	0.309
693	0.948
694	1.229
695	1.214
696	0.723
697	0.749
698	0.657
699	1.172
700	0.48
701	0.412
702	0.448
703	0.202
704	0.745
705	0.658
706	0.399
707	0.705
708	0.849
709	0.601
710	0.737
711	0.145
712	0.936
713	1.276
714	1.46
715	1.387
716	1.151
717	0.947
718	0.917
719	0.955
720	1.263
721	0.869
722	0.526
723	0.547
724	1.334
725	0.313
726	0.686
727	1.227
728	1.661
729	1.454
730	1.424
731	1.675
732	1.416
733	1.052
734	0.821
735	0.901
736	1.108
737	0.895
738	1.106
739	0.79
740	1.114
741	1.176
742	1.513
743	0.765
744	0.948
745	1.138
746	0.724
747	0.746
748	0.609
749	1.186
750	1.151
751	1.053
752	1.084
753	1.112
754	1.205
755	1.147
756	0.631
757	1.305
758	1.158
759	0.622
760	0.684
761	1.43
762	0.695
763	1.08
764	1.126
765	1.257
766	1.195
767	1.176
768	1.113
769	1.226
770	0.943
771	1.168
772	0.73
773	1.306
774	1.299
775	1.619
776	1.039
777	0.927
778	0.847
779	0.932
780	1.101
781	1.194
782	1.161
783	1.094
784	0.645
785	1.109
786	0.825
787	0.841
788	0.75
789	1.117
790	0.53
791	1.111
792	0.716
793	1.416
794	1.178
795	1.177
796	1.232
797	1.292
798	1.073
799	0.907
800	0.975
801	1.223
802	1.022
803	1.204
804	0.43
805	1.213
806	1.051
807	1.139
808	1.616
809	1.06
810	1.223
811	1.613
812	1.236
813	1.592
814	1.448
815	1.253
816	1.373
817	0.314
818	1.039
819	1.427
820	1.42
821	1.277
822	0.957
823	1.089
824	0.938
825	1.024
826	1.12
827	1.05
828	0.962
829	0.804
830	0.669
831	0.548
832	0.953
833	0.596
834	0.688
835	0.912
836	0.602
837	1.033
838	0.671
839	0.54
840	0.343
841	0.383
842	0.441
843	0.452
844	0.814
845	0.702
846	0.564
847	0.607
848	0.631
849	0.91
850	0.82
851	0.878
852	0.921
853	0.919
854	0.784
855	0.725
856	0.616
857	0.511
858	0.685
859	0.612
860	0.633
861	0.556
862	0.488
863	0.823
864	0.426
865	0.849
866	0.717
867	0.523
868	0.594
869	0.692
870	0.981
871	0.779
872	0.871
873	0.861
874	1.046
875	0.337
876	0.531
877	0.657
878	1.131
879	0.975
880	1.299
881	1.089
882	0.99
883	0.825
884	0.642
885	0.966
886	1.154
887	0.767
888	1.478
889	1.093
890	0.769
891	1.113
892	1.071
893	1.101
894	1.364
895	1.481
896	1.116
897	1.528
898	1.306
899	0.673
900	1.098
901	0.351
902	1.111
903	0.908
904	0.828
905	0.813
906	0.592
907	0.828
908	0.755
909	0.728
910	0.877
911	0.676
912	0.871
913	0.883
914	0.944
915	1.126
916	1.033
917	0.585
918	1.079
919	1.056
920	1.004
921	1.162
922	1.217
923	0.92
924	1.112
925	1.156
926	1.282
927	0.674
928	1.052
929	1.055
930	1.371
931	0.928
932	1.458
933	0.943
934	1.273
935	0.497
936	1.21
937	0.923
938	1.135
939	1.394
940	1.111
941	1.106
942	1.325
943	0.976
944	0.919
945	0.879
946	0.969
947	1.203
948	1.245
949	0.825
950	0.633
951	0.743
952	1.043
953	1.174
954	1.059
955	0.763
956	0.888
957	0.94
958	0.901
959	0.961
960	0.839
961	0.713
962	1.242
963	0.913
964	0.56
965	0.898
966	1.018
967	1.203
968	1.146
969	0.818
970	0.98
971	1.097
972	0.885
973	1.082
974	1.557
975	1.303
976	1.233
977	1.046
978	1.445
979	0.986
980	1.357
981	0.667
982	0.804
983	1.18
984	1.156
985	1.253
986	1.23
987	1.03
988	1.29
989	1.415
990	1.634
991	1.192
992	1.241
993	1.164
994	1.476
995	1.001
996	1.155
997	1.419
998	1.3
999	1.137
1000	1.035
1001	1.325
1002	1.314
1003	1.141
1004	0.97
1005	1.049
1006	0.763
1007	0.213
1008	0.665
1009	0.818
1010	0.824
1011	1.008
1012	0.641
1013	0.851
1014	1.152
1015	1.045
1016	1.073
1017	0.666
1018	0.835
1019	0.994
1020	0.88
1021	0.739
1022	0.835
1023	0.781
1024	0.811
1025	0.64
1026	0.635
1027	0.974
1028	0.874
1029	1.109
1030	1.353
1031	0.743
1032	1.052
1033	0.99
1034	0.57
1035	1.083
1036	0.979
1037	0.873
1038	0.811
1039	0.904
1040	0.707
1041	0.932
1042	0.786
1043	0.618
1044	0.52
1045	0.721
1046	1.002
1047	0.089
1048	0.816
1049	0.903
1050	1.002
1051	0.651
1052	1.007
1053	0.789
1054	0.978
1055	0.353
1056	1.034
1057	1.19
1058	1.156
1059	0.973
1060	1.191
1061	0.644
1062	1.264
1063	0.716
1064	0.846
1065	0.932
1066	1.236
1067	0.831
1068	0.964
1069	0.61
1070	0.835
1071	1.096
1072	1.091
1073	0.909
1074	0.772
1075	1.121
1076	0.665
1077	1.068
1078	1.184
1079	1.084
1080	0.981
1081	1.24
1082	1.118
1083	0.869
1084	0.904
1085	1.293
1086	1.038
1087	1.045
1088	1.249
1089	1.328
1090	1.204
1091	1.439
1092	1.244
1093	1.494
1094	1.264
1095	1.124
1096	1.377
1097	1.525
1098	1.043
1099	1.145
1100	1.341
1101	1.031
1102	0.874
1103	0.682
1104	1.131
1105	1.375
1106	0.94
1107	0.777
1108	0.969
1109	0.961
1110	0.818
1111	0.98
1112	0.548
1113	0.838
1114	0.803
1115	0.684
1116	1.067
1117	0.898
1118	0.974
1119	0.906
1120	0.858
1121	0.793
1122	0.94
1123	1.022
1124	0.637
1125	0.733
1126	0.871
1127	0.42
1128	0.891
1129	0.546
1130	0.264
1131	0.738
1132	0.806
1133	0.646
1134	0.88
1135	0.686
1136	0.873
1137	0.936
1138	0.68
1139	0.899
1140	0.974
1141	0.632
1142	0.71
1143	0.848
1144	0.448
1145	-0.034
1146	0.53
1147	0.69
1148	0.528
1149	0.61
1150	0.708
1151	0.504
1152	0.581
1153	0.525
1154	0.52
1155	1.135
1156	0.983
1157	0.916
1158	1.279
1159	1.019
1160	0.854
1161	1.27
1162	0.411
1163	0.885
1164	1.214
1165	0.846
1166	1.134
1167	1.041
1168	0.535
1169	1.193
1170	0.928
1171	1.129
1172	1.458
1173	0.952
1174	1.254
1175	1.447
1176	0.754
1177	1.184
1178	1.192
1179	1.259
1180	1.102
1181	0.816
1182	0.95
1183	0.539
1184	1.391
1185	1.356
1186	1.187
1187	1.322
1188	1.372
1189	1.297
1190	1.266
1191	1.241
1192	1.399
1193	1.584
1194	1.308
1195	1.426
1196	1.224
1197	0.634
1198	0.981
1199	1.286
1200	1.163
1201	0.709
1202	1.297
1203	1.087
1204	1.063
1205	1.531
1206	0.129
1207	0.455
1208	1.058
1209	1.158
1210	0.95
1211	0.809
1212	1.091
1213	1.004
1214	1.338
1215	0.591
1216	1.157
1217	1.12
1218	1.023
1219	1.301
1220	0.893
1221	1.178
1222	1.125
1223	1.127
1224	1.165
1225	0.837
1226	0.81
1227	1.107
1228	1.242
1229	0.926
1230	1.334
1231	1.118
1232	1.014
1233	0.992
1234	1.199
1235	1.238
1236	1.288
1237	1.375
1238	1.245
1239	1.419
1240	1.193
1241	1.466
1242	0.772
1243	1.358
1244	1.441
1245	1.282
1246	1.277
1247	1.254
1248	1.148
1249	1.46
1250	1.316
1251	1.509
1252	1.222
1253	1.321
1254	1.281
1255	0.942
1256	0.865
1257	0.908
1258	0.679
1259	0.538
1260	0.878
1261	1.011
1262	0.766
1263	1.075
1264	1.0
1265	0.754
1266	1.043
1267	1.053
1268	0.703
1269	0.824
1270	1.06
1271	0.79
1272	1.013
1273	0.935
1274	1.121
1275	0.955
1276	0.828
1277	0.982
1278	0.708
1279	0.876
1280	0.952
1281	0.717
1282	1.29
1283	1.044
1284	0.931
1285	0.746
1286	0.81
1287	0.808
1288	0.903
1289	0.999
1290	0.711
1291	0.99
1292	0.999
1293	0.801
1294	0.812
1295	0.786
1296	0.705
1297	1.075
1298	0.779
1299	0.936
1300	0.598
1301	1.056
1302	0.594
1303	1.019
1304	0.877
1305	0.837
1306	0.991
1307	1.133
1308	0.984
1309	1.059
1310	1.2
1311	1.305
1312	1.316
1313	1.072
1314	1.289
1315	0.942
1316	1.089
1317	0.777
1318	1.21
1319	0.786
1320	1.312
1321	1.259
1322	1.459
1323	0.792
1324	0.994
1325	1.17
1326	1.021
1327	1.171
1328	1.166
1329	0.678
1330	0.933
1331	1.016
1332	0.919
1333	0.893
1334	1.109
1335	1.022
1336	0.976
1337	0.939
1338	1.235
1339	0.756
1340	1.175
1341	1.131
1342	0.66
1343	1.141
1344	0.829
1345	1.169
1346	1.194
1347	1.42
1348	1.076
1349	1.18
1350	1.406
1351	1.135
1352	1.195
1353	1.147
1354	1.316
1355	1.118
1356	1.349
1357	1.548
1358	0.95
1359	1.47
1360	1.022
1361	1.419
1362	1.273
1363	1.282
1364	1.106
1365	1.192
1366	1.232
1367	1.237
1368	1.437
1369	1.063
1370	1.111
1371	0.496
1372	0.998
1373	0.89
1374	1.323
1375	1.218
1376	1.057
1377	1.173
1378	1.319
1379	1.172
1380	1.063
1381	1.201
1382	0.941
1383	1.007
1384	1.156
1385	0.951
1386	1.097
1387	1.275
1388	1.497
1389	1.207
1390	1.147
1391	1.132
1392	1.048
1393	1.099
1394	1.224
1395	1.063
1396	1.141
1397	0.797
1398	0.944
1399	0.853
1400	1.049
1401	0.237
1402	1.044
1403	0.755
1404	1.02
1405	0.781
1406	0.841
1407	0.979
1408	1.053
1409	0.998
1410	1.011
1411	1.257
1412	0.876
1413	1.321
1414	0.9
1415	0.931
1416	0.933
1417	1.067
1418	1.047
1419	0.568
1420	1.183
1421	0.815
1422	1.023
1423	0.505
1424	1.156
1425	1.052
1426	1.158
1427	1.297
1428	1.006
1429	1.11
1430	1.007
1431	1.214
1432	1.409
1433	1.047
1434	1.146
1435	0.458
1436	0.973
1437	1.168
1438	1.32
1439	1.165
1440	1.289
1441	0.991
1442	1.24
1443	1.271
1444	1.011
1445	1.054
1446	1.156
1447	0.482
1448	1.168
1449	1.18
1450	1.137
1451	1.119
1452	1.137
1453	0.795
1454	1.247
1455	1.032
1456	1.169
1457	0.55
1458	0.992
1459	0.655
1460	1.006
1461	1.199
1462	1.249
1463	1.125
1464	1.354
1465	0.802
1466	1.028
1467	0.555
1468	0.531
1469	0.925
1470	0.705
1471	0.637
1472	1.174
1473	0.906
1474	1.195
1475	1.149
1476	0.947
1477	1.112
1478	0.955
1479	0.886
1480	0.966
1481	0.728
1482	1.042
1483	1.492
1484	0.948
1485	1.11
1486	0.841
1487	0.827
1488	0.874
1489	1.374
1490	0.89
1491	1.085
1492	0.826
1493	1.188
1494	1.196
1495	0.268
1496	1.141
1497	0.814
1498	0.883
1499	1.402
1500	1.314
1501	0.796
1502	0.808
1503	1.304
1504	0.999
1505	0.225
1506	0.985
1507	0.387
1508	1.391
1509	1.063
1510	1.188
1511	1.112
1512	0.734
1513	0.966
1514	1.022
1515	0.907
1516	0.849
1517	1.055
1518	1.221
1519	1.028
1520	0.584
1521	1.274
1522	1.204
1523	1.191
1524	1.273
1525	1.465
1526	1.257
1527	0.555
1528	0.76
1529	1.111
1530	1.271
1531	1.26
1532	1.126
1533	0.941
1534	1.253
1535	1.153
1536	1.177
1537	1.165
1538	1.19
1539	0.776
1540	1.151
1541	1.071
1542	1.038
1543	1.164
1544	0.955
1545	1.233
1546	1.209
1547	1.405
1548	1.096
1549	1.248
1550	1.154
1551	1.168
1552	1.102
1553	0.82
1554	0.465
1555	0.853
1556	1.027
1557	1.035
1558	0.887
1559	0.803
1560	0.974
1561	0.888
1562	1.117
1563	0.797
1564	0.893
1565	0.883
1566	1.137
1567	0.89
1568	1.23
1569	1.128
1570	0.936
1571	1.283
1572	0.918
1573	1.107
1574	1.034
1575	1.246
1576	1.221
1577	1.259
1578	1.196
1579	1.087
1580	1.162
1581	1.175
1582	1.279
1583	1.37
1584	1.05
1585	0.43
1586	0.754
1587	1.034
1588	1.067
1589	0.968
1590	0.328
1591	1.077
1592	0.804
1593	0.705
1594	0.798
1595	1.016
1596	0.746
1597	1.172
1598	0.944
1599	1.074
1600	0.97
1601	0.849
1602	0.643
1603	1.076
1604	0.958
1605	1.18
1606	0.939
1607	1.229
1608	1.076
1609	1.296
1610	0.98
1611	1.156
1612	0.897
1613	1.276
1614	1.324
1615	1.121
1616	1.163
1617	1.279
1618	1.008
1619	1.194
1620	0.846
1621	0.939
1622	1.106
1623	0.877
1624	1.211
1625	1.166
1626	0.988
1627	0.493
1628	0.754
1629	1.218
1630	0.875
1631	0.974
1632	0.916
1633	0.524
1634	0.505
1635	0.918
1636	0.978
1637	1.057
1638	0.838
1639	0.722
1640	0.803
1641	0.531
1642	0.904
1643	0.835
1644	1.087
1645	1.235
1646	0.924
1647	1.071
1648	1.188
1649	0.691
1650	1.07
1651	0.927
1652	0.966
1653	0.741
1654	0.891
1655	1.064
1656	0.991
1657	0.511
1658	1.103
1659	1.013
1660	0.688
1661	1.153
1662	0.984
1663	0.981
1664	1.258
1665	1.123
1666	1.143
1667	0.87
1668	1.119
1669	1.071
1670	0.997
1671	1.543
1672	0.824
1673	1.11
1674	0.982
1675	0.637
1676	0.411
1677	1.33
1678	0.961
1679	0.974
1680	0.98
1681	0.347
1682	1.055
1683	1.179
1684	0.926
1685	1.272
1686	0.839
1687	1.093
1688	1.314
1689	0.739
1690	1.073
1691	1.124
1692	0.951
1693	0.845
1694	0.685
1695	1.228
1696	1.038
1697	1.134
1698	0.955
1699	0.838
1700	1.268
1701	0.93
1702	1.146
1703	1.006
1704	1.018
1705	0.973
1706	0.431
1707	0.632
1708	0.66
1709	0.925
1710	0.689
1711	0.66
1712	0.645
1713	0.261
1714	0.224
1715	0.477
1716	0.865
1717	0.711
1718	0.865
1719	0.635
1720	0.866
1721	0.385
1722	0.655
1723	0.732
1724	0.796
1725	0.828
1726	1.023
1727	0.351
1728	1.055
1729	0.794
1730	1.029
1731	0.803
1732	1.055
1733	0.849
1734	0.962
1735	1.259
1736	1.228
1737	0.946
1738	1.098
1739	0.959
1740	0.921
1741	1.098
1742	1.318
1743	1.027
1744	1.193
1745	0.995
1746	1.304
1747	1.161
1748	0.848
1749	0.609
1750	0.728
1751	1.074
1752	1.037
1753	1.026
1754	0.865
1755	0.916
1756	0.937
1757	1.137
1758	0.904
1759	0.749
1760	0.947
1761	0.908
1762	1.083
1763	0.769
1764	0.639
1765	0.686
1766	0.246
1767	0.958
1768	0.805
1769	0.814
1770	0.848
1771	0.876
1772	1.128
1773	0.896
1774	0.715
1775	0.942
1776	0.921
1777	0.752
1778	0.741
1779	0.898
1780	1.032
1781	0.847
1782	1.013
1783	0.8
1784	1.091
1785	0.959
1786	0.375
1787	0.347
1788	0.667
1789	0.524
1790	0.709
1791	0.723
1792	0.779
1793	0.699
1794	0.73
1795	0.398
1796	0.429
1797	0.573
1798	0.874
1799	0.81
1800	0.737
1801	0.527
1802	0.983
1803	0.817
1804	1.039
1805	0.627
1806	1.105
1807	0.97
1808	0.894
1809	0.982
1810	0.764
1811	0.919
1812	0.985
1813	1.178
1814	0.984
1815	1.006
1816	1.057
1817	0.944
1818	0.785
1819	1.065
1820	0.735
1821	0.75
1822	0.745
1823	0.458
1824	0.331
1825	0.738
1826	0.653
1827	0.96
1828	0.72
1829	0.945
1830	0.992
1831	0.617
1832	1.186
1833	0.779
1834	1.211
1835	1.162
1836	1.036
1837	1.228
1838	1.017
1839	1.251
1840	0.986
1841	1.253
1842	0.878
1843	1.282
1844	1.342
1845	1.355
1846	1.295
1847	0.954
1848	1.505
1849	1.133
1850	1.196
1851	1.721
1852	1.178
1853	1.133
1854	1.198
1855	1.383
1856	1.304
1857	1.131
1858	1.234
1859	1.206
1860	1.076
1861	0.72
1862	1.322
1863	1.115
1864	1.067
1865	1.129
1866	0.872
1867	0.819
1868	1.195
1869	0.94
1870	1.147
1871	1.059
1872	1.184
1873	0.766
1874	1.198
1875	1.046
1876	1.082
1877	0.879
1878	0.685
1879	1.122
1880	0.881
1881	0.9
1882	0.9
1883	0.325
1884	0.392
1885	0.92
1886	0.881
1887	0.763
1888	1.0
1889	1.128
1890	1.146
1891	1.142
1892	1.361
1893	1.339
1894	1.296
1895	0.692
1896	1.527
1897	1.217
1898	1.473
1899	1.351
1900	0.967
1901	1.281
1902	1.282
1903	1.275
1904	1.236
1905	1.21
1906	1.244
1907	1.273
1908	1.152
1909	1.151
1910	0.955
1911	1.199
1912	1.013
1913	1.139
1914	1.004
1915	1.145
1916	0.887
1917	1.055
1918	0.772
1919	0.862
1920	1.067
1921	1.095
1922	0.947
1923	0.753
1924	1.043
1925	0.659
1926	0.425
1927	0.656
1928	0.046
1929	0.456
1930	0.528
1931	0.525
1932	0.258
1933	0.803
1934	0.356
1935	0.77
1936	0.677
1937	0.628
1938	0.797
1939	0.64
1940	0.673
1941	0.639
1942	1.001
1943	1.013
1944	0.853
1945	0.761
1946	1.052
1947	0.786
1948	1.061
1949	0.962
1950	0.84
1951	0.769
1952	0.64
1953	0.36
1954	0.967
1955	0.984
1956	0.758
1957	0.796
1958	0.949
1959	1.119
1960	0.687
1961	0.897
1962	0.558
1963	0.849
1964	1.062
1965	0.989
1966	0.74
1967	0.716
1968	0.573
1969	0.791
1970	0.823
1971	0.819
1972	1.148
1973	1.226
1974	0.853
1975	1.297
1976	1.086
1977	1.548
1978	1.133
1979	1.551
1980	1.561
1981	1.4
1982	1.415
1983	1.404
1984	1.323
1985	1.223
1986	1.252
1987	1.344
1988	1.779
1989	1.551
1990	1.521
1991	1.394
1992	1.182
1993	1.359
1994	1.271
1995	0.915
1996	1.443
1997	1.185
1998	1.231
1999	1.404
2000	1.096
2001	0.848
2002	1.484
2003	1.096
2004	1.189
2005	1.256
2006	1.259
