# PAGES2kv2_Asia-KMDLMR189 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Asia-KMDLMR189 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: 
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: 
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: 
#	Location: 
#	Country: 
#	Northernmost_Latitude: 33.73
#	Southernmost_Latitude: 33.73
#	Easternmost_Longitude: 133.12
#	Westernmost_Longitude: 133.12
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Asia-KMDLMR189
#	Earliest_Year: 1600
#	Most_Recent_Year: 2001
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"", "interpDirection":"positive", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1600	0.934
1601	0.997
1602	0.79
1603	1.053
1604	0.683
1605	0.73
1606	1.072
1607	0.982
1608	0.98
1609	0.865
1610	1.123
1611	0.897
1612	0.864
1613	0.924
1614	1.329
1615	1.522
1616	1.54
1617	1.509
1618	1.137
1619	1.077
1620	0.97
1621	1.245
1622	0.858
1623	0.91
1624	1.213
1625	1.024
1626	1.186
1627	1.227
1628	0.753
1629	0.967
1630	0.964
1631	0.804
1632	0.962
1633	1.021
1634	0.91
1635	1.531
1636	1.309
1637	0.93
1638	1.017
1639	0.95
1640	1.039
1641	1.347
1642	1.379
1643	1.206
1644	1.072
1645	1.117
1646	0.864
1647	0.799
1648	0.881
1649	0.951
1650	1.017
1651	1.101
1652	0.992
1653	0.976
1654	0.986
1655	0.874
1656	0.872
1657	0.834
1658	0.719
1659	0.898
1660	1.305
1661	0.798
1662	0.759
1663	0.639
1664	0.602
1665	0.546
1666	0.787
1667	0.87
1668	0.999
1669	0.786
1670	1.066
1671	0.785
1672	0.697
1673	0.545
1674	0.655
1675	0.572
1676	0.671
1677	0.757
1678	0.709
1679	0.712
1680	0.751
1681	0.837
1682	0.705
1683	0.68
1684	0.711
1685	0.794
1686	0.856
1687	0.934
1688	0.921
1689	0.796
1690	0.939
1691	0.969
1692	1.091
1693	1.097
1694	1.168
1695	1.115
1696	0.968
1697	1.027
1698	1.024
1699	0.987
1700	1.05
1701	0.863
1702	0.728
1703	0.894
1704	1.066
1705	1.028
1706	0.969
1707	0.679
1708	0.789
1709	0.843
1710	0.738
1711	1.055
1712	0.757
1713	1.155
1714	0.946
1715	1.177
1716	1.061
1717	1.383
1718	1.462
1719	0.899
1720	1.041
1721	0.881
1722	0.916
1723	0.84
1724	1.004
1725	0.461
1726	0.712
1727	0.903
1728	1.028
1729	1.314
1730	1.223
1731	1.039
1732	1.001
1733	1.106
1734	1.238
1735	0.977
1736	1.211
1737	1.346
1738	0.843
1739	0.961
1740	0.876
1741	0.721
1742	0.895
1743	0.911
1744	1.101
1745	0.867
1746	1.052
1747	1.226
1748	1.187
1749	1.129
1750	1.139
1751	1.137
1752	1.427
1753	1.364
1754	0.841
1755	0.82
1756	1.027
1757	0.765
1758	0.915
1759	0.94
1760	1.044
1761	1.172
1762	0.838
1763	0.986
1764	0.924
1765	0.963
1766	1.001
1767	1.191
1768	0.844
1769	0.938
1770	0.948
1771	0.62
1772	0.341
1773	0.449
1774	0.703
1775	0.685
1776	0.829
1777	0.898
1778	0.918
1779	1.403
1780	0.874
1781	0.997
1782	1.172
1783	1.239
1784	1.305
1785	1.196
1786	1.272
1787	1.143
1788	1.023
1789	1.03
1790	1.061
1791	0.795
1792	1.158
1793	0.964
1794	1.066
1795	0.936
1796	0.796
1797	0.843
1798	0.452
1799	0.546
1800	0.622
1801	0.534
1802	0.8
1803	1.049
1804	0.879
1805	0.853
1806	0.752
1807	0.887
1808	1.001
1809	0.979
1810	0.904
1811	0.728
1812	0.882
1813	0.977
1814	1.06
1815	0.88
1816	0.941
1817	1.091
1818	1.55
1819	1.312
1820	1.032
1821	1.305
1822	0.993
1823	1.069
1824	1.352
1825	1.128
1826	1.307
1827	1.13
1828	0.99
1829	1.353
1830	1.203
1831	1.111
1832	0.971
1833	0.75
1834	0.79
1835	0.83
1836	0.988
1837	0.975
1838	1.077
1839	0.744
1840	0.669
1841	0.78
1842	0.873
1843	0.926
1844	1.068
1845	1.027
1846	0.908
1847	0.968
1848	1.045
1849	1.144
1850	0.98
1851	1.367
1852	1.134
1853	1.398
1854	1.267
1855	0.76
1856	1.097
1857	1.002
1858	1.505
1859	1.039
1860	1.351
1861	1.136
1862	0.556
1863	0.855
1864	0.9
1865	0.829
1866	1.04
1867	1.223
1868	0.745
1869	1.09
1870	0.92
1871	0.951
1872	0.915
1873	1.016
1874	0.937
1875	0.984
1876	0.955
1877	0.858
1878	0.981
1879	0.85
1880	0.803
1881	0.823
1882	0.97
1883	0.975
1884	1.219
1885	1.066
1886	0.958
1887	1.106
1888	1.054
1889	0.948
1890	1.016
1891	1.248
1892	1.227
1893	1.02
1894	0.491
1895	0.532
1896	0.392
1897	0.593
1898	0.692
1899	0.8
1900	1.088
1901	0.879
1902	0.856
1903	1.053
1904	0.823
1905	0.847
1906	0.994
1907	1.333
1908	1.466
1909	1.434
1910	1.481
1911	1.365
1912	1.218
1913	1.314
1914	1.134
1915	0.842
1916	1.029
1917	1.054
1918	0.929
1919	1.142
1920	0.989
1921	0.857
1922	1.038
1923	0.851
1924	0.994
1925	0.984
1926	1.168
1927	0.791
1928	0.819
1929	0.841
1930	0.941
1931	0.811
1932	0.853
1933	0.853
1934	0.664
1935	0.85
1936	0.854
1937	0.981
1938	0.852
1939	1.089
1940	0.597
1941	0.825
1942	0.932
1943	0.816
1944	0.888
1945	1.237
1946	1.019
