# PAGES2kv2_Asia-KOELIULMR190 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Asia-KOELIULMR190 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: 
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: 
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: 
#	Location: 
#	Country: 
#	Northernmost_Latitude: 42.2
#	Southernmost_Latitude: 42.2
#	Easternmost_Longitude: 79.05
#	Westernmost_Longitude: 79.05
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Asia-KOELIULMR190
#	Earliest_Year: 1450
#	Most_Recent_Year: 2005
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"", "interpDirection":"positive", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1450	0.932
1451	0.735
1452	0.796
1453	0.782
1454	0.797
1455	0.95
1456	0.997
1457	0.768
1458	0.952
1459	0.66
1460	0.892
1461	0.862
1462	0.924
1463	1.251
1464	1.284
1465	1.332
1466	1.208
1467	1.518
1468	1.099
1469	1.132
1470	1.108
1471	1.184
1472	1.061
1473	1.403
1474	1.609
1475	1.164
1476	1.267
1477	1.285
1478	1.264
1479	1.326
1480	1.614
1481	1.37
1482	1.32
1483	1.089
1484	1.093
1485	1.181
1486	0.96
1487	1.128
1488	1.024
1489	1.269
1490	1.22
1491	1.221
1492	1.096
1493	1.028
1494	1.192
1495	0.811
1496	0.567
1497	0.462
1498	0.964
1499	0.946
1500	0.945
1501	0.909
1502	1.03
1503	1.157
1504	0.924
1505	0.854
1506	0.958
1507	1.117
1508	0.827
1509	0.888
1510	1.127
1511	1.27
1512	1.469
1513	1.014
1514	1.219
1515	0.784
1516	0.959
1517	1.047
1518	1.068
1519	0.987
1520	1.076
1521	1.135
1522	1.042
1523	0.89
1524	0.811
1525	0.797
1526	0.959
1527	0.906
1528	0.842
1529	0.941
1530	1.025
1531	0.974
1532	0.752
1533	0.813
1534	1.044
1535	0.657
1536	0.817
1537	0.944
1538	0.662
1539	1.032
1540	0.917
1541	0.965
1542	1.003
1543	1.04
1544	1.008
1545	1.012
1546	0.744
1547	1.075
1548	1.013
1549	0.66
1550	1.144
1551	1.185
1552	1.283
1553	1.008
1554	0.616
1555	1.053
1556	0.981
1557	1.099
1558	0.824
1559	1.128
1560	1.094
1561	1.043
1562	1.019
1563	1.177
1564	1.181
1565	1.035
1566	0.843
1567	1.044
1568	0.845
1569	0.776
1570	0.884
1571	0.758
1572	0.722
1573	0.843
1574	0.846
1575	0.79
1576	0.733
1577	0.876
1578	0.652
1579	0.822
1580	1.185
1581	1.019
1582	1.126
1583	1.304
1584	1.204
1585	0.659
1586	1.071
1587	1.047
1588	1.121
1589	0.751
1590	0.67
1591	0.631
1592	1.032
1593	0.695
1594	0.671
1595	0.857
1596	0.813
1597	0.904
1598	0.8
1599	0.644
1600	0.741
1601	0.809
1602	0.785
1603	0.759
1604	0.836
1605	1.06
1606	1.167
1607	1.111
1608	0.978
1609	0.897
1610	0.722
1611	0.73
1612	1.241
1613	1.099
1614	1.017
1615	0.964
1616	1.184
1617	1.287
1618	1.328
1619	1.234
1620	1.417
1621	1.267
1622	1.258
1623	1.194
1624	1.369
1625	1.399
1626	1.095
1627	1.142
1628	1.398
1629	1.253
1630	0.85
1631	1.394
1632	1.397
1633	1.307
1634	1.265
1635	1.291
1636	1.156
1637	0.991
1638	0.96
1639	1.055
1640	1.297
1641	0.98
1642	0.974
1643	0.943
1644	1.028
1645	0.865
1646	1.134
1647	0.964
1648	1.125
1649	1.096
1650	0.864
1651	1.155
1652	1.091
1653	0.389
1654	0.903
1655	0.91
1656	0.553
1657	0.428
1658	0.794
1659	0.825
1660	0.805
1661	0.946
1662	0.381
1663	0.368
1664	0.841
1665	0.665
1666	0.725
1667	0.709
1668	0.905
1669	0.601
1670	0.869
1671	1.173
1672	1.033
1673	0.976
1674	1.261
1675	1.051
1676	0.943
1677	1.239
1678	1.153
1679	0.94
1680	0.954
1681	1.014
1682	1.031
1683	1.288
1684	1.023
1685	0.759
1686	0.693
1687	0.717
1688	1.176
1689	1.16
1690	1.04
1691	1.183
1692	0.98
1693	1.119
1694	1.184
1695	1.077
1696	0.913
1697	0.905
1698	0.964
1699	0.854
1700	0.953
1701	0.828
1702	0.648
1703	0.667
1704	0.487
1705	0.736
1706	0.752
1707	0.861
1708	0.938
1709	0.92
1710	0.864
1711	0.795
1712	0.495
1713	0.55
1714	0.689
1715	0.961
1716	0.992
1717	0.945
1718	0.981
1719	1.081
1720	0.953
1721	0.866
1722	1.026
1723	0.775
1724	0.853
1725	0.833
1726	1.009
1727	0.988
1728	1.145
1729	1.033
1730	0.98
1731	0.771
1732	1.034
1733	0.677
1734	1.168
1735	0.92
1736	0.881
1737	0.92
1738	0.708
1739	1.099
1740	1.203
1741	1.182
1742	0.721
1743	0.795
1744	0.646
1745	0.84
1746	0.58
1747	1.293
1748	1.122
1749	0.631
1750	1.069
1751	1.228
1752	1.379
1753	1.341
1754	1.031
1755	1.256
1756	1.197
1757	1.309
1758	0.959
1759	1.053
1760	1.125
1761	0.97
1762	0.85
1763	1.057
1764	1.044
1765	1.196
1766	1.405
1767	1.202
1768	0.975
1769	1.259
1770	1.192
1771	0.961
1772	0.817
1773	0.939
1774	1.077
1775	0.938
1776	0.957
1777	0.687
1778	0.773
1779	1.081
1780	0.884
1781	0.968
1782	0.787
1783	1.118
1784	1.188
1785	1.122
1786	0.941
1787	0.636
1788	0.889
1789	0.593
1790	0.826
1791	0.966
1792	0.931
1793	0.886
1794	0.742
1795	1.108
1796	1.156
1797	1.163
1798	1.185
1799	1.249
1800	1.103
1801	1.328
1802	0.98
1803	1.397
1804	1.445
1805	1.257
1806	1.088
1807	1.144
1808	0.845
1809	0.743
1810	0.78
1811	1.001
1812	1.107
1813	1.132
1814	0.996
1815	1.02
1816	1.176
1817	0.948
1818	1.031
1819	0.913
1820	0.572
1821	0.608
1822	0.832
1823	1.038
1824	1.148
1825	0.982
1826	0.905
1827	0.58
1828	0.651
1829	0.511
1830	0.519
1831	0.851
1832	0.71
1833	0.861
1834	1.058
1835	0.977
1836	1.101
1837	1.173
1838	1.312
1839	1.05
1840	0.922
1841	1.1
1842	0.985
1843	1.103
1844	0.634
1845	0.636
1846	1.061
1847	0.923
1848	0.824
1849	0.942
1850	0.767
1851	0.92
1852	1.138
1853	1.169
1854	1.183
1855	1.084
1856	1.025
1857	0.934
1858	0.782
1859	0.847
1860	1.232
1861	1.141
1862	1.306
1863	1.413
1864	1.067
1865	1.101
1866	1.429
1867	1.341
1868	1.203
1869	1.017
1870	1.079
1871	0.543
1872	1.129
1873	0.859
1874	0.796
1875	1.05
1876	1.315
1877	1.274
1878	1.135
1879	0.671
1880	0.78
1881	0.92
1882	1.289
1883	1.436
1884	0.982
1885	0.536
1886	0.741
1887	0.816
1888	0.843
1889	0.877
1890	1.009
1891	0.965
1892	0.825
1893	1.115
1894	1.287
1895	0.963
1896	1.518
1897	1.277
1898	1.218
1899	1.21
1900	1.122
1901	1.32
1902	1.427
1903	1.308
1904	1.221
1905	1.194
1906	1.155
1907	1.063
1908	1.356
1909	1.042
1910	1.246
1911	1.266
1912	1.033
1913	1.043
1914	1.173
1915	0.865
1916	0.73
1917	0.388
1918	0.168
1919	0.841
1920	0.943
1921	0.847
1922	0.755
1923	0.836
1924	0.997
1925	1.018
1926	1.056
1927	0.831
1928	1.097
1929	1.032
1930	1.23
1931	1.053
1932	0.946
1933	0.943
1934	1.006
1935	1.013
1936	1.079
1937	0.948
1938	0.659
1939	1.044
1940	1.007
1941	1.095
1942	0.978
1943	0.906
1944	0.848
1945	0.645
1946	0.649
1947	0.52
1948	0.646
1949	0.517
1950	0.786
1951	0.803
1952	1.115
1953	0.883
1954	0.742
1955	0.972
1956	1.072
1957	1.299
1958	0.966
1959	1.109
1960	1.44
1961	0.549
1962	1.193
1963	1.212
1964	1.185
1965	0.996
1966	1.031
1967	1.076
1968	1.064
1969	0.991
1970	1.152
1971	1.127
1972	0.979
1973	1.152
1974	0.845
1975	1.058
1976	0.997
1977	1.052
1978	1.192
1979	0.917
1980	0.928
1981	1.122
1982	0.91
1983	1.028
1984	0.624
1985	0.503
1986	0.894
1987	0.878
1988	0.935
1989	0.808
1990	0.895
1991	0.783
1992	0.786
1993	1.06
1994	1.326
1995	1.104
1996	0.926
1997	0.776
1998	1.229
1999	1.15
2000	1.274
2001	1.359
2002	1.209
2003	1.374
2004	1.143
2005	1.109
