# PAGES2kv2_Asia-KOKKIYLMR191 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Asia-KOKKIYLMR191 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: 
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: 
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: 
#	Location: 
#	Country: 
#	Northernmost_Latitude: 42.42
#	Southernmost_Latitude: 42.42
#	Easternmost_Longitude: 78.97
#	Westernmost_Longitude: 78.97
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Asia-KOKKIYLMR191
#	Earliest_Year: 1551
#	Most_Recent_Year: 2005
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"", "interpDirection":"positive", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1551	0.885
1552	1.266
1553	0.865
1554	0.979
1555	1.262
1556	1.032
1557	1.27
1558	1.016
1559	1.129
1560	1.109
1561	1.027
1562	0.769
1563	1.063
1564	0.835
1565	0.851
1566	0.902
1567	1.134
1568	0.922
1569	0.791
1570	0.713
1571	0.772
1572	0.79
1573	0.846
1574	1.088
1575	0.967
1576	0.873
1577	1.0
1578	0.931
1579	1.0
1580	0.972
1581	0.968
1582	1.149
1583	1.144
1584	1.183
1585	0.978
1586	0.866
1587	0.802
1588	1.031
1589	0.8
1590	0.743
1591	0.811
1592	0.841
1593	0.81
1594	0.917
1595	1.022
1596	1.002
1597	1.106
1598	0.953
1599	1.043
1600	1.034
1601	1.067
1602	1.255
1603	1.092
1604	1.091
1605	1.306
1606	1.478
1607	1.346
1608	1.205
1609	1.227
1610	1.088
1611	1.064
1612	1.362
1613	1.553
1614	1.294
1615	1.102
1616	1.283
1617	1.244
1618	1.125
1619	1.085
1620	1.208
1621	1.053
1622	0.93
1623	0.899
1624	0.834
1625	1.074
1626	0.911
1627	0.848
1628	1.015
1629	1.129
1630	0.872
1631	0.98
1632	1.021
1633	0.839
1634	0.732
1635	1.243
1636	1.092
1637	1.118
1638	0.902
1639	0.866
1640	1.04
1641	0.785
1642	0.829
1643	0.842
1644	0.957
1645	0.813
1646	1.012
1647	0.908
1648	1.067
1649	1.156
1650	0.989
1651	1.225
1652	1.197
1653	0.998
1654	1.187
1655	1.232
1656	0.915
1657	0.916
1658	1.078
1659	0.991
1660	0.984
1661	1.156
1662	1.022
1663	1.008
1664	1.23
1665	1.063
1666	0.953
1667	1.004
1668	1.136
1669	0.845
1670	0.899
1671	1.071
1672	1.034
1673	1.017
1674	1.14
1675	1.165
1676	0.944
1677	1.343
1678	1.113
1679	0.956
1680	0.868
1681	1.043
1682	0.906
1683	1.259
1684	1.098
1685	0.927
1686	0.887
1687	0.827
1688	1.161
1689	1.138
1690	0.988
1691	1.106
1692	0.761
1693	1.016
1694	0.999
1695	0.862
1696	1.017
1697	0.94
1698	0.904
1699	0.762
1700	0.798
1701	0.706
1702	0.605
1703	1.166
1704	0.781
1705	0.925
1706	0.724
1707	0.858
1708	0.89
1709	0.93
1710	0.719
1711	0.833
