# PAGES2kv2_Asia-KunashirIsla_Demezhko_2009LMR195 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Hybrid
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Asia-KunashirIsla_Demezhko_2009LMR195 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Demezhko D.Yu., Solomina O.N.
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Demezhko D.Yu., Solomina O.N.
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Kunashir Island
#	Location: 
#	Country: 
#	Northernmost_Latitude: 43.955
#	Southernmost_Latitude: 43.955
#	Easternmost_Longitude: 145.725
#	Westernmost_Longitude: 145.725
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Asia-KunashirIsla_Demezhko_2009LMR195
#	Earliest_Year: 1585
#	Most_Recent_Year: 2000
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"ground surface", "interpDirection":"positive", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##temp	synthesized ground surface temperatures, , , degrees C, , Hybrid, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	temperature
2000	5.7023
1999	5.922
1998	5.7155
1997	5.3389
1996	5.1332
1995	4.8034
1994	4.7349
1993	4.4924
1992	4.3831
1991	4.0514
1990	3.7393
1989	3.6721
1988	3.6979
1987	3.7463
1986	3.626
1985	3.6646
1984	3.7387
1983	3.8499
1982	3.9066
1981	4.0192
1980	4.1165
1979	4.5125
1978	4.709
1977	4.8375
1976	4.9815
1975	5.135
1974	5.2372
1973	5.2308
1972	5.2331
1971	5.1108
1970	5.0478
1969	5.0785
1968	5.2812
1967	5.445
1966	5.4637
1965	5.4166
1964	5.1832
1963	5.0352
1962	5.0327
1961	4.9053
1960	4.9272
1959	4.9723
1958	5.0926
1957	5.2552
1956	5.445
1955	5.4241
1954	5.4655
1953	5.4921
1952	5.253
1951	5.1749
1950	5.1979
1949	5.1095
1948	5.0958
1947	4.9702
1946	4.9575
1945	4.7494
1944	4.6323
1943	4.4124
1942	4.1623
1941	4.0066
1940	3.9193
1939	3.7157
1938	3.5806
1937	3.7645
1936	3.8148
1935	3.8717
1934	3.9849
1933	4.058
1932	4.1998
1931	4.2452
1930	4.2922
1929	4.3484
1928	4.5098
1927	4.5082
1926	4.4652
1925	4.4161
1924	4.5092
1923	4.4888
1922	4.304
1921	4.166
1920	3.9057
1919	3.7694
1918	3.6406
1917	3.3882
1916	3.2545
1915	3.1464
1914	2.9526
1913	2.8161
1912	2.7584
1911	2.8234
1910	2.743
1909	2.56
1908	2.4761
1907	2.4689
1906	2.4858
1905	2.6128
1904	2.6956
1903	2.8633
1902	2.9543
1901	3.1168
1900	3.1472
1899	3.2028
1898	3.1748
1897	3.3352
1896	3.3284
1895	3.426
1894	3.5644
1893	3.7228
1892	3.7366
1891	3.8014
1890	3.9057
1889	3.9719
1888	3.8682
1887	3.7229
1886	3.6276
1885	3.624
1884	3.6379
1883	3.5839
1882	3.4729
1881	3.5239
1880	3.6258
1879	3.6435
1878	3.5003
1877	3.2891
1876	3.1076
1875	2.9259
1874	2.7944
1873	2.7843
1872	2.8094
1871	2.7617
1870	2.7382
1869	2.6441
1868	2.7569
1867	2.6439
1866	2.5332
1865	2.282
1864	2.2517
1863	2.3735
1862	2.6408
1861	2.7854
1860	3.1029
1859	3.2069
1858	3.2428
1857	3.1816
1856	3.0716
1855	3.2708
1854	3.2045
1853	3.2249
1852	3.2602
1851	3.2947
1850	3.5026
1849	3.3636
1848	3.3033
1847	3.1765
1846	3.1339
1845	2.78
1844	2.6451
1843	2.6162
1842	2.774
1841	2.9198
1840	2.6885
1839	2.7723
1838	2.6365
1837	2.614
1836	2.5851
1835	2.5356
1834	2.5842
1833	2.6884
1832	2.7676
1831	2.9616
1830	3.1881
1829	3.2586
1828	3.3273
1827	3.2717
1826	3.1421
1825	3.2132
1824	3.1692
1823	3.1678
1822	3.0815
1821	2.9994
1820	2.8913
1819	2.8652
1818	2.6576
1817	2.5363
