# PAGES2kv2_Asia-MJTQJTLMR210 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Asia-MJTQJTLMR210 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: 
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: 
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: 
#	Location: 
#	Country: 
#	Northernmost_Latitude: 40.17
#	Southernmost_Latitude: 40.17
#	Easternmost_Longitude: 72.62
#	Westernmost_Longitude: 72.62
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Asia-MJTQJTLMR210
#	Earliest_Year: 1427
#	Most_Recent_Year: 1995
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"", "interpDirection":"positive", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1427	0.952
1428	1.068
1429	1.379
1430	1.009
1431	0.88
1432	0.828
1433	0.977
1434	0.863
1435	0.848
1436	0.878
1437	1.257
1438	0.969
1439	1.127
1440	1.041
1441	0.97
1442	0.823
1443	0.893
1444	0.945
1445	0.979
1446	1.119
1447	1.27
1448	1.282
1449	1.021
1450	1.169
1451	1.117
1452	1.234
1453	1.166
1454	1.155
1455	0.995
1456	0.634
1457	0.439
1458	0.533
1459	0.409
1460	0.521
1461	0.588
1462	0.795
1463	0.577
1464	0.731
1465	0.813
1466	0.776
1467	1.069
1468	1.043
1469	0.9
1470	1.134
1471	1.144
1472	1.117
1473	1.079
1474	1.165
1475	1.146
1476	1.156
1477	1.216
1478	1.156
1479	1.146
1480	0.991
1481	1.156
1482	1.176
1483	1.047
1484	1.359
1485	0.966
1486	1.295
1487	1.127
1488	1.432
1489	1.261
1490	1.353
1491	1.365
1492	1.079
1493	1.305
1494	0.986
1495	0.944
1496	1.126
1497	1.161
1498	1.234
1499	1.193
1500	1.57
1501	1.225
1502	1.343
1503	1.327
1504	1.352
1505	1.224
1506	1.149
1507	1.215
1508	1.081
1509	0.929
1510	0.906
1511	1.194
1512	1.023
1513	0.909
1514	1.023
1515	0.797
1516	0.974
1517	1.092
1518	0.891
1519	0.929
1520	0.968
1521	1.107
1522	0.914
1523	1.207
1524	0.703
1525	1.121
1526	1.198
1527	1.084
1528	0.789
1529	1.17
1530	1.142
1531	1.131
1532	0.843
1533	0.53
1534	0.524
1535	0.456
1536	0.574
1537	0.854
1538	0.556
1539	0.91
1540	0.738
1541	0.835
1542	1.064
1543	1.082
1544	0.87
1545	0.903
1546	0.816
1547	1.169
1548	0.9
1549	0.862
1550	0.863
1551	0.589
1552	0.572
1553	0.683
1554	0.588
1555	1.101
1556	0.876
1557	0.647
1558	0.996
1559	1.177
1560	1.216
1561	1.025
1562	0.733
1563	1.094
1564	1.04
1565	1.124
1566	1.304
1567	1.074
1568	1.251
1569	1.259
1570	0.999
1571	0.874
1572	0.753
1573	0.625
1574	0.896
1575	0.721
1576	0.89
1577	0.742
1578	0.809
1579	1.174
1580	0.756
1581	0.844
1582	0.841
1583	0.832
1584	0.979
1585	1.028
1586	1.066
1587	0.735
1588	0.598
1589	0.639
1590	0.681
1591	0.496
1592	0.848
1593	0.64
1594	1.059
1595	0.578
1596	0.715
1597	0.857
1598	0.59
1599	0.445
1600	0.708
1601	0.658
1602	0.779
1603	1.012
1604	0.811
1605	0.834
1606	1.095
1607	1.314
1608	1.268
1609	0.846
1610	0.937
1611	0.88
1612	1.046
1613	0.588
1614	0.792
1615	0.666
1616	0.74
1617	0.8
1618	0.716
1619	0.927
1620	0.848
1621	1.305
1622	0.968
1623	0.839
1624	0.837
1625	0.863
1626	0.712
1627	0.763
1628	1.016
1629	1.073
1630	0.957
1631	0.839
1632	0.956
1633	0.772
1634	1.031
1635	0.861
1636	1.061
1637	0.956
1638	1.124
1639	0.948
1640	1.354
1641	0.997
1642	0.909
1643	0.998
1644	1.181
1645	0.895
1646	1.123
1647	1.186
1648	1.023
1649	0.687
1650	0.766
1651	0.861
1652	0.972
1653	0.83
1654	1.209
1655	0.938
1656	1.223
1657	0.811
1658	0.632
1659	0.784
1660	0.944
1661	0.805
1662	0.74
1663	0.753
1664	0.81
1665	1.097
1666	0.812
1667	1.07
1668	0.961
1669	0.886
1670	0.924
1671	1.232
1672	1.329
1673	1.368
1674	1.375
1675	1.187
1676	1.35
1677	1.359
1678	1.235
1679	1.225
1680	1.575
1681	1.476
1682	1.315
1683	0.977
1684	0.833
1685	1.549
1686	1.412
1687	1.415
1688	1.11
1689	1.039
1690	0.761
1691	0.913
1692	0.941
1693	0.975
1694	0.943
1695	1.194
1696	0.978
1697	1.006
1698	0.883
1699	1.119
1700	1.042
1701	1.3
1702	1.107
1703	1.43
1704	0.752
1705	1.12
1706	1.354
1707	1.26
1708	1.217
1709	0.898
1710	1.247
1711	0.974
1712	1.202
1713	1.199
1714	0.988
1715	1.177
1716	0.77
1717	0.853
1718	1.269
1719	1.014
1720	1.119
1721	0.761
1722	0.772
1723	0.632
1724	0.712
1725	0.939
1726	0.7
1727	0.932
1728	0.787
1729	1.043
1730	0.914
1731	0.797
1732	0.941
1733	0.826
1734	0.955
1735	0.903
1736	0.928
1737	1.056
1738	1.125
1739	0.953
1740	0.775
1741	1.208
1742	0.713
1743	1.036
1744	1.143
1745	1.157
1746	0.988
1747	1.188
1748	1.144
1749	1.015
1750	0.795
1751	1.139
1752	0.933
1753	0.96
1754	0.932
1755	0.992
1756	1.219
1757	0.664
1758	1.046
1759	1.316
1760	1.021
1761	1.05
1762	0.957
1763	0.938
1764	1.08
1765	0.702
1766	0.966
1767	0.836
1768	0.957
1769	0.98
1770	1.269
1771	0.864
1772	0.854
1773	0.742
1774	1.171
1775	0.521
1776	0.685
1777	0.797
1778	0.794
1779	0.751
1780	0.989
1781	1.131
1782	1.326
1783	1.092
1784	0.982
1785	1.063
1786	0.917
1787	1.16
1788	1.052
1789	0.986
1790	0.528
1791	1.269
1792	1.315
1793	1.031
1794	1.249
1795	1.149
1796	1.369
1797	1.344
1798	0.945
1799	1.089
1800	1.387
1801	1.118
1802	0.949
1803	1.09
1804	1.651
1805	1.017
1806	0.683
1807	0.769
1808	1.03
1809	0.976
1810	0.762
1811	1.239
1812	1.151
1813	0.929
1814	1.039
1815	1.197
1816	1.015
1817	0.949
1818	0.815
1819	0.953
1820	0.951
1821	1.095
1822	0.697
1823	0.633
1824	1.05
1825	1.039
1826	0.627
1827	0.76
1828	1.094
1829	0.91
1830	0.861
1831	0.88
1832	1.052
1833	0.767
1834	0.851
1835	0.773
1836	1.115
1837	1.131
1838	0.853
1839	0.9
1840	0.818
1841	0.832
1842	0.785
1843	1.049
1844	0.917
1845	1.328
1846	0.892
1847	1.02
1848	1.186
1849	1.32
1850	0.722
1851	0.864
1852	0.847
1853	0.97
1854	1.257
1855	1.029
1856	1.382
1857	1.229
1858	1.305
1859	1.179
1860	1.311
1861	1.079
1862	1.24
1863	0.933
1864	1.012
1865	1.003
1866	0.963
1867	1.238
1868	1.084
1869	1.137
1870	0.98
1871	0.672
1872	1.008
1873	1.297
1874	0.895
1875	1.099
1876	0.761
1877	0.788
1878	1.443
1879	0.763
1880	0.968
1881	0.865
1882	0.73
1883	1.148
1884	1.026
1885	1.124
1886	1.273
1887	1.292
1888	0.978
1889	0.973
1890	1.037
1891	1.132
1892	1.194
1893	0.778
1894	0.984
1895	0.902
1896	0.936
1897	1.029
1898	1.09
1899	0.877
1900	1.075
1901	1.164
1902	0.841
1903	0.905
1904	0.911
1905	0.871
1906	1.003
1907	1.147
1908	1.224
1909	1.003
1910	1.178
1911	0.786
1912	1.332
1913	1.119
1914	1.028
1915	0.742
1916	1.066
1917	-0.002
1918	0.679
1919	1.013
1920	0.714
1921	0.883
1922	0.528
1923	0.773
1924	0.853
1925	0.44
1926	0.966
1927	0.707
1928	1.065
1929	1.072
1930	0.865
1931	0.839
1932	0.872
1933	1.078
1934	0.561
1935	0.719
1936	0.714
1937	1.356
1938	0.724
1939	0.572
1940	0.817
1941	1.254
1942	0.83
1943	0.659
1944	0.838
1945	0.901
1946	0.901
1947	0.842
1948	0.609
1949	0.88
1950	1.029
1951	0.742
1952	1.373
1953	1.205
1954	1.187
1955	1.134
1956	1.24
1957	0.715
1958	1.627
1959	1.407
1960	1.033
1961	0.89
1962	1.103
1963	1.134
1964	0.985
1965	0.61
1966	0.593
1967	0.631
1968	0.784
1969	0.682
1970	0.715
1971	1.049
1972	1.126
1973	0.996
1974	0.716
1975	1.172
1976	0.697
1977	0.934
1978	1.028
1979	0.812
1980	1.122
1981	1.003
1982	1.221
1983	1.35
1984	1.256
1985	1.13
1986	1.184
1987	1.149
1988	1.093
1989	1.241
1990	1.001
1991	0.976
1992	0.9
1993	0.898
1994	0.957
1995	0.937
