# PAGES2kv2_Asia-SODAPSLMR264 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Asia-SODAPSLMR264 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: 
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: 
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: 
#	Location: 
#	Country: 
#	Northernmost_Latitude: 48.3
#	Southernmost_Latitude: 48.3
#	Easternmost_Longitude: 98.93
#	Westernmost_Longitude: 98.93
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Asia-SODAPSLMR264
#	Earliest_Year: 46
#	Most_Recent_Year: 1999
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"duplicate":"asia_mong003B.txt"}  {"database":"PAGES2"}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"", "interpDirection":"positive", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
46	0.828
47	0.862
48	0.666
49	1.185
50	0.903
51	1.21
52	1.446
53	1.528
54	1.921
55	1.357
56	1.445
57	1.416
58	1.258
59	1.053
60	1.239
61	1.17
62	1.112
63	0.95
64	1.402
65	1.199
66	0.509
67	0.761
68	0.663
69	0.76
70	0.823
71	1.01
72	0.943
73	0.82
74	0.92
75	0.848
76	1.018
77	1.273
78	0.831
79	1.411
80	1.405
81	0.731
82	1.15
83	1.039
84	0.951
85	0.937
86	1.146
87	1.142
88	1.024
89	0.895
90	0.875
91	0.975
92	1.207
93	1.33
94	1.018
95	0.467
96	0.717
97	0.802
98	0.785
99	0.589
100	0.547
101	0.824
102	0.515
103	0.637
104	0.621
105	0.786
106	0.641
107	0.577
108	0.783
109	0.777
110	0.74
111	1.079
112	0.843
113	0.71
114	0.845
115	0.574
116	1.025
117	1.046
118	0.998
119	1.048
120	1.016
121	0.887
122	1.284
123	1.029
124	0.613
125	0.828
126	1.037
127	0.599
128	0.62
129	0.748
130	0.618
131	0.804
132	0.732
133	0.879
134	1.164
135	0.935
136	1.089
137	0.813
138	0.596
139	1.105
140	1.413
141	1.039
142	0.934
143	1.118
144	1.113
145	1.028
146	1.0
147	1.018
148	0.937
149	1.114
150	1.077
151	1.147
152	1.111
153	1.062
154	1.095
155	1.119
156	1.045
157	1.134
158	1.049
159	1.276
160	1.159
161	1.227
162	1.156
163	1.206
164	1.164
165	1.001
166	0.914
167	0.861
168	0.974
169	0.918
170	1.079
171	1.116
172	1.108
173	1.183
174	1.003
175	1.119
176	1.084
177	1.204
178	1.143
179	1.303
180	0.994
181	0.946
182	0.908
183	0.665
184	0.819
185	0.782
186	0.926
187	0.9
188	0.985
189	0.83
190	1.048
191	1.077
192	1.139
193	1.132
194	1.254
195	1.304
196	1.296
197	0.96
198	0.735
199	0.828
200	0.993
201	0.99
202	1.126
203	1.077
204	0.988
205	1.028
206	1.133
207	1.075
208	0.874
209	1.026
210	1.024
211	1.214
212	1.049
213	1.14
214	1.117
215	1.005
216	0.961
217	0.922
218	0.723
219	0.795
220	0.826
221	0.89
222	0.962
223	0.743
224	0.94
225	0.727
226	0.872
227	1.011
228	0.965
229	0.889
230	0.913
231	0.722
232	0.663
233	0.904
234	0.694
235	0.728
236	0.968
237	1.07
238	0.864
239	1.133
240	0.63
241	1.04
242	1.149
243	1.338
244	1.229
245	1.215
246	1.061
247	1.209
248	1.19
249	1.085
250	1.271
251	1.173
252	1.076
253	1.205
254	1.062
255	0.999
256	1.102
257	1.034
258	1.0
259	1.17
260	1.09
261	1.17
262	1.103
263	0.975
264	1.025
265	0.958
266	1.002
267	1.141
268	1.037
269	0.995
270	1.004
271	0.894
272	0.944
273	1.022
274	0.93
275	0.913
276	0.849
277	0.897
278	0.921
279	1.131
280	1.025
281	0.864
282	1.288
283	1.022
284	0.878
285	1.133
286	1.071
287	0.812
288	1.195
289	0.934
290	1.033
291	1.078
292	1.096
293	0.926
294	0.841
295	1.195
296	0.967
297	0.825
298	0.879
299	0.999
300	0.903
301	1.084
302	0.878
303	0.953
304	0.998
305	1.025
306	1.063
307	1.207
308	0.911
309	0.948
310	1.23
311	1.047
312	1.029
313	0.873
314	1.171
315	1.024
316	1.01
317	1.177
