# PAGES2kv2_Asia-TANSICLMR270 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Asia-TANSICLMR270 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: 
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: 
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: 
#	Location: 
#	Country: 
#	Northernmost_Latitude: 30.23
#	Southernmost_Latitude: 30.23
#	Easternmost_Longitude: 100.27
#	Westernmost_Longitude: 100.27
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Asia-TANSICLMR270
#	Earliest_Year: 1306
#	Most_Recent_Year: 2007
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"", "interpDirection":"positive", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1306	0.976
1307	0.989
1308	1.18
1309	0.88
1310	1.159
1311	1.115
1312	1.129
1313	1.184
1314	0.997
1315	1.293
1316	1.263
1317	1.191
1318	0.846
1319	0.998
1320	0.851
1321	1.155
1322	1.161
1323	1.021
1324	0.962
1325	0.955
1326	0.967
1327	0.973
1328	1.015
1329	0.976
1330	1.055
1331	1.015
1332	0.873
1333	1.073
1334	0.898
1335	1.145
1336	1.002
1337	0.927
1338	0.927
1339	0.963
1340	1.119
1341	0.875
1342	0.843
1343	0.922
1344	1.17
1345	1.06
1346	1.251
1347	1.108
1348	0.895
1349	0.761
1350	0.769
1351	1.116
1352	0.937
1353	0.955
1354	0.86
1355	0.826
1356	0.809
1357	1.06
1358	0.884
1359	0.959
1360	0.898
1361	0.872
1362	1.024
1363	1.12
1364	1.315
1365	1.299
1366	1.334
1367	0.998
1368	1.161
1369	1.081
1370	0.929
1371	1.016
1372	0.881
1373	1.102
1374	1.074
1375	1.18
1376	1.179
1377	1.099
1378	1.118
1379	1.147
1380	0.85
1381	0.88
1382	1.09
1383	0.968
1384	0.95
1385	0.998
1386	1.082
1387	0.974
1388	0.861
1389	0.833
1390	0.659
1391	0.719
1392	0.877
1393	0.953
1394	0.834
1395	0.863
1396	0.781
1397	0.759
1398	0.782
1399	0.603
1400	0.648
1401	0.781
1402	0.737
1403	0.886
1404	0.971
1405	1.177
1406	1.23
1407	1.163
1408	1.222
1409	1.151
1410	1.057
1411	0.913
1412	1.104
1413	0.959
1414	0.986
1415	0.648
1416	1.004
1417	1.022
1418	0.916
1419	0.936
1420	0.981
1421	0.969
1422	0.991
1423	1.108
1424	1.149
1425	0.683
1426	0.906
1427	1.011
1428	0.838
1429	0.697
1430	0.804
1431	0.696
1432	0.627
1433	0.794
1434	0.87
1435	0.823
1436	0.832
1437	1.01
1438	0.704
1439	0.845
1440	0.942
1441	0.783
1442	0.887
1443	1.219
1444	1.264
1445	1.088
1446	0.913
1447	1.167
1448	1.015
1449	0.841
1450	0.982
1451	0.946
1452	0.886
1453	0.78
1454	1.019
1455	0.822
1456	0.752
1457	0.864
1458	1.238
1459	0.915
1460	0.937
1461	1.141
1462	1.009
1463	0.781
1464	0.88
1465	1.112
