# PAGES2kv2_Asia-TIANMULMR274 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Asia-TIANMULMR274 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: 
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: 
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: 
#	Location: 
#	Country: 
#	Northernmost_Latitude: 30.33
#	Southernmost_Latitude: 30.33
#	Easternmost_Longitude: 119.43
#	Westernmost_Longitude: 119.43
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Asia-TIANMULMR274
#	Earliest_Year: 1590
#	Most_Recent_Year: 2007
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"", "interpDirection":"positive", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1590	1.012
1591	1.379
1592	1.214
1593	1.178
1594	1.133
1595	0.967
1596	1.206
1597	1.032
1598	0.773
1599	1.011
1600	0.957
1601	1.368
1602	1.323
1603	1.069
1604	1.167
1605	0.861
1606	1.402
1607	0.92
1608	0.879
1609	1.167
1610	1.048
1611	0.947
1612	1.159
1613	1.323
1614	1.189
1615	0.925
1616	0.784
1617	0.937
1618	0.878
1619	1.003
1620	1.115
1621	0.998
1622	0.858
1623	0.909
1624	1.022
1625	1.324
1626	1.066
1627	1.13
1628	0.884
1629	0.833
1630	1.369
1631	1.016
1632	1.277
1633	1.351
1634	1.068
1635	1.127
1636	1.027
1637	0.711
1638	1.075
1639	0.927
1640	1.051
1641	0.769
1642	1.071
1643	0.897
1644	0.834
1645	1.545
1646	1.823
1647	1.351
1648	1.145
1649	0.757
1650	0.729
1651	0.681
1652	0.876
1653	0.914
1654	1.002
1655	1.091
1656	0.846
1657	0.88
1658	1.042
1659	1.109
1660	0.93
1661	0.644
1662	0.987
1663	0.938
1664	0.957
1665	1.142
1666	0.847
1667	1.266
1668	0.78
1669	1.208
1670	0.922
1671	0.759
1672	0.666
1673	0.665
1674	0.665
1675	0.657
1676	0.598
1677	0.849
1678	0.832
1679	1.294
1680	0.743
1681	1.079
1682	1.113
1683	1.008
1684	0.965
1685	0.817
1686	0.952
1687	1.143
1688	1.583
1689	1.271
1690	1.363
1691	1.247
1692	1.014
1693	1.021
1694	1.487
1695	1.137
1696	0.778
1697	0.933
1698	0.835
1699	0.926
1700	0.832
1701	0.761
1702	0.677
1703	0.975
1704	0.862
1705	1.113
1706	0.868
1707	1.018
1708	1.023
1709	1.251
1710	1.063
1711	1.054
1712	0.579
1713	1.359
1714	0.865
1715	0.809
1716	0.78
1717	1.148
1718	1.016
1719	0.712
1720	0.708
1721	0.733
1722	0.4
1723	0.662
1724	0.751
1725	1.352
1726	0.733
1727	0.665
1728	1.251
1729	1.165
1730	0.884
1731	0.912
1732	0.895
1733	0.921
1734	1.129
1735	1.061
1736	1.325
1737	1.13
1738	1.02
1739	0.971
1740	1.227
1741	1.058
1742	0.917
1743	0.894
1744	0.689
1745	0.992
1746	0.708
1747	1.081
1748	0.93
1749	1.088
1750	1.504
1751	0.99
1752	0.897
1753	0.784
1754	0.592
1755	0.946
1756	0.786
1757	1.146
1758	1.117
1759	1.089
1760	0.982
1761	0.834
1762	0.777
1763	0.768
1764	0.849
1765	0.674
1766	0.641
1767	0.752
1768	0.981
1769	0.747
1770	1.087
1771	1.351
1772	1.213
1773	0.849
1774	1.146
1775	1.107
1776	1.156
1777	0.804
1778	1.066
1779	0.913
1780	1.014
1781	0.845
1782	1.508
1783	1.071
1784	1.48
1785	0.955
1786	0.868
1787	0.664
1788	0.682
1789	0.607
1790	0.658
1791	0.857
1792	0.96
1793	0.732
1794	1.331
1795	1.418
1796	1.062
1797	0.66
1798	0.798
1799	0.683
1800	1.07
1801	0.648
1802	1.101
1803	1.032
1804	0.809
1805	1.08
1806	1.006
1807	1.158
1808	1.365
1809	1.188
1810	0.677
1811	1.153
1812	0.496
1813	0.81
1814	0.762
1815	0.95
1816	0.508
1817	0.626
1818	0.671
1819	0.589
1820	0.815
1821	0.894
1822	1.155
1823	1.01
1824	1.248
1825	0.535
1826	1.006
1827	0.945
1828	1.126
1829	0.846
1830	1.301
1831	0.806
1832	0.743
1833	0.603
1834	1.093
1835	0.763
1836	1.161
1837	1.205
1838	1.155
1839	1.054
1840	0.815
1841	1.069
1842	0.873
1843	1.368
1844	1.065
1845	1.423
1846	0.707
1847	0.916
1848	0.736
1849	1.012
1850	1.255
1851	0.906
1852	0.924
1853	1.253
1854	0.985
1855	0.923
1856	1.325
1857	0.909
1858	1.06
1859	1.232
1860	0.93
1861	0.835
1862	1.178
1863	0.99
1864	0.836
1865	1.137
1866	0.793
1867	1.119
1868	0.971
1869	1.046
1870	1.213
1871	1.083
1872	0.893
1873	1.415
1874	0.958
1875	1.091
1876	1.041
1877	1.231
1878	0.854
1879	1.051
1880	1.134
1881	1.039
1882	0.975
1883	0.669
1884	0.933
1885	1.009
1886	1.282
1887	0.984
1888	0.776
1889	0.903
1890	0.739
1891	1.167
1892	0.593
1893	0.882
1894	1.085
1895	0.907
1896	0.692
1897	0.994
1898	0.623
1899	1.151
1900	1.038
1901	1.533
1902	1.231
1903	1.078
1904	1.061
1905	0.793
1906	0.929
1907	0.728
1908	0.85
1909	1.108
1910	0.993
1911	1.169
1912	1.117
1913	0.789
1914	1.215
1915	0.688
1916	0.934
1917	0.869
1918	1.02
1919	1.041
1920	1.044
1921	1.152
1922	1.123
1923	0.873
1924	1.0
1925	0.732
1926	1.405
1927	0.551
1928	1.276
1929	1.517
1930	0.814
1931	0.763
1932	0.791
1933	0.883
1934	0.685
1935	0.601
1936	0.924
1937	1.095
1938	0.876
1939	0.954
1940	1.454
1941	1.713
1942	1.57
1943	0.949
1944	1.464
1945	0.571
1946	1.191
1947	0.991
1948	1.209
1949	0.991
1950	1.17
1951	1.002
1952	1.454
1953	0.956
1954	0.626
1955	0.986
1956	0.63
1957	1.01
1958	0.978
1959	0.887
