# PAGES2kv2_Asia-TSHETDLMR279 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Asia-TSHETDLMR279 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: 
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: 
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: 
#	Location: 
#	Country: 
#	Northernmost_Latitude: 27.45
#	Southernmost_Latitude: 27.45
#	Easternmost_Longitude: 90.15
#	Westernmost_Longitude: 90.15
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Asia-TSHETDLMR279
#	Earliest_Year: 1582
#	Most_Recent_Year: 2006
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"", "interpDirection":"positive", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1582	2.254
1583	1.938
1584	1.827
1585	1.977
1586	1.397
1587	1.157
1588	0.633
1589	0.502
1590	0.6
1591	0.792
1592	0.927
1593	0.824
1594	0.801
1595	1.054
1596	1.221
1597	1.038
1598	0.918
1599	0.851
1600	0.883
1601	1.093
1602	1.129
1603	1.24
1604	1.166
1605	0.77
1606	0.82
1607	0.881
1608	0.932
1609	0.93
1610	0.858
1611	0.725
1612	0.606
1613	0.496
1614	0.619
1615	0.837
1616	0.869
1617	0.71
1618	0.609
1619	0.649
1620	0.576
1621	0.415
1622	0.479
1623	0.726
1624	0.896
1625	0.842
1626	0.839
1627	0.833
1628	1.017
1629	0.966
1630	0.919
1631	1.098
1632	1.127
1633	1.033
1634	0.868
1635	1.112
1636	0.773
1637	0.676
1638	0.859
1639	1.081
1640	1.022
1641	1.234
1642	1.231
1643	1.402
1644	1.474
1645	1.476
1646	1.545
1647	1.233
1648	1.122
1649	0.836
1650	0.807
1651	0.466
1652	0.625
1653	0.487
1654	0.3
1655	0.474
1656	0.643
1657	1.645
1658	1.644
1659	1.367
1660	0.939
1661	0.948
1662	1.332
1663	1.489
1664	1.633
1665	1.183
1666	1.375
1667	1.666
1668	1.171
1669	1.189
1670	1.271
1671	1.002
1672	0.334
1673	0.215
1674	0.33
1675	0.483
1676	0.69
1677	0.737
1678	0.837
1679	0.833
1680	0.698
1681	0.926
1682	0.625
1683	0.612
1684	0.731
1685	0.595
1686	0.524
1687	0.519
1688	0.563
1689	0.389
1690	0.368
1691	0.488
1692	0.665
1693	0.616
1694	0.65
1695	0.98
1696	1.186
1697	1.233
1698	1.202
1699	1.253
1700	0.554
1701	0.685
1702	1.413
1703	1.256
1704	0.768
1705	0.651
1706	0.631
1707	0.798
1708	0.978
1709	1.059
1710	1.064
1711	1.022
1712	1.106
1713	1.454
1714	1.057
1715	1.273
1716	1.033
1717	1.071
1718	1.548
1719	1.496
1720	1.193
1721	1.267
1722	1.205
1723	0.931
1724	1.09
1725	0.942
1726	1.012
1727	1.072
1728	1.283
1729	0.916
1730	0.89
1731	1.213
1732	1.137
1733	1.172
1734	1.076
1735	1.341
1736	0.859
1737	0.891
1738	0.996
1739	1.024
1740	0.721
1741	0.874
1742	0.996
