# PAGES2kv2_Asia-UULTRWLMR298 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Asia-UULTRWLMR298 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Schweingruber, F.H.
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Schweingruber, F.H.
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:4305
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Altai Mt., Ust Ulagan Lake
#	Location: 
#	Country: 
#	Northernmost_Latitude: 50.48
#	Southernmost_Latitude: 50.48
#	Easternmost_Longitude: 87.65
#	Westernmost_Longitude: 87.65
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Asia-UULTRWLMR298
#	Earliest_Year: 1581
#	Most_Recent_Year: 1994
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"duplicate":"asia_russ137wB.txt"}  {"database":"PAGES2"}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"", "interpDirection":"positive", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1581	0.575
1582	0.947
1583	0.751
1584	1.046
1585	0.907
1586	0.816
1587	0.881
1588	1.111
1589	0.531
1590	0.88
1591	0.948
1592	1.084
1593	0.729
1594	0.602
1595	0.769
1596	0.64
1597	0.885
1598	0.973
1599	0.9
1600	1.033
1601	0.656
1602	0.694
1603	0.697
1604	0.679
1605	0.823
1606	0.796
1607	1.003
1608	1.069
1609	1.479
1610	0.935
1611	1.244
1612	1.503
1613	1.479
1614	1.549
1615	1.262
1616	1.758
1617	1.678
1618	1.734
1619	1.609
1620	1.681
1621	1.835
1622	1.509
1623	1.749
1624	0.886
1625	1.206
1626	1.454
1627	0.541
1628	0.768
1629	0.787
1630	0.995
1631	0.947
1632	0.845
1633	0.748
1634	0.526
1635	0.686
1636	1.004
1637	0.93
1638	0.909
1639	0.973
1640	1.355
1641	0.644
1642	0.847
1643	0.691
1644	1.325
1645	1.203
1646	1.405
1647	1.162
1648	1.458
1649	1.616
1650	0.788
1651	1.265
1652	0.708
1653	1.181
1654	0.729
1655	0.955
1656	1.03
1657	0.902
1658	0.906
1659	0.913
1660	0.825
1661	1.256
1662	0.776
1663	0.787
1664	0.772
1665	0.93
1666	0.958
1667	1.121
1668	0.896
1669	1.031
1670	0.437
1671	0.555
1672	0.79
1673	0.42
1674	0.823
1675	0.628
1676	0.834
1677	0.775
1678	1.088
1679	1.114
1680	1.306
1681	1.813
1682	1.803
1683	1.591
1684	1.024
1685	0.633
1686	1.289
1687	1.253
1688	1.514
1689	1.152
1690	1.509
1691	1.271
1692	0.837
1693	0.873
1694	1.064
1695	1.233
1696	0.788
1697	0.668
1698	0.496
1699	0.351
1700	0.45
1701	0.619
1702	0.658
1703	0.827
1704	0.746
1705	1.024
1706	0.892
1707	0.956
1708	1.046
1709	1.055
1710	0.78
1711	0.824
1712	0.765
1713	0.9
1714	1.326
1715	1.032
1716	1.201
1717	0.974
1718	1.033
1719	0.997
1720	1.052
1721	0.898
1722	1.371
1723	0.746
1724	0.597
1725	1.071
1726	1.072
1727	0.967
1728	0.644
1729	1.05
1730	1.164
1731	1.381
1732	0.801
1733	0.563
1734	1.223
1735	0.905
1736	0.639
1737	1.219
1738	1.057
1739	1.159
1740	1.093
1741	0.759
1742	1.003
1743	0.436
1744	0.813
1745	0.758
1746	0.42
1747	0.819
1748	0.948
1749	1.133
1750	0.496
1751	0.745
1752	1.157
1753	1.336
