# PAGES2kv2_Asia-WULANJLMR306 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Asia-WULANJLMR306 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: 
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: 
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: 
#	Location: 
#	Country: 
#	Northernmost_Latitude: 37.03
#	Southernmost_Latitude: 37.03
#	Easternmost_Longitude: 98.68
#	Westernmost_Longitude: 98.68
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Asia-WULANJLMR306
#	Earliest_Year: 150
#	Most_Recent_Year: 2000
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"", "interpDirection":"positive", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
150	1.165
151	1.127
152	0.985
153	1.146
154	1.137
155	1.203
156	1.19
157	0.739
158	1.111
159	1.014
160	1.195
161	1.113
162	1.108
163	0.962
164	0.989
165	1.038
166	0.96
167	1.114
168	0.779
169	0.992
170	0.829
171	0.886
172	0.759
173	1.126
174	0.909
175	0.809
176	0.849
177	0.739
178	1.057
179	1.037
180	1.13
181	1.086
182	0.693
183	0.926
184	1.082
185	1.173
186	0.951
187	1.143
188	0.749
189	1.035
190	1.218
191	1.045
192	0.991
193	1.084
194	1.023
195	0.854
196	1.278
197	1.126
198	1.53
199	1.106
200	1.028
201	1.18
202	0.948
203	1.052
204	0.801
205	0.901
206	0.778
207	1.124
208	0.687
209	1.089
210	1.006
211	1.133
212	1.083
213	1.209
214	0.981
215	1.188
216	0.932
217	0.962
218	1.309
219	0.973
220	0.966
221	1.188
222	1.306
223	0.828
224	0.907
225	1.015
226	0.814
227	0.624
228	1.15
229	0.856
230	1.184
231	1.214
232	1.298
233	1.256
234	1.159
235	1.245
236	1.13
237	0.906
238	1.045
239	1.1
240	1.003
241	1.196
242	1.102
243	1.091
244	1.106
245	0.682
246	0.753
247	0.786
248	0.78
249	0.678
250	0.627
251	1.054
252	0.948
253	0.932
254	0.83
255	0.905
256	0.812
257	0.79
258	0.618
259	0.761
260	0.688
261	1.119
262	0.929
263	0.852
264	0.784
265	0.863
266	1.05
267	0.938
268	0.996
269	1.021
270	0.874
271	0.936
272	1.042
273	0.864
274	0.981
275	1.187
276	0.903
277	0.878
278	1.031
279	1.115
280	1.101
281	0.855
282	0.895
283	0.708
284	0.449
285	0.453
286	0.846
287	1.031
288	1.07
289	0.786
290	0.826
291	0.524
292	0.821
293	0.866
294	1.053
295	1.088
296	1.073
297	1.193
298	0.976
299	1.033
300	1.111
301	1.176
302	1.136
303	1.156
304	1.016
305	1.084
306	0.907
307	1.083
308	0.891
309	0.888
310	1.149
311	1.166
312	0.869
313	0.82
314	1.128
315	0.907
316	0.902
317	0.835
318	0.786
319	0.949
320	0.997
321	0.785
322	1.338
323	1.108
324	0.873
325	1.172
326	1.099
327	1.076
328	0.861
329	0.816
330	0.771
331	0.848
332	0.966
333	0.824
334	1.064
335	0.963
336	0.937
337	0.778
338	0.454
339	0.453
340	0.545
341	0.566
342	0.713
343	0.566
344	0.891
345	0.821
346	0.868
347	0.773
348	0.833
349	0.744
350	0.824
351	0.861
352	0.727
353	0.702
354	0.636
355	0.742
356	0.738
357	0.644
358	0.544
359	0.697
360	0.754
361	0.689
362	0.508
363	0.646
364	0.703
365	0.651
366	0.823
367	0.811
368	0.678
369	0.472
370	0.988
371	0.874
372	0.768
373	1.298
374	0.866
375	0.844
376	0.618
377	0.804
378	0.896
379	1.043
380	1.395
381	1.221
382	1.073
383	1.205
384	1.368
385	1.532
386	1.295
387	1.607
388	1.452
389	1.534
390	1.672
391	1.242
392	1.619
393	1.33
394	1.046
395	0.728
396	0.889
397	0.735
398	0.895
399	1.104
400	1.167
401	1.234
402	1.085
403	1.085
404	1.276
405	1.188
406	1.55
407	1.266
408	1.666
409	1.413
410	1.421
411	1.463
412	1.675
413	1.596
414	0.947
415	1.292
416	1.548
417	1.459
418	1.642
419	1.16
420	1.491
421	1.474
422	1.626
423	0.928
424	1.384
425	0.912
426	1.43
427	1.014
428	1.059
429	0.813
430	1.047
431	1.137
432	1.348
