# PAGES2kv2_Eur-Jamtland_Gunnarson_2011LMR342 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Eur-Jamtland_Gunnarson_2011LMR342 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Gunnarson, Björn E.,Linderholm, Hans W.,Moberg, Anders
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Gunnarson, Björn E.,Linderholm, Hans W.,Moberg, Anders
#	Published_Date_or_Year: 
#	Published_Title: Improving a tree-ring reconstruction from west-central Scandinavia: 900 years of warm-season temperatures
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 10.1007/s00382-010-0783-5
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Jämtland
#	Location: 
#	Country: 
#	Northernmost_Latitude: 63.1
#	Southernmost_Latitude: 63.1
#	Easternmost_Longitude: 15
#	Westernmost_Longitude: 15
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Eur-Jamtland_Gunnarson_2011LMR342
#	Earliest_Year: 1107
#	Most_Recent_Year: 2007
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"correlation with local meteorological correlation", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, , , , "[6, 7, 8]", Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1107	7.44
1108	7.731
1109	7.466
1110	9.012
1111	7.909
1112	9.065
1113	8.153
1114	9.177
1115	8.233
1116	8.616
1117	8.893
1118	9.23
1119	9.508
1120	10.056
1121	9.686
1122	9.561
1123	9.362
1124	9.772
1125	9.468
1126	9.125
1127	8.735
1128	9.012
1129	9.673
1130	9.336
1131	9.865
1132	10.043
1133	8.986
1134	9.693
1135	10.215
1136	9.362
1137	9.561
1138	9.832
1139	9.739
1140	9.759
1141	9.904
1142	9.25
1143	9.858
1144	9.924
1145	9.706
1146	9.66
1147	10.036
1148	10.076
1149	10.254
1150	10.307
1151	9.944
1152	9.706
1153	9.931
1154	9.825
1155	10.367
1156	10.353
1157	9.739
1158	10.301
1159	10.195
1160	10.01
1161	10.241
1162	10.05
1163	9.435
1164	10.083
1165	9.633
1166	9.66
1167	9.779
1168	10.043
1169	9.528
1170	9.95
1171	9.567
1172	9.666
1173	9.508
1174	9.481
1175	9.779
1176	9.455
1177	10.122
1178	10.017
1179	9.832
1180	9.765
1181	9.501
1182	9.917
1183	9.752
1184	10.089
1185	9.713
1186	9.686
1187	9.931
1188	9.838
1189	9.964
1190	10.017
1191	9.924
1192	9.66
1193	9.495
1194	9.957
1195	10.109
1196	9.957
1197	9.673
1198	10.32
1199	9.937
1200	10.228
1201	9.931
1202	9.68
1203	10.003
1204	9.937
1205	9.931
1206	10.248
1207	9.541
1208	9.468
1209	9.95
1210	9.798
1211	10.281
1212	9.97
1213	10.413
1214	10.017
1215	9.917
1216	10.142
1217	9.944
1218	9.415
1219	9.495
1220	9.693
1221	9.713
1222	9.64
1223	9.409
1224	9.858
1225	9.118
1226	9.389
1227	10.334
1228	9.614
1229	8.953
1230	9.151
1231	9.521
1232	8.827
1233	9.131
1234	9.012
1235	9.25
1236	8.907
1237	8.457
1238	8.371
1239	8.57
1240	9.23
1241	8.999
1242	8.959
1243	9.019
1244	9.171
1245	9.006
1246	8.946
1247	9.244
1248	9.052
1249	9.144
1250	9.429
1251	8.814
1252	7.995
1253	9.468
1254	8.814
1255	8.92
1256	9.098
1257	9.402
1258	8.325
1259	8.57
1260	8.286
1261	8.279
1262	8.517
1263	8.722
1264	8.259
1265	8.92
1266	8.305
1267	8.722
1268	8.239
1269	9.429
1270	8.662
1271	9.514
1272	9.184
1273	8.741
1274	8.206
1275	7.777
1276	8.543
1277	8.371
1278	9.237
1279	8.305
1280	8.623
1281	8.504
1282	8.609
1283	8.662
1284	9.191
1285	9.528
1286	9.462
1287	9.402
1288	9.653
1289	9.171
1290	8.959
1291	9.088
1292	9.171
