# PAGES2kv2_Eur-LakeSilvapla_Larocque-Tobler_2010LMR343 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Lake Cores
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Eur-LakeSilvapla_Larocque-Tobler_2010LMR343 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Larocque-Tobler, Isabelle,Grosjean, Martin,Heiri, Oliver,Trachsel, Mathias,Kamenik, Christian
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Larocque-Tobler, Isabelle,Grosjean, Martin,Heiri, Oliver,Trachsel, Mathias,Kamenik, Christian
#	Published_Date_or_Year: 
#	Published_Title: Thousand years of climate change reconstructed from chironomid subfossils preserved in varved lake Silvaplana, Engadine, Switzerland
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 10.1016/j.quascirev.2010.04.018
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Lake Silvaplana
#	Location: 
#	Country: 
#	Northernmost_Latitude: 46.5
#	Southernmost_Latitude: 46.5
#	Easternmost_Longitude: 9.8
#	Westernmost_Longitude: 9.8
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Eur-LakeSilvapla_Larocque-Tobler_2010LMR343
#	Earliest_Year: 1032
#	Most_Recent_Year: 1975
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"correlation with local meteorological correlation", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[7]" }}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##temp	Chironomid-inferred Temperature 50-year filter, , , degrees C, "[7]" , Lake Cores, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	temp
1032	1.72
1033	1.7
1034	1.67
1035	1.64
1036	1.61
1037	1.58
1038	1.56
1039	1.55
1040	1.55
1041	1.55
1042	1.55
1043	1.56
1044	1.57
1045	1.58
1046	1.59
1047	1.6
1048	1.61
1049	1.61
1050	1.61
1051	1.62
1052	1.61
1053	1.61
1054	1.61
1055	1.61
1056	1.6
1057	1.59
1058	1.58
1059	1.56
1060	1.54
1061	1.52
1062	1.49
1063	1.45
1064	1.42
1065	1.37
1066	1.32
1067	1.27
1068	1.21
1069	1.15
1070	1.08
1071	1.02
1072	0.95
1073	0.88
1074	0.82
1075	0.75
1076	0.69
1077	0.63
1078	0.57
1079	0.52
1080	0.47
1081	0.42
1082	0.37
1083	0.34
1084	0.3
1085	0.27
1086	0.24
1087	0.22
1088	0.2
1089	0.18
1090	0.17
1091	0.16
1092	0.16
1093	0.16
1094	0.16
1095	0.17
1096	0.18
1097	0.19
1098	0.21
1099	0.23
1100	0.25
1101	0.27
1102	0.3
1103	0.33
1104	0.36
1105	0.39
1106	0.43
1107	0.46
1108	0.5
1109	0.54
1110	0.58
1111	0.62
1112	0.66
1113	0.71
1114	0.75
1115	0.79
1116	0.84
1117	0.88
1118	0.93
1119	0.98
1120	1.02
1121	1.07
1122	1.12
1123	1.17
1124	1.22
1125	1.27
1126	1.31
1127	1.36
1128	1.41
1129	1.46
1130	1.5
1131	1.55
1132	1.59
1133	1.64
1134	1.68
1135	1.72
1136	1.76
1137	1.79
1138	1.83
1139	1.86
1140	1.89
1141	1.91
1142	1.94
1143	1.96
1144	1.98
1145	2.0
1146	2.01
1147	2.02
1148	2.03
1149	2.03
1150	2.03
1151	2.03
1152	2.03
1153	2.02
1154	2.01
1155	2.0
1156	1.99
1157	1.97
1158	1.96
1159	1.94
1160	1.92
1161	1.9
1162	1.89
1163	1.87
1164	1.85
1165	1.83
1166	1.81
1167	1.79
1168	1.77
1169	1.75
1170	1.74
1171	1.72
1172	1.71
1173	1.7
1174	1.69
1175	1.68
1176	1.67
1177	1.66
1178	1.65
1179	1.65
1180	1.64
1181	1.63
1182	1.63
1183	1.62
1184	1.61
1185	1.6
1186	1.58
1187	1.57
1188	1.55
1189	1.53
1190	1.5
1191	1.47
1192	1.44
1193	1.4
1194	1.36
1195	1.32
1196	1.27
1197	1.22
1198	1.16
1199	1.1
1200	1.04
1201	0.98
1202	0.92
1203	0.85
1204	0.78
1205	0.71
1206	0.64
1207	0.57
1208	0.5
1209	0.43
1210	0.36
1211	0.3
1212	0.24
1213	0.19
1214	0.14
1215	0.1
1216	0.06
1217	0.03
1218	0.01
1219	-0.01
1220	-0.02
1221	-0.03
1222	-0.03
1223	-0.03
1224	-0.02
1225	0.0
1226	0.02
1227	0.05
1228	0.08
1229	0.1
1230	0.13
1231	0.16
1232	0.19
1233	0.23
1234	0.27
1235	0.3
1236	0.34
1237	0.38
1238	0.41
1239	0.43
1240	0.45
1241	0.45
1242	0.45
1243	0.45
1244	0.43
1245	0.41
1246	0.39
1247	0.35
1248	0.31
1249	0.26
1250	0.2
1251	0.13
1252	0.07
1253	0.0
1254	-0.07
1255	-0.14
1256	-0.22
1257	-0.3
1258	-0.38
1259	-0.48
1260	-0.57
1261	-0.67
1262	-0.77
1263	-0.86
1264	-0.94
1265	-1.02
1266	-1.1
1267	-1.17
1268	-1.23
1269	-1.29
1270	-1.34
1271	-1.39
1272	-1.43
1273	-1.46
1274	-1.48
1275	-1.5
1276	-1.51
1277	-1.51
1278	-1.5
1279	-1.47
1280	-1.44
1281	-1.41
1282	-1.37
1283	-1.34
1284	-1.3
1285	-1.26
1286	-1.22
1287	-1.17
1288	-1.11
1289	-1.05
1290	-0.98
1291	-0.91
1292	-0.85
1293	-0.78
1294	-0.72
1295	-0.67
1296	-0.62
1297	-0.57
1298	-0.53
1299	-0.49
1300	-0.45
1301	-0.42
1302	-0.4
1303	-0.39
