# PAGES2kv2_Eur-NScan_Esper_2012LMR346 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Eur-NScan_Esper_2012LMR346 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Esper, Jan,Frank, David C.,Timonen, Mauri,Zorita, Eduardo,Wilson, Rob J. S.,Luterbacher, Jürg,Holzkämper, Steffen,Fischer, Nils,Wagner, Sebastian,Nievergelt, Daniel,Verstege, Anne,Büntgen, Ulf
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Esper, Jan,Frank, David C.,Timonen, Mauri,Zorita, Eduardo,Wilson, Rob J. S.,Luterbacher, Jürg,Holzkämper, Steffen,Fischer, Nils,Wagner, Sebastian,Nievergelt, Daniel,Verstege, Anne,Büntgen, Ulf
#	Published_Date_or_Year: 
#	Published_Title: Orbital forcing of tree-ring data
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 10.1038/nclimate1589
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Northern Scandinavia
#	Location: 
#	Country: 
#	Northernmost_Latitude: 68
#	Southernmost_Latitude: 68
#	Easternmost_Longitude: 25
#	Westernmost_Longitude: 25
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Eur-NScan_Esper_2012LMR346
#	Earliest_Year: -138
#	Most_Recent_Year: 2006
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"correlation with local meteorological correlation", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, , , , "[6, 7, 8]", Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
-138	0.46
-137	1.305
-136	0.755
-135	-0.1
-134	-0.457
-133	1.62
-132	0.765
-131	1.559
-130	0.327
-129	0.175
-128	1.661
-127	1.498
-126	1.681
-125	2.588
-124	-0.06
-123	1.407
-122	-0.487
-121	-0.375
-120	-1.281
-119	0.297
-118	-1.791
-117	0.236
-116	-0.487
-115	0.826
-114	-0.436
-113	-0.671
-112	0.001
-111	-0.365
-110	0.256
-109	0.032
-108	-2.116
-107	0.093
-106	-0.915
-105	-1.139
-104	-1.75
-103	-1.831
-102	0.521
-101	0.582
-100	-0.263
-99	-0.355
-98	-0.732
-97	-0.579
-96	-0.202
-95	-0.742
-94	-0.62
-93	-1.505
-92	-1.689
-91	-0.925
-90	0.857
-89	0.042
-88	-1.037
-87	-0.508
-86	0.022
-85	-0.192
-84	-0.457
-83	0.022
-82	0.511
-81	1.091
-80	1.345
-79	0.969
-78	0.775
-77	0.928
-76	0.236
-75	0.327
-74	0.826
-73	1.488
-72	0.796
-71	-0.508
-70	-0.671
-69	-1.465
-68	0.012
-67	0.246
-66	0.826
-65	-1.057
-64	0.918
-63	0.623
-62	0.246
-61	-0.803
-60	0.368
-59	0.755
-58	1.519
-57	1.193
-56	1.488
-55	1.539
-54	2.109
-53	1.223
-52	-0.925
-51	-0.66
-50	0.022
-49	0.083
-48	0.948
-47	0.317
-46	1.712
-45	1.62
-44	0.684
-43	-2.004
-42	-1.903
-41	-0.345
-40	-0.029
-39	1.651
-38	0.012
-37	-0.314
-36	0.887
-35	-1.078
-34	-0.253
-33	-0.65
-32	0.745
-31	0.826
-30	0.704
-29	1.478
-28	1.722
-27	1.61
-26	1.997
-25	0.928
-24	1.009
-23	1.05
-22	0.337
-21	0.052
-20	0.694
-19	1.142
-18	0.765
-17	0.785
-16	-0.08
-15	-1.638
-14	1.121
-13	0.419
-12	0.337
-11	1.02
-10	-0.304
-9	1.376
-8	0.073
-7	1.834
-6	0.877
-5	1.264
-4	2.18
-3	1.59
-2	1.732
-1	0.938
1	0.348
2	0.704
3	1.335
4	1.692
5	1.05
6	1.549
7	1.02
8	-0.508
9	-0.589
10	-1.709
11	-0.833
12	0.042
13	-0.009
14	-0.477
15	0.531
16	1.172
17	-0.416
18	0.134
19	0.785
20	-0.803
21	-0.355
22	0.5
23	0.653
24	0.429
25	0.816
26	0.623
27	1.631
28	1.132
29	0.419
30	1.111
31	1.091
32	1.071
33	0.948
34	2.068
35	1.407
36	0.938
37	1.631
38	1.569
39	0.409
40	-0.121
41	0.857
42	0.47
43	1.702
44	1.427
45	1.58
46	2.17
47	1.702
48	0.572
49	1.61
50	1.305
51	0.877
52	0.999
53	0.551
54	0.602
55	0.623
56	0.867
57	0.684
58	0.694
59	-0.09
60	0.521
61	0.205
62	-0.487
63	0.47
64	0.47
65	0.541
66	0.877
67	0.561
68	0.195
69	1.06
70	1.091
