# PAGES2kv2_NAm-SOVLMR372 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_NAm-SOVLMR372 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Bunn, A.G.
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Bunn, A.G.
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Siberian Outpost View
#	Location: 
#	Country: 
#	Northernmost_Latitude: 36.5
#	Southernmost_Latitude: 36.5
#	Easternmost_Longitude: -118.3
#	Westernmost_Longitude: -118.3
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_NAm-SOVLMR372
#	Earliest_Year: 494
#	Most_Recent_Year: 2001
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
494	1.764
495	1.183
496	1.309
497	1.037
498	1.409
499	1.347
500	1.411
501	1.627
502	1.649
503	1.202
504	1.152
505	1.174
506	1.121
507	1.613
508	1.429
509	0.966
510	1.038
511	0.398
512	0.785
513	1.007
514	0.956
515	1.02
516	0.926
517	1.115
518	0.948
519	1.015
520	0.882
521	0.401
522	0.523
523	0.761
524	0.938
525	0.971
526	1.009
527	0.873
528	0.852
529	0.729
530	0.74
531	0.733
532	0.936
533	0.769
534	0.784
535	0.924
536	0.861
537	0.668
538	1.128
539	1.005
540	0.862
541	0.768
542	0.628
543	0.764
544	0.874
545	0.99
546	0.894
547	0.668
548	0.72
549	0.905
550	0.822
551	0.723
552	0.687
553	0.714
554	0.592
555	0.6
556	0.586
557	0.652
558	0.929
559	1.211
560	0.836
561	0.97
562	0.735
563	0.925
564	1.006
565	0.951
566	1.027
567	0.946
568	1.37
569	0.847
570	1.114
571	1.225
572	1.177
573	0.996
574	0.612
575	0.953
576	0.78
577	0.961
578	0.915
579	0.899
580	1.092
581	1.141
582	1.233
583	1.159
584	1.011
585	1.094
586	0.992
587	0.945
588	0.892
589	0.732
590	0.875
591	0.62
592	0.757
593	0.677
594	0.611
595	0.792
596	0.701
597	0.941
598	1.155
599	1.191
600	0.609
601	0.809
602	1.198
603	1.045
604	1.19
605	1.065
606	1.059
607	1.085
608	0.574
609	1.078
610	0.841
611	0.902
612	1.19
613	1.129
614	1.068
615	0.815
616	0.904
617	0.735
618	1.186
619	1.198
620	0.788
621	1.053
622	0.843
623	0.894
624	0.898
625	0.957
626	0.756
627	0.551
628	1.036
629	1.194
630	0.892
631	0.996
632	0.846
633	1.068
634	0.92
635	1.156
636	1.036
637	1.161
638	1.205
639	1.092
640	0.846
641	1.3
642	1.454
643	1.105
644	0.855
645	0.762
646	1.143
647	1.115
648	1.128
649	1.458
650	1.904
651	1.078
652	1.566
653	0.865
654	1.128
655	1.015
656	1.447
657	1.206
658	0.908
659	0.708
660	0.734
661	0.806
662	1.085
663	1.13
664	0.865
665	1.035
666	1.029
667	1.147
668	0.786
669	1.034
670	0.926
671	1.158
672	1.397
673	1.316
674	1.419
675	1.242
676	1.041
677	0.766
678	1.059
679	1.221
680	1.198
681	0.812
682	0.799
683	0.932
