# PAGES2kv2_NAm-ak021LMR379 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_NAm-ak021LMR379 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Wiles, G., Calkin, P.E., Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Wiles, G., Calkin, P.E., Frank, D.
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Miners Well
#	Location: 
#	Country: 
#	Northernmost_Latitude: 60
#	Southernmost_Latitude: 60
#	Easternmost_Longitude: -141.7
#	Westernmost_Longitude: -141.7
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_NAm-ak021LMR379
#	Earliest_Year: 1428
#	Most_Recent_Year: 1995
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"duplicate":"northamerica_usa_ak021B.txt"}  {"database":"PAGES2"}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, , , , "[6, 7, 8]", Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1428	0.404
1429	0.349
1430	0.416
1431	0.665
1432	0.609
1433	0.678
1434	1.084
1435	0.783
1436	0.623
1437	0.715
1438	0.42
1439	0.501
1440	0.333
1441	0.358
1442	0.422
1443	0.484
1444	0.752
1445	1.137
1446	0.835
1447	0.585
1448	0.378
1449	0.525
1450	0.48
1451	0.577
1452	0.579
1453	0.539
1454	0.609
1455	0.356
1456	0.403
1457	0.398
1458	0.412
1459	0.421
1460	0.453
1461	0.434
1462	0.378
1463	0.408
1464	0.404
1465	0.746
1466	0.589
1467	0.529
1468	0.575
1469	0.428
1470	0.464
1471	0.525
1472	0.62
1473	0.5
1474	0.425
1475	0.345
1476	0.323
1477	0.27
1478	0.274
1479	0.352
1480	0.314
1481	0.391
1482	0.332
1483	0.547
1484	0.611
1485	0.635
1486	0.752
1487	0.505
1488	0.509
1489	0.547
1490	0.672
1491	0.525
1492	0.443
1493	0.611
1494	0.708
1495	0.5
1496	0.387
1497	0.437
1498	0.186
1499	0.273
1500	0.66
1501	0.735
1502	0.448
1503	0.387
1504	0.405
1505	0.154
1506	0.491
1507	0.445
1508	0.45
1509	0.342
1510	0.397
1511	0.454
1512	0.465
1513	0.427
1514	0.426
1515	0.395
1516	0.213
1517	0.624
1518	0.644
1519	0.767
1520	0.909
1521	0.847
1522	1.03
1523	1.082
1524	0.966
1525	0.462
1526	0.719
1527	0.854
1528	0.492
1529	0.515
1530	0.751
1531	0.72
1532	0.718
1533	0.873
1534	0.77
1535	0.653
1536	0.906
1537	1.161
1538	1.067
1539	1.28
1540	1.372
1541	1.38
1542	1.356
1543	0.88
1544	1.002
1545	0.977
1546	1.229
1547	1.045
1548	1.046
1549	0.87
1550	1.21
1551	1.409
1552	1.362
1553	1.143
1554	0.754
1555	0.881
1556	0.803
1557	0.624
1558	1.029
1559	1.062
1560	0.981
1561	0.943
1562	0.991
1563	0.874
1564	1.159
1565	1.266
1566	1.13
1567	0.906
1568	0.888
1569	0.925
1570	0.9
1571	0.774
1572	0.84
1573	0.995
1574	0.641
1575	1.113
1576	0.891
1577	0.59
1578	0.956
1579	0.834
1580	0.779
1581	0.916
1582	0.861
1583	1.017
1584	0.972
1585	0.552
1586	0.934
1587	0.943
1588	1.092
1589	1.048
1590	1.248
1591	1.198
1592	1.092
1593	1.117
1594	1.366
1595	1.45
1596	0.883
1597	1.798
