# PAGES2kv2_NAm-ak070LMR385 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_NAm-ak070LMR385 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: R. DArrigo   E. Mashig   D. Frank   R. Wilson   G. Jacoby
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: R. DArrigo   E. Mashig   D. Frank   R. Wilson   G. Jacoby
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Windy Ridge Alaska
#	Location: 
#	Country: 
#	Northernmost_Latitude: 65.2
#	Southernmost_Latitude: 65.2
#	Easternmost_Longitude: -162.2
#	Westernmost_Longitude: -162.2
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_NAm-ak070LMR385
#	Earliest_Year: 1556
#	Most_Recent_Year: 2002
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"duplicate":"northamerica_usa_ak070B.txt"}  {"database":"PAGES2"}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, , , , "[6, 7, 8]", Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1556	0.803
1557	0.92
1558	0.908
1559	1.095
1560	0.959
1561	1.253
1562	1.156
1563	1.421
1564	1.407
1565	1.103
1566	0.883
1567	0.737
1568	0.854
1569	0.721
1570	0.606
1571	0.458
1572	0.56
1573	0.618
1574	0.507
1575	0.493
1576	0.482
1577	0.468
1578	0.492
1579	0.536
1580	0.41
1581	0.482
1582	0.468
1583	0.536
1584	0.484
1585	0.501
1586	0.384
1587	0.486
1588	0.488
1589	0.402
1590	0.479
1591	0.575
1592	0.548
1593	0.483
1594	0.51
1595	0.585
1596	0.649
1597	0.853
1598	0.863
1599	0.956
1600	0.676
1601	0.658
1602	0.582
1603	0.462
1604	0.445
1605	0.599
1606	0.358
1607	0.454
1608	0.66
1609	0.668
1610	0.7
1611	0.765
1612	0.742
1613	0.82
1614	0.549
1615	0.462
1616	0.657
1617	0.744
1618	0.801
1619	1.383
1620	0.864
1621	0.942
1622	0.644
1623	0.732
1624	0.511
1625	0.582
1626	0.565
1627	0.457
1628	0.374
1629	0.469
1630	0.4
1631	0.453
1632	0.574
1633	0.388
1634	0.33
1635	0.242
1636	0.316
1637	0.482
1638	0.647
1639	0.539
1640	0.336
1641	0.572
1642	0.446
1643	0.478
1644	0.6
1645	0.551
1646	0.573
1647	0.93
1648	0.92
1649	0.714
1650	0.997
1651	0.701
1652	0.308
1653	0.912
1654	0.602
1655	0.609
1656	0.636
1657	0.406
1658	0.592
1659	0.432
1660	0.621
1661	0.59
1662	0.457
1663	0.701
1664	0.581
1665	0.7
1666	0.857
1667	0.918
1668	0.654
1669	0.768
1670	0.758
1671	0.854
1672	0.967
1673	0.806
1674	0.625
1675	0.652
1676	0.865
1677	0.697
1678	0.709
1679	0.882
1680	0.672
1681	0.715
1682	0.885
1683	1.095
1684	0.778
1685	1.089
1686	1.074
1687	1.056
1688	0.986
1689	0.926
1690	0.838
1691	0.887
1692	0.808
1693	0.816
1694	1.203
1695	0.825
1696	0.748
1697	0.485
1698	0.795
1699	0.637
1700	0.729
1701	1.009
1702	1.017
1703	0.802
1704	0.975
1705	1.105
1706	1.121
1707	1.538
1708	1.557
1709	1.358
1710	1.621
1711	0.673
1712	0.842
1713	1.043
1714	0.948
1715	1.1
1716	0.932
1717	0.904
1718	1.012
1719	0.896
1720	1.174
1721	0.997
1722	1.27
1723	1.383
1724	1.265
1725	1.254
1726	0.923
1727	1.115
1728	0.862
1729	0.98
1730	1.104
1731	1.327
