# PAGES2kv2_NAm-ak074LMR387 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_NAm-ak074LMR387 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Jacoby, G.C.; Davi, N.; Wiles, G.
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Jacoby, G.C.; Davi, N.; Wiles, G.
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Nabesna Mine 
#	Location: 
#	Country: 
#	Northernmost_Latitude: 62.4
#	Southernmost_Latitude: 62.4
#	Easternmost_Longitude: -143.1
#	Westernmost_Longitude: -143.1
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_NAm-ak074LMR387
#	Earliest_Year: 1540
#	Most_Recent_Year: 1997
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##MXD	maximum latewood density, , , , "[6, 7, 8]", Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	MXD
1540	0.857
1541	0.868
1542	0.805
1543	0.889
1544	0.868
1545	0.889
1546	0.962
1547	0.837
1548	0.879
1549	0.868
1550	0.92
1551	0.916
1552	0.962
1553	0.894
1554	0.842
1555	0.939
1556	0.971
1557	0.986
1558	0.98
1559	0.912
1560	0.943
1561	0.891
1562	0.933
1563	0.908
1564	0.929
1565	0.945
1566	0.98
1567	0.884
1568	0.987
1569	0.899
1570	0.956
1571	0.893
1572	0.968
1573	0.983
1574	0.879
1575	0.922
1576	0.932
1577	0.914
1578	1.023
1579	0.892
1580	0.856
1581	0.982
1582	1.012
1583	0.915
1584	0.927
1585	1.02
1586	0.925
1587	0.954
1588	1.027
1589	1.004
1590	1.036
1591	0.991
1592	0.997
1593	0.987
1594	1.017
1595	1.038
1596	0.916
1597	1.06
1598	0.88
1599	0.999
1600	0.967
1601	0.926
1602	0.892
1603	0.953
1604	0.937
1605	0.857
1606	0.949
1607	0.96
1608	0.947
1609	1.07
1610	1.077
1611	1.076
1612	1.026
1613	0.993
1614	0.881
1615	0.906
1616	1.057
1617	0.927
1618	0.959
1619	1.049
1620	1.005
1621	1.032
1622	1.051
1623	1.024
1624	1.09
1625	1.017
1626	0.967
1627	1.0
1628	1.028
1629	0.891
1630	0.891
1631	0.953
1632	1.048
1633	1.034
1634	1.07
1635	1.029
1636	0.965
1637	1.042
1638	0.97
1639	0.98
1640	1.041
1641	0.965
1642	1.011
1643	0.863
1644	1.037
1645	0.929
1646	0.984
1647	0.952
1648	0.925
1649	1.018
1650	1.092
1651	1.014
1652	1.038
1653	1.062
1654	1.128
1655	1.144
1656	1.031
1657	1.037
1658	1.01
1659	1.172
1660	1.15
1661	1.093
1662	1.059
1663	0.975
1664	1.118
1665	1.014
1666	0.997
1667	0.982
1668	0.97
1669	1.008
1670	0.945
1671	0.898
1672	0.821
1673	0.945
1674	1.031
1675	0.993
1676	1.055
1677	0.916
1678	0.883
1679	0.998
1680	0.921
1681	0.816
1682	0.935
1683	0.988
1684	0.916
1685	0.923
1686	0.963
1687	0.925
1688	1.056
1689	0.951
1690	0.873
1691	0.992
1692	0.974
1693	1.037
1694	0.92
1695	0.845
1696	0.929
1697	0.886
1698	0.947
1699	0.872
1700	1.02
1701	1.014
1702	0.871
1703	0.952
1704	1.032
1705	0.933
1706	0.916
1707	1.04
1708	1.05
1709	0.876
1710	1.027
1711	0.877
1712	0.982
1713	1.031
1714	0.89
1715	0.88
1716	0.95
1717	0.902
1718	1.03
1719	0.947
1720	1.07
1721	0.96
1722	0.989
1723	1.039
1724	0.949
1725	1.102
1726	1.049
1727	1.038
1728	1.053
1729	0.949
1730	0.948
1731	0.947
1732	0.992
1733	0.986
1734	0.841
1735	0.991
1736	1.013
1737	0.941
1738	0.893
1739	1.022
1740	0.896
1741	1.017
1742	1.0
1743	0.942
1744	0.932
1745	0.988
1746	0.935
1747	0.951
1748	1.035
1749	1.005
1750	1.042
1751	0.835
1752	0.975
1753	1.017
1754	1.022
1755	1.029
1756	1.089
1757	0.986
1758	0.998
1759	0.96
1760	1.1
1761	0.985
1762	0.949
1763	0.989
1764	1.045
1765	0.976
1766	0.921
1767	0.932
1768	0.84
1769	0.998
1770	1.008
1771	1.039
1772	0.993
1773	0.884
1774	0.968
1775	0.99
1776	1.038
1777	1.061
1778	0.937
1779	1.067
1780	0.941
1781	0.971
1782	0.988
1783	0.788
1784	0.963
1785	0.997
1786	0.986
1787	1.038
1788	1.032
1789	1.081
1790	0.901
1791	0.901
1792	1.074
1793	1.002
1794	0.972
1795	0.878
1796	0.979
1797	1.01
1798	0.942
1799	1.06
1800	0.993
1801	1.064
1802	0.975
1803	1.003
1804	1.028
1805	0.933
1806	1.059
1807	0.819
1808	0.891
1809	0.722
1810	0.692
1811	0.87
1812	0.845
1813	0.887
1814	0.893
1815	0.857
1816	1.033
1817	0.775
1818	0.908
1819	0.82
1820	1.04
1821	1.01
1822	1.045
1823	0.996
1824	1.04
1825	1.075
1826	0.988
1827	0.945
1828	0.993
1829	1.006
1830	0.922
1831	0.723
1832	0.885
1833	0.955
1834	0.791
1835	0.908
1836	1.026
1837	0.974
1838	1.102
1839	0.989
1840	1.075
1841	1.012
1842	0.943
1843	0.991
1844	1.112
1845	1.047
1846	1.09
1847	1.09
1848	1.066
1849	0.999
1850	1.038
1851	1.047
1852	1.072
1853	1.002
1854	1.072
1855	1.096
1856	0.938
1857	0.987
1858	1.004
1859	0.964
1860	1.101
1861	1.008
1862	0.967
1863	1.017
1864	0.878
1865	1.027
1866	1.057
1867	0.991
1868	0.952
1869	0.969
1870	0.97
1871	0.999
1872	1.082
1873	0.959
1874	1.053
1875	1.018
1876	1.084
1877	1.087
1878	1.081
1879	1.078
1880	0.997
1881	1.069
1882	1.087
1883	1.023
1884	1.119
1885	1.111
1886	1.036
1887	0.954
1888	1.066
1889	1.017
1890	1.118
1891	1.08
1892	1.104
1893	0.918
1894	0.995
1895	1.046
1896	0.951
1897	0.876
1898	0.938
1899	1.041
1900	0.983
1901	1.004
1902	1.083
1903	1.146
1904	1.002
1905	1.102
1906	0.986
1907	1.038
1908	1.009
1909	1.019
1910	1.031
1911	1.054
1912	1.063
1913	1.042
1914	0.962
1915	1.201
1916	0.981
1917	0.927
1918	1.047
1919	0.969
1920	1.092
1921	1.055
1922	1.056
1923	1.172
1924	1.106
1925	1.051
1926	1.079
1927	1.133
1928	0.972
1929	1.044
1930	1.105
1931	1.036
1932	1.032
1933	0.991
1934	1.036
1935	0.9
1936	1.073
1937	0.936
