# PAGES2kv2_NAm-ak132LMR396 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_NAm-ak132LMR396 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Anchukaitis, K.J.; DArrigo, R.D.; Frank, D.; Andreu; Hayles, L.; Buckley, B.M.
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Anchukaitis, K.J.; DArrigo, R.D.; Frank, D.; Andreu; Hayles, L.; Buckley, B.M.
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Firth River 1236 
#	Location: 
#	Country: 
#	Northernmost_Latitude: 68.7
#	Southernmost_Latitude: 68.7
#	Easternmost_Longitude: -141.6
#	Westernmost_Longitude: -141.6
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_NAm-ak132LMR396
#	Earliest_Year: 1073
#	Most_Recent_Year: 2002
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##MXD	maximum latewood density, , , , "[6, 7, 8]", Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	MXD
1073	0.997
1074	0.941
1075	0.964
1076	0.971
1077	0.982
1078	0.988
1079	1.021
1080	0.982
1081	1.035
1082	1.062
1083	1.052
1084	1.018
1085	1.022
1086	1.047
1087	1.072
1088	1.066
1089	1.055
1090	1.051
1091	1.076
1092	1.08
1093	1.064
1094	1.076
1095	1.025
1096	1.105
1097	1.003
1098	1.014
1099	0.905
1100	1.024
1101	0.98
1102	0.993
1103	0.961
1104	0.987
1105	0.965
1106	0.993
1107	1.007
1108	0.98
1109	0.889
1110	0.916
1111	0.89
1112	0.971
1113	0.9
1114	0.959
1115	0.963
1116	0.986
1117	1.034
1118	0.952
1119	1.034
1120	0.894
1121	0.874
1122	0.933
1123	1.008
1124	0.992
1125	1.068
1126	0.914
1127	0.889
1128	1.0
1129	0.998
1130	0.861
1131	1.12
1132	0.975
1133	1.118
1134	0.976
1135	0.9
1136	1.055
1137	0.944
1138	1.026
1139	0.956
1140	0.96
1141	0.991
1142	1.002
1143	0.893
1144	1.03
1145	0.851
1146	0.94
1147	1.048
1148	0.994
1149	0.955
1150	0.944
1151	1.093
1152	0.773
1153	0.96
1154	0.94
1155	1.005
1156	1.077
1157	1.132
1158	0.943
1159	0.976
1160	0.94
1161	0.895
1162	1.072
1163	0.926
1164	1.018
1165	1.011
1166	1.003
1167	1.027
1168	1.024
1169	0.969
1170	1.072
1171	0.999
1172	1.021
1173	1.002
1174	1.015
1175	1.036
1176	1.02
1177	1.054
1178	1.068
1179	0.978
1180	0.943
1181	1.016
1182	1.058
1183	1.098
1184	1.023
1185	1.09
1186	0.979
1187	1.11
1188	1.032
1189	0.966
1190	1.052
1191	0.945
1192	1.099
1193	0.928
1194	0.959
1195	0.972
1196	0.976
1197	0.956
1198	0.945
1199	0.96
1200	1.116
1201	1.071
1202	1.032
1203	0.988
1204	0.928
1205	0.991
1206	1.037
1207	1.032
1208	0.948
1209	1.046
1210	1.105
1211	1.03
1212	1.005
1213	0.985
1214	0.894
1215	1.035
1216	1.032
1217	0.888
1218	0.913
1219	0.986
1220	0.965
1221	1.056
1222	0.858
1223	0.974
1224	0.983
1225	1.01
1226	1.02
1227	0.946
1228	1.061
1229	1.008
1230	0.987
1231	0.954
1232	1.059
1233	1.087
1234	0.894
1235	1.009
1236	0.969
1237	0.955
1238	1.011
1239	1.016
1240	1.037
1241	1.036
1242	1.011
1243	0.969
1244	0.95
1245	1.034
1246	0.873
1247	1.007
1248	0.968
1249	1.09
1250	0.968
1251	1.064
1252	1.079
1253	1.015
1254	1.02
1255	0.973
1256	0.973
1257	1.055
1258	1.014
1259	1.049
1260	1.062
1261	1.075
1262	1.067
1263	0.751
1264	1.034
1265	1.009
1266	1.005
1267	0.953
1268	0.988
1269	1.007
1270	0.998
1271	0.958
1272	1.053
1273	0.917
1274	0.977
1275	0.992
1276	1.035
1277	1.022
1278	1.041
1279	1.054
1280	0.92
1281	1.01
1282	0.969
1283	1.0
1284	1.074
1285	0.911
1286	1.025
1287	0.976
1288	0.966
1289	1.036
1290	1.036
1291	1.031
