# PAGES2kv2_NAm-az555LMR399 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_NAm-az555LMR399 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Briffa, K.; Schweingruber, F.H. 
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Briffa, K.; Schweingruber, F.H. 
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Mt. Lemon 
#	Location: 
#	Country: 
#	Northernmost_Latitude: 32.5
#	Southernmost_Latitude: 32.5
#	Easternmost_Longitude: -110.8
#	Westernmost_Longitude: -110.8
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_NAm-az555LMR399
#	Earliest_Year: 1568
#	Most_Recent_Year: 1983
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##MXD	maximum latewood density, , , , "[6, 7, 8]", Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	MXD
1568	0.968
1569	0.962
1570	1.013
1571	0.95
1572	1.008
1573	0.952
1574	1.029
1575	0.989
1576	1.05
1577	1.065
1578	1.093
1579	1.068
1580	1.044
1581	1.024
1582	1.089
1583	1.018
1584	1.019
1585	1.092
1586	0.979
1587	1.069
1588	1.049
1589	1.019
1590	1.02
1591	1.054
1592	1.034
1593	1.001
1594	1.012
1595	1.006
1596	0.934
1597	1.039
1598	1.019
1599	1.01
1600	0.964
1601	1.036
1602	1.002
1603	1.024
1604	1.029
1605	1.008
1606	0.968
1607	0.948
1608	0.99
1609	1.011
1610	1.015
1611	1.002
1612	1.026
1613	0.916
1614	0.98
1615	0.954
1616	0.945
1617	0.971
1618	1.031
1619	1.004
1620	1.026
1621	0.991
1622	0.943
1623	0.89
1624	0.78
1625	0.889
1626	0.961
1627	0.951
1628	0.939
1629	0.947
1630	0.922
1631	0.94
1632	0.856
1633	0.864
1634	0.928
1635	0.987
1636	1.036
1637	0.993
1638	0.994
1639	0.99
1640	0.936
1641	0.967
1642	1.042
1643	0.958
1644	1.011
1645	1.031
1646	1.03
1647	0.941
1648	0.781
1649	0.808
1650	0.867
1651	0.907
1652	0.926
1653	0.958
1654	0.879
1655	0.966
1656	1.021
1657	0.99
1658	0.984
1659	0.988
1660	0.934
1661	0.964
1662	0.975
1663	1.05
1664	0.968
1665	0.943
1666	1.034
1667	0.971
1668	0.865
1669	0.887
1670	0.707
1671	0.718
1672	0.922
1673	0.912
1674	0.959
1675	1.066
1676	1.06
1677	1.016
1678	0.992
1679	1.048
1680	0.991
1681	1.092
1682	1.041
1683	1.025
1684	1.051
1685	0.902
1686	1.004
1687	1.02
1688	1.054
1689	1.081
1690	1.039
1691	1.038
1692	1.088
1693	1.069
1694	1.065
1695	1.013
1696	1.017
1697	0.952
1698	0.984
1699	0.988
1700	1.0
1701	1.01
1702	1.011
1703	0.949
1704	0.989
1705	0.944
1706	0.972
1707	1.047
1708	1.001
1709	0.989
1710	0.993
1711	1.028
1712	1.035
1713	1.026
1714	1.038
1715	0.991
1716	0.981
1717	0.967
1718	0.957
1719	1.034
1720	1.045
1721	0.981
1722	1.016
1723	1.002
1724	1.06
1725	0.993
1726	0.994
1727	1.064
1728	1.074
1729	1.036
1730	0.969
1731	1.081
1732	0.945
1733	1.043
1734	0.993
1735	0.969
