# PAGES2kv2_NAm-ca534LMR403 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_NAm-ca534LMR403 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Graybill, D.A.
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Graybill, D.A.
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Sheep Mountain
#	Location: 
#	Country: 
#	Northernmost_Latitude: 37.2
#	Southernmost_Latitude: 37.2
#	Easternmost_Longitude: -118.1
#	Westernmost_Longitude: -118.1
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_NAm-ca534LMR403
#	Earliest_Year: 0
#	Most_Recent_Year: 1990
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"duplicate":"northamerica_usa_ca667B.txt"} {"duplicate":"northamerica_usa_ca534B.txt"}  {"database":"PAGES2"}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
0	1.237
1	1.179
2	1.061
3	1.327
4	1.002
5	1.032
6	1.032
7	1.416
8	1.062
9	1.151
10	1.476
11	1.446
12	1.535
13	1.329
14	1.181
15	0.915
16	0.974
17	0.945
18	1.211
19	1.418
20	1.359
21	0.768
22	1.067
23	1.554
24	1.622
25	1.879
26	1.852
27	1.853
28	1.463
29	0.593
30	1.169
31	1.271
32	1.912
33	1.509
34	1.954
35	1.83
36	2.029
37	1.342
38	1.767
39	1.509
40	0.876
41	1.19
42	1.019
43	0.773
44	0.552
45	0.441
46	0.538
47	0.649
48	0.66
49	0.79
50	0.933
51	0.693
52	1.004
53	0.618
54	1.017
55	1.018
56	0.682
57	0.62
58	0.491
59	0.589
60	0.7
61	0.766
62	0.819
63	0.746
64	0.688
65	0.481
66	0.86
67	0.68
68	0.991
69	0.777
70	1.043
71	0.968
72	1.065
73	0.602
74	0.739
75	1.17
76	1.292
77	1.326
78	1.604
79	1.58
80	1.365
81	1.227
82	1.353
83	0.684
84	1.075
85	0.551
86	0.917
87	0.89
88	1.469
89	1.503
90	1.624
91	1.296
92	0.98
93	0.836
94	0.978
95	1.064
96	1.286
97	0.728
98	0.655
99	0.564
100	0.249
101	0.402
102	0.402
103	0.811
104	0.796
105	0.822
106	0.291
107	0.515
108	0.648
109	0.604
110	0.725
111	0.732
112	0.795
113	0.808
114	0.846
115	1.09
116	0.752
117	0.488
118	0.573
119	0.598
120	0.908
121	0.905
122	0.897
123	0.763
124	1.069
125	1.222
126	0.849
127	0.915
128	0.992
129	0.72
130	0.978
131	0.793
132	1.043
133	0.688
134	0.878
135	0.955
136	0.328
137	0.237
138	1.033
139	0.817
140	0.647
141	0.609
142	0.72
143	0.688
144	0.591
145	0.495
146	0.597
147	0.591
148	0.753
149	0.462
150	0.419
151	0.289
152	0.358
153	0.709
154	0.807
155	0.777
156	0.757
157	1.128
158	1.01
159	0.978
160	0.934
161	1.078
162	0.992
163	0.894
164	1.082
165	0.625
166	0.628
167	1.152
168	0.782
169	0.801
170	0.949
171	1.027
172	0.957
173	1.139
174	0.833
175	0.918
176	0.413
177	0.823
178	0.675
179	0.67
180	0.978
181	0.939
182	0.891
183	0.848
184	1.011
185	0.916
186	0.94
187	0.966
188	1.378
189	0.852
190	0.999
191	1.264
192	0.973
193	1.168
194	0.877
195	0.57
196	0.726
197	1.07
198	1.051
199	1.287
200	1.074
201	1.05
202	0.943
203	0.964
204	1.101
205	1.133
206	1.06
207	1.053
208	0.586
209	0.972
210	1.242
211	0.858
212	1.089
213	1.314
214	0.869
215	0.773
216	0.971
217	1.044
218	1.268
219	1.022
220	0.954
221	0.728
222	1.077
223	0.939
224	0.824
225	0.906
226	0.827
227	0.8
228	0.793
229	1.012
230	0.804
231	0.868
232	0.93
233	0.788
234	0.811
235	0.017
236	0.469
237	0.839
238	0.846
239	0.82
240	0.968
241	1.056
242	0.998
243	0.821
244	0.929
245	1.095
246	0.964
247	1.163
248	0.834
249	0.907
250	1.241
251	1.299
252	1.291
253	1.281
254	1.204
255	0.657
256	0.854
257	1.034
258	1.132
259	0.849
260	0.978
261	0.821
262	0.864
263	1.008
264	1.057
265	1.139
266	1.222
267	0.965
268	1.103
269	1.176
270	1.156
271	0.904
272	0.847
273	0.902
274	0.624
275	0.874
276	0.947
277	1.039
278	0.623
279	0.934
280	1.128
281	1.241
282	1.187
283	1.086
284	1.134
285	1.005
286	1.367
287	0.933
288	1.291
289	1.104
290	0.971
291	0.752
292	1.077
293	0.59
294	0.409
295	0.802
296	0.937
297	0.879
298	0.854
299	0.98
300	1.136
301	0.801
302	0.954
303	0.963
304	1.009
305	0.735
306	0.46
307	0.555
308	0.53
309	0.709
310	1.004
311	0.962
312	1.024
313	1.313
314	1.341
315	1.37
316	1.367
317	1.36
318	1.317
319	1.321
320	0.961
321	0.47
322	0.978
323	0.989
324	0.968
325	1.088
326	1.089
327	1.342
328	0.824
329	1.244
330	1.363
331	1.068
332	1.275
333	0.84
334	1.036
335	1.07
336	0.762
337	0.741
338	1.246
339	0.658
340	0.938
341	0.895
342	0.861
343	1.074
344	0.838
345	1.199
346	1.097
347	1.263
348	0.942
349	1.248
350	1.118
351	1.144
352	0.992
353	1.11
354	1.073
355	1.132
356	1.228
357	0.874
358	1.071
359	1.086
360	1.238
361	1.107
362	1.02
363	0.747
364	1.024
365	1.403
366	1.249
367	1.035
368	1.282
369	0.856
370	0.762
371	0.76
372	1.165
373	0.844
374	0.855
375	0.963
376	0.93
377	1.045
378	0.974
379	1.237
380	1.173
381	1.194
382	1.2
383	1.036
384	1.091
385	1.18
386	1.213
387	1.011
388	1.015
389	1.422
390	1.102
391	1.024
392	1.021
393	1.113
394	1.151
395	1.082
396	1.162
397	1.309
398	1.105
399	1.25
400	0.91
401	1.2
402	0.656
403	1.084
404	0.828
405	1.072
406	0.958
407	1.055
408	1.193
409	0.92
410	1.086
411	1.13
412	0.811
413	0.878
414	1.078
415	1.222
416	0.714
417	1.247
418	0.775
419	0.702
420	0.788
421	1.014
422	1.093
423	0.933
424	0.867
425	1.246
426	1.076
427	1.288
428	1.071
429	1.135
430	1.22
431	0.727
432	0.964
433	1.239
434	1.215
435	1.3
436	0.867
437	0.447
438	1.052
439	0.655
440	0.776
441	0.741
442	0.668
443	0.701
444	0.791
445	0.709
446	0.6
447	0.66
448	0.826
449	0.487
450	0.699
451	0.685
452	1.194
453	1.155
454	1.079
455	1.001
456	1.015
457	1.12
458	1.316
459	1.244
460	1.029
461	0.744
462	1.272
463	0.668
464	0.802
465	0.935
466	0.824
467	0.894
468	1.145
469	0.964
470	0.806
471	0.778
472	0.59
473	0.696
474	0.76
475	0.926
476	1.042
477	1.12
478	0.984
479	0.878
480	1.197
481	1.07
482	0.946
483	0.962
484	1.013
485	1.012
486	0.647
487	1.1
488	0.687
489	0.885
490	0.81
491	0.899
492	0.924
493	1.146
494	1.14
495	1.123
496	1.19
497	1.099
498	1.159
499	1.103
500	1.032
501	0.924
502	1.309
503	1.316
504	1.404
505	1.325
506	0.77
507	1.166
508	1.269
509	1.177
510	1.233
511	0.989
512	1.026
513	1.015
