# PAGES2kv2_NAm-cana082LMR418 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_NAm-cana082LMR418 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Schweingruber, F.H.
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Schweingruber, F.H.
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Don Jek River Bridge 
#	Location: 
#	Country: 
#	Northernmost_Latitude: 61.7
#	Southernmost_Latitude: 61.7
#	Easternmost_Longitude: -139.7
#	Westernmost_Longitude: -139.7
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_NAm-cana082LMR418
#	Earliest_Year: 1585
#	Most_Recent_Year: 1983
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##MXD	maximum latewood density, , , , "[6, 7, 8]", Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	MXD
1585	0.995
1586	0.947
1587	0.924
1588	0.966
1589	1.01
1590	0.977
1591	0.94
1592	0.987
1593	0.945
1594	0.961
1595	0.979
1596	0.893
1597	0.894
1598	0.914
1599	0.9
1600	0.948
1601	0.938
1602	0.853
1603	0.833
1604	0.8
1605	0.829
1606	0.838
1607	0.853
1608	0.878
1609	0.918
1610	0.879
1611	0.971
1612	1.001
1613	0.995
1614	1.012
1615	1.011
1616	1.036
1617	0.93
1618	0.936
1619	1.003
1620	1.042
1621	1.004
1622	1.014
1623	1.05
1624	0.963
1625	0.992
1626	0.997
1627	0.988
1628	1.07
1629	1.037
1630	1.095
1631	1.018
1632	1.029
1633	1.048
1634	1.068
1635	1.054
1636	1.049
1637	1.054
1638	1.07
1639	1.079
1640	1.07
1641	1.027
1642	1.052
1643	0.979
1644	1.008
1645	1.0
1646	0.985
1647	0.98
1648	0.957
1649	1.011
1650	1.061
1651	1.061
1652	1.071
1653	1.022
1654	0.983
1655	0.96
1656	0.994
1657	0.989
1658	0.974
1659	1.024
1660	0.998
1661	1.017
1662	1.028
1663	0.974
1664	0.936
1665	0.902
1666	0.888
1667	0.908
1668	0.964
1669	1.018
1670	0.989
1671	1.029
1672	1.029
1673	1.044
1674	1.02
1675	0.971
1676	1.036
1677	1.056
1678	0.967
1679	0.993
1680	1.028
1681	1.013
1682	1.034
1683	1.084
1684	1.095
1685	1.055
1686	1.121
1687	1.061
1688	1.097
1689	1.002
1690	1.063
1691	1.063
1692	1.084
1693	1.064
1694	1.064
1695	0.944
1696	1.025
1697	0.954
1698	0.941
1699	0.851
1700	0.849
1701	0.862
1702	0.823
1703	0.839
1704	0.799
1705	0.73
1706	0.8
1707	0.815
1708	0.843
1709	0.927
1710	0.957
1711	0.866
1712	0.963
1713	0.878
1714	0.83
1715	0.82
1716	0.866
1717	0.878
1718	0.854
1719	0.893
1720	0.894
1721	0.988
1722	0.919
1723	0.939
1724	0.968
1725	0.854
1726	0.856
1727	0.829
1728	0.802
1729	0.873
1730	0.894
1731	0.945
1732	0.946
1733	1.015
1734	1.002
1735	0.989
1736	1.002
1737	0.939
1738	0.958
1739	0.988
1740	0.887
1741	0.936
1742	0.98
1743	1.032
1744	0.98
1745	0.952
1746	1.029
1747	1.014
1748	1.025
1749	0.917
1750	1.021
