# PAGES2kv2_NAm-cana234LMR444 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_NAm-cana234LMR444 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Wilson, R.; Luckman, B.
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Wilson, R.; Luckman, B.
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Big White 2 
#	Location: 
#	Country: 
#	Northernmost_Latitude: 49.7
#	Southernmost_Latitude: 49.7
#	Easternmost_Longitude: -118.9
#	Westernmost_Longitude: -118.9
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_NAm-cana234LMR444
#	Earliest_Year: 1512
#	Most_Recent_Year: 1997
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"duplicate":"northamerica_canada_cana234B.txt"}  {"database":"PAGES2"}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, , , , "[6, 7, 8]", Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1580	0.883
1581	0.913
1582	0.873
1583	0.938
1584	1.073
1585	1.459
1586	1.053
1587	0.816
1588	0.717
1589	0.566
1590	0.661
1591	0.746
1592	0.818
1593	1.321
1594	1.564
1595	1.176
1596	0.871
1597	0.865
1598	0.742
1599	0.801
1600	0.822
1601	0.666
1602	0.698
1603	1.06
1604	1.133
1605	0.947
1606	1.031
1607	1.091
1608	1.047
1609	0.918
1610	0.558
1611	1.085
1612	0.818
1613	0.756
1614	0.762
1615	0.686
1616	0.892
1617	0.93
1618	1.006
1619	0.93
1620	0.698
1621	0.778
1622	0.725
1623	0.843
1624	0.776
1625	0.8
1626	0.697
1627	0.628
1628	0.63
1629	0.834
1630	0.598
1631	0.546
1632	0.618
1633	0.691
1634	0.865
1635	0.912
1636	0.836
1637	0.798
1638	0.735
1639	0.792
1640	0.748
1641	0.779
1642	0.801
1643	0.877
1644	0.999
1645	0.765
1646	0.913
1647	0.826
1648	0.969
1649	1.01
1650	1.046
1651	0.826
1652	0.931
1653	0.861
1654	0.888
1655	1.103
1656	1.019
1657	1.029
1658	1.062
1659	1.297
1660	1.047
1661	1.005
1662	1.046
1663	1.084
1664	0.994
1665	1.054
1666	0.897
1667	0.898
1668	1.312
1669	1.073
1670	0.896
1671	0.875
1672	1.032
1673	0.953
1674	1.069
1675	1.038
1676	0.879
1677	1.363
1678	1.257
1679	1.301
1680	1.229
1681	0.923
1682	1.097
1683	1.057
1684	0.963
1685	0.91
1686	0.765
1687	0.898
1688	0.9
1689	1.038
1690	0.956
1691	0.912
1692	0.997
1693	0.802
1694	0.471
1695	0.865
1696	0.941
1697	0.815
1698	1.019
1699	0.804
1700	1.078
1701	0.936
1702	1.246
1703	1.18
1704	1.038
1705	1.303
1706	1.134
1707	1.174
1708	1.138
1709	0.793
1710	1.116
1711	1.127
1712	1.243
1713	1.172
1714	0.96
1715	0.703
1716	0.893
1717	1.051
1718	0.921
1719	0.936
1720	0.824
1721	1.073
1722	1.124
1723	0.915
1724	1.028
1725	0.923
1726	1.159
1727	1.341
1728	1.154
1729	1.224
1730	1.033
1731	0.828
1732	0.957
1733	1.019
1734	1.161
1735	0.929
1736	0.995
1737	1.027
1738	1.077
1739	1.192
1740	1.001
1741	1.069
1742	1.06
1743	1.135
1744	1.002
1745	1.202
1746	0.667
1747	1.231
1748	1.24
