# PAGES2kv2_NAm-cana234LMR445 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_NAm-cana234LMR445 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Wilson, R.; Luckman, B.
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Wilson, R.; Luckman, B.
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Big White 2 
#	Location: 
#	Country: 
#	Northernmost_Latitude: 49.7
#	Southernmost_Latitude: 49.7
#	Easternmost_Longitude: -118.9
#	Westernmost_Longitude: -118.9
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_NAm-cana234LMR445
#	Earliest_Year: 1512
#	Most_Recent_Year: 1997
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##MXD	maximum latewood density, , , , "[6, 7, 8]", Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	MXD
1512	0.87
1513	0.885
1514	0.893
1515	0.893
1516	0.87
1517	0.81
1518	0.826
1519	0.952
1520	0.871
1521	0.826
1522	0.84
1523	0.804
1524	0.849
1525	0.953
1526	0.922
1527	0.931
1528	1.021
1529	0.868
1530	0.931
1531	0.922
1532	0.827
1533	0.909
1534	0.977
1535	0.873
1536	0.9
1537	0.905
1538	0.869
1539	0.855
1540	0.842
1541	0.919
1542	0.765
1543	0.915
1544	0.788
1545	0.974
1546	0.906
1547	0.965
1548	0.865
1549	0.97
1550	0.961
1551	0.911
1552	0.925
1553	0.798
1554	0.966
1555	0.903
1556	0.826
1557	0.953
1558	0.844
1559	0.798
1560	0.917
1561	0.872
1562	0.885
1563	0.863
1564	0.851
1565	0.882
1566	0.863
1567	0.822
1568	0.864
1569	0.792
1570	0.835
1571	0.721
1572	0.857
1573	0.785
1574	0.817
1575	0.88
1576	0.871
1577	0.862
1578	0.873
1579	0.695
1580	0.917
1581	0.907
1582	0.95
1583	0.909
1584	0.91
1585	0.888
1586	0.884
1587	0.801
1588	0.94
1589	0.728
1590	0.946
1591	0.958
1592	0.92
1593	0.974
1594	1.017
1595	1.077
1596	0.943
1597	0.975
1598	1.025
1599	0.998
1600	1.052
1601	0.876
1602	0.959
1603	1.004
1604	0.945
1605	1.089
1606	1.053
1607	0.994
1608	1.03
1609	1.102
1610	0.991
1611	1.035
1612	0.936
1613	1.0
1614	0.972
1615	0.905
1616	1.014
1617	1.08
1618	1.036
1619	1.049
1620	1.047
1621	1.015
1622	0.938
1623	0.985
1624	0.937
1625	0.978
1626	0.855
1627	1.0
1628	1.002
1629	0.953
1630	0.931
1631	0.979
1632	1.007
1633	1.018
1634	0.985
1635	0.962
1636	1.027
1637	0.921
1638	1.091
1639	0.955
1640	0.965
1641	0.709
1642	1.051
1643	0.978
1644	0.99
1645	0.993
1646	0.985
1647	0.96
1648	1.02
1649	1.052
1650	0.977
1651	0.996
1652	0.996
1653	0.989
1654	1.005
1655	0.873
1656	1.067
1657	0.948
1658	0.937
1659	1.014
1660	0.99
1661	0.968
1662	1.027
1663	0.994
1664	0.907
1665	0.824
1666	0.981
1667	1.016
1668	0.784
1669	0.947
1670	0.865
1671	1.007
1672	0.917
1673	0.943
1674	0.789
1675	0.947
1676	0.842
1677	0.954
1678	0.89
