# PAGES2kv2_NAm-cana351LMR451 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_NAm-cana351LMR451 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: 
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: 
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Bennington
#	Location: 
#	Country: 
#	Northernmost_Latitude: 52.7
#	Southernmost_Latitude: 52.7
#	Easternmost_Longitude: -118.3
#	Westernmost_Longitude: -118.3
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_NAm-cana351LMR451
#	Earliest_Year: 1104
#	Most_Recent_Year: 1996
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1104	1.236
1105	1.568
1106	1.476
1107	1.199
1108	1.051
1109	1.107
1110	1.07
1111	0.94
1112	1.212
1113	1.117
1114	0.83
1115	0.907
1116	0.852
1117	0.763
1118	0.811
1119	0.868
1120	0.754
1121	0.915
1122	0.844
1123	1.008
1124	0.926
1125	0.96
1126	1.043
1127	1.136
1128	1.02
1129	1.027
1130	1.186
1131	1.08
1132	1.107
1133	0.894
1134	0.991
1135	1.036
1136	0.968
1137	0.925
1138	1.031
1139	1.076
1140	1.007
1141	1.101
1142	0.972
1143	1.068
1144	1.049
1145	0.988
1146	1.012
1147	0.992
1148	1.15
1149	1.211
1150	1.193
1151	0.999
1152	0.855
1153	1.093
1154	1.139
1155	0.999
1156	1.214
1157	1.085
1158	0.972
1159	1.134
1160	0.887
1161	0.951
1162	0.938
1163	1.015
1164	1.037
1165	0.874
1166	1.039
1167	1.033
1168	0.95
1169	0.879
1170	1.177
1171	1.264
1172	1.007
1173	0.946
1174	0.942
1175	0.889
1176	0.812
1177	0.665
1178	0.97
1179	0.726
1180	0.826
1181	0.751
1182	0.733
1183	0.745
1184	0.767
1185	0.858
1186	0.901
1187	0.928
1188	0.912
1189	0.934
1190	1.008
1191	0.829
1192	0.749
1193	0.904
1194	0.823
1195	0.973
1196	1.017
1197	0.976
1198	0.842
1199	0.828
1200	0.719
1201	0.799
1202	0.999
1203	0.79
1204	0.675
1205	0.819
1206	0.821
1207	0.869
1208	0.946
1209	0.863
1210	1.102
1211	1.142
1212	1.013
1213	1.12
1214	0.974
1215	0.988
1216	1.061
1217	1.057
1218	0.992
1219	1.045
1220	0.914
1221	0.999
1222	1.059
1223	1.012
1224	1.189
1225	0.861
1226	0.959
1227	0.755
1228	1.022
1229	0.833
1230	0.942
1231	0.944
1232	1.016
1233	0.849
1234	0.764
1235	0.748
1236	0.755
1237	1.095
1238	0.932
1239	0.881
1240	1.078
1241	0.973
1242	1.141
1243	1.137
1244	0.954
1245	1.186
1246	1.102
1247	0.916
1248	0.546
1249	0.54
1250	0.679
1251	0.782
1252	0.78
1253	0.681
1254	0.85
1255	0.846
1256	0.846
1257	0.945
1258	0.667
1259	0.821
1260	0.913
1261	0.874
1262	0.961
1263	0.933
1264	0.786
1265	0.89
1266	0.854
1267	0.861
1268	0.841
1269	0.827
1270	0.81
1271	1.057
1272	0.979
1273	0.692
1274	0.929
1275	0.825
1276	0.857
1277	0.97
1278	1.04
1279	0.978
1280	0.923
1281	0.81
1282	0.831
1283	0.866
1284	0.947
1285	0.876
1286	0.812
1287	0.787
1288	0.516
1289	0.717
1290	0.554
1291	0.789
1292	0.741
1293	0.835
1294	0.921
1295	0.801
1296	0.998
1297	1.077
1298	0.969
1299	0.996
1300	0.996
1301	0.948
1302	0.94
1303	0.89
1304	0.813
1305	0.782
1306	0.825
1307	0.752
1308	0.737
1309	0.754
1310	0.923
1311	0.896
1312	0.909
1313	0.864
1314	0.823
1315	1.01
1316	1.069
1317	1.168
1318	1.046
1319	1.206
1320	1.185
1321	0.881
1322	1.196
1323	1.318
1324	1.214
1325	1.073
1326	1.104
1327	0.848
1328	0.934
1329	0.886
1330	0.845
1331	0.986
1332	0.871
1333	0.863
1334	0.84
1335	0.842
1336	0.629
1337	0.744
1338	0.731
1339	0.532
1340	0.603
1341	0.535
1342	0.518
1343	0.596
1344	0.67
1345	0.661
1346	0.83
1347	0.683
1348	0.552
1349	0.728
1350	0.545
1351	0.925
1352	0.822
1353	0.807
1354	0.782
1355	0.895
1356	1.251
1357	1.053
1358	1.165
1359	1.165
1360	1.076
1361	1.123
1362	0.91
1363	0.877
1364	1.045
1365	1.198
1366	1.133
1367	0.981
1368	0.958
1369	1.239
1370	1.002
1371	0.895
1372	0.708
1373	1.045
1374	1.08
1375	1.157
1376	1.054
1377	1.186
1378	1.205
1379	1.168
1380	0.912
1381	0.957
1382	1.07
1383	1.019
1384	1.1
1385	1.01
1386	1.135
1387	1.192
1388	1.057
1389	1.09
1390	1.008
1391	1.074
1392	1.07
1393	1.03
1394	1.12
1395	1.032
1396	1.171
1397	0.907
1398	0.994
1399	0.99
1400	1.07
1401	0.966
