# PAGES2kv2_NAm-wa061LMR503 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_NAm-wa061LMR503 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Graumlich, L.J.
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Graumlich, L.J.
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Scatter Lake
#	Location: 
#	Country: 
#	Northernmost_Latitude: 48.3
#	Southernmost_Latitude: 48.3
#	Easternmost_Longitude: -120.3
#	Westernmost_Longitude: -120.3
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_NAm-wa061LMR503
#	Earliest_Year: 1316
#	Most_Recent_Year: 1980
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"duplicate":"northamerica_usa_wa061B.txt"}  {"database":"PAGES2"}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, , , , "[6, 7, 8]", Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1316	0.759
1317	1.041
1318	0.892
1319	1.154
1320	0.852
1321	0.853
1322	0.833
1323	0.857
1324	0.814
1325	0.75
1326	0.906
1327	0.73
1328	0.687
1329	0.488
1330	0.578
1331	1.049
1332	1.388
1333	1.369
1334	1.214
1335	0.764
1336	0.719
1337	0.948
1338	0.745
1339	0.7
1340	0.656
1341	0.91
1342	0.635
1343	0.497
1344	0.984
1345	1.079
1346	1.175
1347	0.733
1348	0.618
1349	0.478
1350	0.408
1351	0.856
1352	1.402
1353	1.025
1354	1.051
1355	1.029
1356	0.745
1357	0.794
1358	0.675
1359	0.797
1360	0.798
1361	1.017
1362	1.165
1363	1.459
1364	1.12
1365	0.976
1366	1.198
1367	0.538
1368	0.686
1369	0.786
1370	1.084
1371	1.284
1372	0.715
1373	0.766
1374	0.818
1375	0.894
1376	0.971
1377	1.174
1378	1.151
1379	1.103
1380	0.826
1381	1.462
1382	1.924
1383	1.749
1384	1.445
1385	1.32
1386	1.168
1387	1.531
1388	1.379
1389	1.097
1390	0.814
1391	0.763
1392	0.712
1393	0.896
1394	1.16
1395	1.162
1396	1.111
1397	1.166
1398	1.094
1399	0.743
1400	0.501
1401	0.766
1402	0.501
1403	1.043
1404	0.812
1405	0.998
1406	1.461
1407	1.29
1408	0.726
1409	0.841
1410	1.084
1411	1.12
1412	0.45
1413	0.703
1414	0.589
1415	0.783
1416	0.715
1417	0.235
1418	0.82
1419	0.942
1420	0.871
1421	0.795
1422	0.989
1423	0.954
1424	0.839
1425	0.413
1426	0.888
1427	0.611
1428	1.177
1429	1.666
1430	1.067
1431	0.876
1432	1.326
1433	1.742
1434	1.951
1435	1.868
1436	1.546
1437	1.904
1438	1.526
1439	1.273
1440	1.055
1441	1.29
1442	1.397
1443	1.568
1444	1.567
1445	1.393
1446	1.693
1447	1.26
1448	0.573
1449	0.473
1450	1.106
1451	0.678
1452	0.489
1453	0.566
1454	0.529
1455	1.016
1456	0.765
1457	0.878
1458	0.225
1459	0.264
1460	1.047
1461	0.699
1462	0.925
1463	0.772
1464	0.835
1465	1.062
1466	1.314
1467	0.747
1468	1.465
1469	2.296
1470	1.334
1471	1.428
1472	0.576
1473	0.792
1474	0.944
1475	1.234
1476	1.031
1477	1.111
1478	1.389
1479	1.096
1480	0.773
1481	0.833
1482	1.191
1483	0.866
1484	1.409
1485	0.682
1486	1.495
1487	1.905
1488	1.17
1489	2.085
1490	1.672
1491	1.37
1492	1.91
1493	1.267
1494	1.434
1495	1.114
1496	1.439
1497	0.704
1498	0.95
1499	1.086
1500	1.011
1501	1.915
1502	1.606
1503	1.294
1504	1.732
1505	0.958
1506	2.018
1507	1.864
1508	1.749
1509	1.464
1510	1.372
1511	1.312
1512	1.314
1513	1.629
1514	0.716
1515	1.445
1516	0.933
1517	1.063
1518	0.947
1519	1.109
1520	0.649
1521	1.432
1522	1.555
1523	0.86
1524	1.483
1525	1.12
1526	0.425
1527	1.438
1528	0.869
1529	0.619
1530	1.261
1531	0.958
1532	1.089
1533	1.063
1534	0.922
1535	1.006
1536	0.776
1537	0.842
1538	0.246
1539	0.967
1540	0.747
1541	1.104
1542	0.651
1543	1.715
1544	0.751
1545	1.375
1546	1.652
1547	1.146
1548	1.253
1549	1.124
1550	0.44
1551	0.602
1552	1.394
1553	1.132
1554	1.718
1555	1.219
1556	1.669
1557	1.407
1558	1.774
1559	1.478
1560	1.826
1561	1.212
1562	1.128
1563	1.012
1564	1.595
1565	1.267
1566	1.083
1567	1.421
1568	0.551
1569	0.878
1570	1.396
1571	1.19
1572	1.123
1573	0.638
1574	1.298
1575	1.138
1576	0.596
1577	0.832
1578	0.927
1579	0.969
1580	0.912
1581	0.945
1582	1.135
1583	0.855
1584	1.041
1585	1.22
1586	0.531
1587	0.775
1588	0.837
1589	1.876
1590	1.352
1591	1.128
1592	1.042
1593	1.735
1594	1.357
1595	1.052
1596	0.891
1597	1.325
1598	0.849
1599	1.351
1600	1.224
1601	0.483
1602	0.752
1603	1.432
1604	0.792
1605	0.823
1606	0.463
1607	0.913
1608	0.627
1609	0.914
1610	0.085
1611	1.099
1612	0.136
1613	0.53
1614	0.612
1615	0.369
1616	0.39
1617	0.598
1618	0.699
1619	0.78
1620	0.362
1621	0.456
1622	0.68
1623	0.708
1624	0.363
1625	0.321
1626	0.56
1627	0.752
1628	0.739
1629	0.46
1630	0.917
1631	0.733
1632	0.903
1633	1.372
1634	1.126
1635	0.555
1636	1.172
1637	0.709
1638	0.473
1639	0.875
1640	0.774
1641	0.578
1642	0.748
1643	0.559
1644	0.735
1645	0.795
1646	1.013
1647	0.809
1648	1.252
1649	0.882
1650	0.569
1651	0.6
1652	0.979
1653	0.699
1654	0.615
1655	1.226
1656	1.31
1657	0.5
1658	1.321
1659	1.233
1660	1.37
1661	1.26
1662	1.479
1663	0.982
1664	0.639
1665	1.585
1666	1.102
1667	0.948
1668	0.963
1669	0.936
1670	0.593
1671	0.877
1672	0.954
1673	1.095
1674	1.134
1675	1.236
1676	1.026
1677	1.398
1678	1.653
1679	1.351
1680	1.036
1681	0.54
1682	1.116
1683	1.215
1684	0.653
1685	1.047
1686	0.626
1687	1.201
1688	1.148
1689	1.484
1690	0.731
1691	1.417
1692	1.597
1693	0.83
1694	0.253
1695	0.892
1696	0.721
1697	0.819
1698	1.316
1699	0.642
1700	1.165
1701	0.963
1702	0.671
1703	0.633
1704	0.318
1705	1.264
1706	0.873
1707	0.467
1708	0.752
1709	0.877
1710	0.616
1711	0.929
1712	0.672
1713	0.382
1714	1.494
1715	0.577
1716	0.966
1717	1.115
1718	0.947
