# PAGES2kv2_NAm-wa072LMR506 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_NAm-wa072LMR506 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Peterson, D.W.; Peterson, D.L.
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Peterson, D.W.; Peterson, D.L.
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Harts Pass N2
#	Location: 
#	Country: 
#	Northernmost_Latitude: 48.7
#	Southernmost_Latitude: 48.7
#	Easternmost_Longitude: -120.7
#	Westernmost_Longitude: -120.7
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_NAm-wa072LMR506
#	Earliest_Year: 1529
#	Most_Recent_Year: 1990
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"duplicate":"northamerica_usa_wa072B.txt"}  {"database":"PAGES2"}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, , , , "[6, 7, 8]", Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1529	1.3
1530	0.666
1531	0.791
1532	0.698
1533	0.8
1534	0.78
1535	0.759
1536	1.043
1537	1.165
1538	1.006
1539	0.812
1540	0.862
1541	0.489
1542	1.75
1543	2.351
1544	1.076
1545	0.708
1546	1.283
1547	0.952
1548	1.69
1549	1.39
1550	1.167
1551	0.281
1552	0.486
1553	0.56
1554	0.703
1555	0.881
1556	0.6
1557	0.986
1558	0.822
1559	0.666
1560	0.755
1561	0.922
1562	1.018
1563	1.128
1564	0.749
1565	1.405
1566	1.123
1567	0.932
1568	1.162
1569	1.036
1570	1.093
1571	1.217
1572	0.856
1573	1.069
1574	0.837
1575	1.02
1576	0.858
1577	0.73
1578	1.005
1579	0.827
1580	0.739
1581	0.81
1582	0.81
1583	0.947
1584	0.949
1585	1.585
1586	1.699
1587	0.811
1588	1.05
1589	0.823
1590	1.248
1591	1.01
1592	1.047
1593	1.102
1594	1.817
1595	1.061
1596	0.836
1597	0.905
1598	1.295
1599	1.178
1600	1.506
1601	1.117
1602	0.682
1603	1.189
1604	1.698
1605	1.091
1606	1.25
1607	0.897
1608	1.751
1609	0.812
1610	1.265
1611	0.771
1612	1.102
1613	0.712
1614	0.902
1615	1.249
1616	0.735
1617	0.759
1618	0.369
1619	0.909
1620	0.88
1621	0.905
1622	0.884
1623	0.792
1624	0.708
1625	0.501
1626	0.566
1627	0.614
1628	0.814
1629	0.612
1630	0.164
1631	0.843
1632	0.581
1633	0.667
1634	1.023
1635	0.539
1636	0.798
1637	0.738
1638	0.572
1639	0.478
1640	0.789
1641	0.67
1642	0.983
1643	1.008
1644	0.673
1645	0.919
1646	0.77
1647	0.887
1648	0.921
1649	1.331
1650	1.118
1651	0.857
1652	0.878
1653	1.115
1654	0.661
1655	0.749
1656	1.309
1657	1.518
1658	0.596
1659	1.101
1660	1.365
1661	1.33
1662	1.159
1663	1.244
1664	1.507
1665	1.292
1666	1.561
1667	0.806
1668	0.824
1669	0.698
1670	0.895
1671	0.473
1672	0.31
1673	0.527
1674	0.729
1675	0.837
1676	0.756
1677	0.703
1678	0.992
1679	1.057
1680	1.092
1681	1.093
1682	0.488
1683	0.764
1684	0.725
1685	0.594
1686	0.546
1687	0.629
1688	0.773
1689	0.963
1690	0.997
1691	0.766
1692	1.049
1693	1.023
1694	0.441
1695	0.495
1696	0.367
1697	0.347
1698	0.313
1699	0.285
