# PAGES2kv2_Ocean2kHR-AtlanticBermudaGoodkin2006LMR583 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Ocean2kHR-AtlanticBermudaGoodkin2006LMR583 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Tierney, Jessica E.,Abram, Nerilie J.,Anchukaitis, Kevin J.,Evans, Michael N.,Giry, Cyril,Kilbourne, K. Halimeda,Saenger, Casey P.,Wu, Henry C.,Zinke, Jens
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Tierney, Jessica E.,Abram, Nerilie J.,Anchukaitis, Kevin J.,Evans, Michael N.,Giry, Cyril,Kilbourne, K. Halimeda,Saenger, Casey P.,Wu, Henry C.,Zinke, Jens
#	Published_Date_or_Year: 
#	Published_Title: Tropical sea surface temperatures for the past four centuries reconstructed from coral archives
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 10.1002/2014PA002717
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Bermuda south shore
#	Location: 
#	Country: 
#	Northernmost_Latitude: 30.6486
#	Southernmost_Latitude: 30.6486
#	Easternmost_Longitude: -64.9888
#	Westernmost_Longitude: -64.9888
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Ocean2kHR-AtlanticBermudaGoodkin2006LMR583
#	Earliest_Year: 1781
#	Most_Recent_Year: 1998
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"sea_surface", "interpDirection":"negative", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##d18O	, , , permil, , Corals and Sclerosponges, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	d18O
1998	-3.619
1997	-3.482
1996	-3.405
1995	-3.588
1994	-3.593
1993	-3.533
1992	-3.491
1991	-3.632
1990	-3.507
1989	-3.484
1988	-3.515
1987	-3.643
1986	-3.599
1985	-3.597
1984	-3.568
1983	-3.575
1982	-3.587
1981	-3.488
1980	-3.649
1979	-3.984
1978	-3.923
1977	-3.899
1976	-3.685
1975	-3.635
1974	-3.818
1973	-3.525
1972	-3.716
1971	-3.74
1970	-3.733
1969	-3.638
1968	-3.777
1967	-3.808
1966	-4.022
1965	-3.689
1964	-3.74
1963	-3.842
1962	-3.835
1961	-3.881
1960	-3.922
1959	-3.406
1958	-3.936
1957	-3.295
1956	-3.387
1955	-3.765
1954	-3.709
1953	-3.672
1952	-3.707
1951	-3.672
1950	-3.529
1949	-3.574
1948	-3.402
1947	-3.571
1946	-3.693
1945	-3.5
1944	-3.655
1943	-3.622
1942	-3.785
1941	-3.513
1940	-3.799
1939	-3.818
1938	-3.709
1937	-3.686
1936	-3.697
1935	-3.75
1934	-3.792
1933	-3.74
1932	-3.669
1931	-3.672
1930	-3.736
1929	-3.814
1928	-3.801
1927	-3.609
1926	-3.638
1925	-3.647
1924	-3.767
1923	-3.763
1922	-3.78
1921	-3.729
1920	-3.607
1919	-3.653
1918	-3.628
1917	-3.555
1916	-3.706
1915	-3.58
1914	-3.652
1913	-3.852
1912	-3.628
1911	-4.028
1910	-3.926
1909	-3.906
1908	-3.676
1907	-3.865
1906	-3.603
1905	-3.904
1904	-3.776
1903	-3.645
1902	-3.992
1901	-3.767
1900	-3.37
1899	-3.668
1898	-3.659
1897	-3.722
1896	-3.691
1895	-3.207
1894	-3.371
1893	-3.385
1892	-3.741
1891	-3.848
1890	-3.855
1889	-3.852
1888	-3.752
1887	-3.725
1886	-3.715
1885	-3.712
1884	-3.547
1883	-3.673
1882	-3.498
1881	-3.44
1880	-3.553
1879	-3.608
1878	-3.712
1877	-3.809
1876	-3.703
1875	-3.746
1874	-3.826
1873	-3.77
1872	-3.813
1871	-4.026
1870	-3.673
1869	-3.649
1868	-3.66
1867	-3.545
1866	-3.592
1865	-3.66
1864	-3.312
1863	-3.662
1862	-3.588
1861	-3.167
1860	-3.455
1859	-3.349
1858	-3.371
1857	-3.861
1856	-3.579
1855	-3.344
1854	-3.17
1853	-3.176
1852	-3.56
1851	-3.869
1850	-3.774
1849	-3.29
1848	-3.619
1847	-3.707
1846	-3.418
1845	-3.555
1844	-3.605
1843	-3.43
1842	-3.528
1841	-3.545
1840	-3.485
1839	-3.624
1838	-3.536
1837	-3.759
1836	-3.533
1835	-3.344
1834	-3.399
1833	-3.699
1832	-3.534
1831	-3.746
1830	-3.471
1829	-3.626
1828	-3.545
1827	-3.681
1826	-3.706
1825	-3.726
1824	-3.702
1823	-3.796
1822	-3.554
1821	-3.472
1820	-3.732
1819	-3.711
1818	-3.72
1817	-3.767
1816	-3.897
1815	-3.968
1814	-3.731
1813	-3.531
1812	-3.53
1811	-3.67
1810	-3.751
1809	-3.777
1808	-3.715
1807	-3.762
1806	-3.55
1805	-3.691
1804	-3.879
1803	-3.699
1802	-3.745
1801	-3.788
1800	-3.689
1799	-3.675
1798	-3.674
1797	-3.686
1796	-3.523
1795	-3.376
1794	-3.54
1793	-3.674
1792	-3.586
1791	-3.595
1790	-3.747
1789	-3.893
1788	-3.838
1787	-3.599
1786	-3.464
1785	-3.48
1784	-3.435
1783	-3.247
1782	-3.379
