# PAGES2kv2_Ocean2kHR-PacificClippertonClippf1bWu2014LMR634 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Ocean2kHR-PacificClippertonClippf1bWu2014LMR634 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Wu, Henry C.,Moreau, Mélanie,Linsley, Braddock K.,Schrag, Daniel P.,Corrège, Thierry
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Wu, Henry C.,Moreau, Mélanie,Linsley, Braddock K.,Schrag, Daniel P.,Corrège, Thierry
#	Published_Date_or_Year: 
#	Published_Title: Investigation of sea surface temperature changes from replicated coral Sr/Ca variations in the eastern equatorial Pacific (Clipperton Atoll) since 1874
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 10.1016/j.palaeo.2014.07.039
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Clipperton
#	Location: 
#	Country: 
#	Northernmost_Latitude: 10.2773
#	Southernmost_Latitude: 10.2773
#	Easternmost_Longitude: -109.2131
#	Westernmost_Longitude: -109.2131
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Ocean2kHR-PacificClippertonClippf1bWu2014LMR634
#	Earliest_Year: 1874.083333
#	Most_Recent_Year: 1956.791667
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"duplicate":"14epac05a.txt"} {"database":"PAGES2"}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"sea_surface", "interpDirection":"negative", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##d18O	, , , permil, , Corals and Sclerosponges, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	d18O
1956.79166749	-5.239650804
1956.70833416	-5.283663963
1956.62500083	-5.449829794
1956.5416675	-5.288408211
1956.45833417	-5.329755522
1956.37500084	-5.253727
1956.29166751	-5.335839926
1956.20833418	-5.125282875
1956.12500085	-4.905585591
1956.04166752	-4.960789883
1955.95833419	-5.108083822
1955.87500086	-5.24988112
1955.79166753	-5.296461665
1955.7083342	-5.440682239
1955.62500087	-5.504733342
1955.54166754	-5.557711079
1955.45833421	-5.541916929
1955.37500088	-5.300484645
1955.29166755	-5.143402681
1955.20833422	-5.117086026
1955.12500089	-5.080289479
1955.04166756	-5.194232997
1954.95833423	-5.191911585
1954.8750009	-5.355857205
1954.79166757	-5.449078329
1954.70833424	-5.438433088
1954.62500091	-5.428502179
1954.54166758	-5.464460878
1954.45833425	-5.448276694
1954.37500092	-5.190260668
1954.29166759	-5.276602254
1954.20833426	-5.353475845
1954.12500093	-5.190743447
1954.0416676	-5.227427012
1953.95833427	-5.334028898
1953.87500094	-5.42512231
1953.79166761	-5.38878845
1953.70833428	-5.344560674
1953.62500095	-5.423883958
1953.54166762	-5.492413801
1953.45833429	-5.520583386
1953.37500096	-5.460909985
1953.29166763	-5.405336901
1953.2083343	-5.323315405
1953.12500097	-5.262690369
1953.04166764	-5.302379039
1952.95833431	-5.348991958
1952.87500098	-5.395605017
1952.79166765	-5.433832515
1952.70833432	-5.453770147
1952.62500099	-5.465320334
1952.54166766	-5.461659796
1952.45833433	-5.447168102
1952.375001	-5.403983956
1952.29166767	-5.300845761
1952.20833434	-5.085759405
1952.12500101	-4.924212463
1952.04166768	-4.858598565
1951.95833435	-4.855227622
1951.87500102	-4.892181483
1951.79166769	-5.323601124
1951.70833436	-5.656616086
1951.62500103	-5.297100944
1951.5416677	-5.25812701
1951.45833437	-5.122860247
1951.37500104	-4.885652927
1951.29166771	-4.791537075
1951.20833438	-4.884048568
1951.12500105	-5.225324958
1951.04166772	-5.240779355
1950.95833439	-5.305183818
1950.87500106	-5.339777473
1950.79166773	-5.348769934
1950.7083344	-5.345871981
1950.62500107	-5.334256562
1950.54166774	-5.336776416
1950.45833441	-5.353514055
1950.37500108	-5.287357478
1950.29166775	-5.314755264
1950.20833442	-5.176502884
1950.12500109	-5.126732151
1950.04166776	-5.269998868
1949.95833443	-5.381830382
1949.8750011	-5.383537056
1949.79166777	-5.386783012
1949.70833444	-5.362538725
1949.62500111	-5.287842432
1949.54166778	-5.408058041
1949.45833445	-5.416958414
1949.37500112	-5.352285042
1949.29166779	-5.136073432
1949.20833446	-5.151268742
1949.12500113	-4.990702307
1949.0416678	-4.996862639
1948.95833447	-5.182170098
1948.87500114	-5.348221452
1948.79166781	-5.348126706
1948.70833448	-5.369911962
