# PAGES2kv2_Ocean2kHR-PacificFelis2009OgasawaraJapanLMR640 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Ocean2kHR-PacificFelis2009OgasawaraJapanLMR640 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Felis
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Felis
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: oi:10.1130/G25581A.1;
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Miyanohama
#	Location: 
#	Country: 
#	Northernmost_Latitude: 27.1059
#	Southernmost_Latitude: 27.1059
#	Easternmost_Longitude: 142.1941
#	Westernmost_Longitude: 142.1941
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Ocean2kHR-PacificFelis2009OgasawaraJapanLMR640
#	Earliest_Year: 1872.25
#	Most_Recent_Year: 1994.917
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"duplicate":"09japa01b.txt"} {"database":"PAGES2"}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"sea_surface", "interpDirection":"negative", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##Sr/Ca	strontium calcium ratio, , , mmol/mol, , Corals and Sclerosponges, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	Sr/Ca
1994.917	9.22
1994.75	8.95
1994.583	8.9
1994.417	9.01
1994.25	9.2
1994.083	9.15
1993.917	8.97
1993.75	8.82
1993.583	8.84
1993.417	8.97
1993.25	9.11
1993.083	9.05
1992.917	9.1
1992.75	9.01
1992.583	8.95
1992.417	9.09
1992.25	9.27
1992.083	9.26
1991.917	9.15
1991.75	9.02
1991.583	9.01
1991.417	9.03
1991.25	9.27
1991.083	9.22
1990.917	8.97
1990.75	8.9
1990.583	9.01
1990.417	9.06
1990.25	9.17
1990.083	9.27
1989.917	9.2
1989.75	9.13
1989.583	9.1
1989.417	9.2
1989.25	9.31
1989.083	9.37
1988.917	9.34
1988.75	9.08
1988.583	9.01
1988.417	9.11
1988.25	9.21
1988.083	9.31
1987.917	9.17
1987.75	9.1
1987.583	9.01
1987.417	9.06
1987.25	9.27
1987.083	9.3
1986.917	9.15
1986.75	9.03
1986.583	9.02
1986.417	9.09
1986.25	9.34
1986.083	9.39
1985.917	9.08
1985.75	9.04
1985.583	9.03
1985.417	9.16
1985.25	9.43
1985.083	9.42
1984.917	9.36
1984.75	9.14
1984.583	8.91
1984.417	9.01
1984.25	9.38
1984.083	9.42
1983.917	9.07
1983.75	8.93
1983.583	8.98
1983.417	9.09
1983.25	9.41
1983.083	9.39
1982.917	9.3
1982.75	9.16
1982.583	9.15
1982.417	9.12
1982.25	9.26
1982.083	9.46
1981.917	9.31
1981.75	9.21
1981.583	9.0
1981.417	8.95
1981.25	9.14
1981.083	9.38
1980.917	9.05
1980.75	8.94
1980.583	8.99
1980.417	9.15
1980.25	9.26
1980.083	9.27
1979.917	8.99
1979.75	8.92
1979.583	8.93
1979.417	9.11
1979.25	9.25
1979.083	9.22
1978.917	9.14
1978.75	8.93
1978.583	8.87
1978.417	8.92
1978.25	9.31
1978.083	9.21
1977.917	9.07
1977.75	8.97
1977.583	8.98
1977.417	9.1
1977.25	9.29
1977.083	9.32
1976.917	9.08
1976.75	8.92
1976.583	8.95
1976.417	8.98
1976.25	9.23
1976.083	9.34
1975.917	9.17
1975.75	8.99
1975.583	8.96
1975.417	9.02
1975.25	9.28
1975.083	9.38
1974.917	8.99
1974.75	8.93
1974.583	8.87
1974.417	8.93
1974.25	9.12
1974.083	9.15
1973.917	8.92
1973.75	8.85
1973.583	8.93
1973.417	9.05
1973.25	9.16
1973.083	9.2
1972.917	9.05
1972.75	8.94
1972.583	8.93
1972.417	9.03
1972.25	9.19
1972.083	9.27
1971.917	9.18
1971.75	9.07
1971.583	9.04
1971.417	9.02
1971.25	9.1
1971.083	9.15
1970.917	8.97
1970.75	8.86
1970.583	8.88
1970.417	8.99
1970.25	9.22
1970.083	9.3
1969.917	9.14
1969.75	9.02
1969.583	8.94
1969.417	9.05
1969.25	9.26
1969.083	9.24
1968.917	9.11
1968.75	9.07
1968.583	8.95
1968.417	8.96
1968.25	9.16
1968.083	9.19
1967.917	9.09
1967.75	9.08
1967.583	9.04
1967.417	9.08
1967.25	9.2
1967.083	9.29
1966.917	9.2
1966.75	8.97
1966.583	8.88
1966.417	9.1
1966.25	9.25
1966.083	9.26
1965.917	9.14
1965.75	9.08
1965.583	9.03
1965.417	8.95
1965.25	9.14
1965.083	9.27
1964.917	9.17
1964.75	8.97
1964.583	8.95
1964.417	9.05
1964.25	9.23
1964.083	9.23
1963.917	9.07
1963.75	8.94
1963.583	8.86
1963.417	8.94
1963.25	9.2
1963.083	9.32
1962.917	9.19
1962.75	8.99
1962.583	8.89
1962.417	8.91
1962.25	9.19
1962.083	9.2
1961.917	8.96
1961.75	8.91
1961.583	8.99
1961.417	9.07
1961.25	9.29
1961.083	9.28
1960.917	9.16
1960.75	9.03
1960.583	8.96
1960.417	9.09
1960.25	9.21
1960.083	9.2
1959.917	9.07
1959.75	9.02
1959.583	8.91
1959.417	9.0
