# PAGES2kv2_Ocean2kHR-PacificGBRWei2009LMR642 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Ocean2kHR-PacificGBRWei2009LMR642 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Wei, Gangjian,McCulloch, Malcolm T.,Mortimer, Graham,Deng, Wengfeng,Xie, Luhua
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Wei, Gangjian,McCulloch, Malcolm T.,Mortimer, Graham,Deng, Wengfeng,Xie, Luhua
#	Published_Date_or_Year: 
#	Published_Title: Evidence for ocean acidification in the Great Barrier Reef of Australia
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 10.1016/j.gca.2009.02.009
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: GBR
#	Location: 
#	Country: 
#	Northernmost_Latitude: -16.7167
#	Southernmost_Latitude: -16.7167
#	Easternmost_Longitude: 146.0333
#	Westernmost_Longitude: 146.0333
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Ocean2kHR-PacificGBRWei2009LMR642
#	Earliest_Year: 1807
#	Most_Recent_Year: 2004
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"duplicate":"09aust01a.txt"} {"database":"PAGES2"}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"sea_surface", "interpDirection":"negative", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##d18O	, , , permil, , Corals and Sclerosponges, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	d18O
1807	-4.4
1812	-4.49
1817	-4.56
1822	-4.49
1827	-4.37
1832	-4.49
1837	-4.4
1842	-5.15
1847	-4.51
1852	-4.37
1857	-4.36
1862	-4.49
1867	-4.54
1872	-4.65
1877	-4.59
1882	-5.77
1887	-4.39
1892	-4.6
1897	-4.42
1902	-4.51
1907	-4.84
1912	-4.44
1917	-4.58
1922	-4.34
1927	-4.99
1932	-4.81
1937	-4.68
1940	-4.89
1941	-4.39
1942	-4.69
1943	-5.32
1944	-4.7
1945	-4.83
1946	-4.97
1947	-4.77
1948	-4.49
1949	-4.81
1950	-4.74
1951	-4.83
1952	-4.7
1953	-5.64
1954	-5.28
1955	-4.9
1956	-5.01
1957	-4.93
1958	-4.52
1959	-4.81
1960	-4.51
1961	-4.66
1962	-4.69
1963	-5.42
1964	-4.9
1965	-4.73
1966	-4.95
1967	-4.63
1968	-4.94
1969	-5.4
1970	-4.52
1971	-4.85
1972	-5.37
1973	-4.75
1974	-4.62
1975	-5.17
1976	-4.64
1977	-5.36
1978	-5.24
1979	-4.66
1980	-5.2
1981	-4.79
1982	-4.89
1983	-4.7
1984	-4.96
1985	-5.37
1986	-5.53
1987	-5.41
1988	-5.42
1989	-5.45
1990	-5.26
1991	-4.84
1992	-5.54
1993	-4.98
1994	-4.59
1995	-4.87
1996	-4.98
1997	-4.7
1998	-5.21
1999	-4.8
2000	-5.29
2001	-4.97
2002	-5.32
2003	-5.96
2004	-5.25
