# PAGES2kv2_Ocean2kHR-PacificLinsley2006Fiji1FLMR648 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Ocean2kHR-PacificLinsley2006Fiji1FLMR648 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Tierney, Jessica E.,Abram, Nerilie J.,Anchukaitis, Kevin J.,Evans, Michael N.,Giry, Cyril,Kilbourne, K. Halimeda,Saenger, Casey P.,Wu, Henry C.,Zinke, Jens
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Tierney, Jessica E.,Abram, Nerilie J.,Anchukaitis, Kevin J.,Evans, Michael N.,Giry, Cyril,Kilbourne, K. Halimeda,Saenger, Casey P.,Wu, Henry C.,Zinke, Jens
#	Published_Date_or_Year: 
#	Published_Title: Tropical sea surface temperatures for the past four centuries reconstructed from coral archives
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 10.1002/2014PA002717
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Savusavu Bay
#	Location: 
#	Country: 
#	Northernmost_Latitude: -16.8167
#	Southernmost_Latitude: -16.8167
#	Easternmost_Longitude: 179.2333
#	Westernmost_Longitude: 179.2333
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Ocean2kHR-PacificLinsley2006Fiji1FLMR648
#	Earliest_Year: 1781.5
#	Most_Recent_Year: 1996.5
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"duplicate":"06fiji01a.txt"} {"database":"PAGES2"}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"sea_surface", "interpDirection":"negative", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##d18O	delta oxygen 18 ratio, , , permil, , Corals and Sclerosponges, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	d18O
1996.5	-5.32
1995.5	-5.25
1994.5	-5.12
1993.5	-5.01
1992.5	-5.0
1991.5	-5.16
1990.5	-5.18
1989.5	-5.41
1988.5	-5.27
1987.5	-5.03
1986.5	-5.11
1985.5	-5.15
1984.5	-5.21
1983.5	-4.94
1982.5	-5.25
1981.5	-5.21
1980.5	-5.15
1979.5	-5.2
1978.5	-4.99
1977.5	-5.0
1976.5	-5.17
1975.5	-5.17
1974.5	-5.18
1973.5	-5.06
1972.5	-5.08
1971.5	-5.36
1970.5	-5.18
1969.5	-5.11
1968.5	-5.22
1967.5	-5.13
1966.5	-5.05
1965.5	-5.11
1964.5	-5.08
1963.5	-5.2
1962.5	-5.25
1961.5	-5.26
1960.5	-5.12
1959.5	-5.04
1958.5	-4.93
1957.5	-5.12
1956.5	-5.25
1955.5	-5.18
1954.5	-4.99
1953.5	-4.87
1952.5	-5.02
1951.5	-5.26
1950.5	-5.36
1949.5	-5.21
1948.5	-5.09
1947.5	-5.06
1946.5	-5.19
1945.5	-4.98
1944.5	-5.12
1943.5	-5.13
1942.5	-4.98
1941.5	-4.93
1940.5	-4.87
1939.5	-5.07
1938.5	-5.0
1937.5	-4.92
1936.5	-5.15
1935.5	-5.0
1934.5	-5.07
1933.5	-5.08
1932.5	-5.06
1931.5	-4.84
1930.5	-4.79
1929.5	-4.87
1928.5	-4.92
1927.5	-5.14
1926.5	-4.85
1925.5	-4.98
1924.5	-4.91
1923.5	-4.91
1922.5	-5.14
1921.5	-5.07
1920.5	-4.93
1919.5	-4.9
1918.5	-5.14
1917.5	-5.31
1916.5	-5.2
1915.5	-4.94
1914.5	-4.87
1913.5	-4.82
1912.5	-4.76
1911.5	-5.08
1910.5	-5.14
1909.5	-4.94
1908.5	-4.99
1907.5	-4.96
1906.5	-4.85
1905.5	-4.66
1904.5	-4.86
1903.5	-4.8
1902.5	-4.83
1901.5	-4.76
1900.5	-4.72
1899.5	-4.88
1898.5	-4.98
1897.5	-4.86
1896.5	-4.93
1895.5	-4.94
1894.5	-4.96
1893.5	-5.24
1892.5	-5.09
1891.5	-5.06
1890.5	-5.16
1889.5	-4.9
1888.5	-4.87
1887.5	-4.99
1886.5	-4.76
1885.5	-4.78
1884.5	-4.75
1883.5	-4.87
1882.5	-4.89
1881.5	-4.97
1880.5	-5.02
1879.5	-5.16
1878.5	-4.7
1877.5	-4.61
1876.5	-4.8
1875.5	-4.78
1874.5	-4.78
1873.5	-4.78
1872.5	-4.91
1871.5	-4.89
1870.5	-4.83
1869.5	-4.87
1868.5	-4.73
1867.5	-4.78
1866.5	-4.6
1865.5	-4.56
1864.5	-4.77
1863.5	-4.76
1862.5	-4.75
1861.5	-4.9
1860.5	-5.01
1859.5	-4.9
1858.5	-4.85
1857.5	-4.78
1856.5	-4.92
1855.5	-4.79
1854.5	-4.77
1853.5	-4.79
1852.5	-4.86
1851.5	-4.84
1850.5	-4.78
1849.5	-4.67
1848.5	-4.98
1847.5	-4.96
1846.5	-4.8
1845.5	-4.62
1844.5	-4.75
1843.5	-4.76
1842.5	-4.8
1841.5	-5.01
1840.5	-4.88
1839.5	-4.88
1838.5	-4.71
1837.5	-4.94
1836.5	-4.78
1835.5	-4.77
1834.5	-4.86
1833.5	-4.64
1832.5	-4.72
1831.5	-4.85
1830.5	-4.99
1829.5	-5.01
1828.5	-4.9
1827.5	-4.92
1826.5	-4.86
1825.5	-4.99
1824.5	-4.76
1823.5	-4.86
1822.5	-4.87
1821.5	-4.83
1820.5	-4.74
1819.5	-5.03
1818.5	-5.11
1817.5	-4.81
1816.5	-4.74
1815.5	-4.74
1814.5	-4.69
1813.5	-4.88
1812.5	-4.89
1811.5	-4.73
1810.5	-4.62
1809.5	-4.72
1808.5	-4.81
1807.5	-4.96
1806.5	-5.01
1805.5	-5.0
1804.5	-4.97
1803.5	-4.66
1802.5	-4.71
1801.5	-4.76
1800.5	-4.89
1799.5	-4.74
1798.5	-4.84
1797.5	-4.96
1796.5	-4.9
1795.5	-4.87
1794.5	-4.96
1793.5	-4.83
1792.5	-4.77
1791.5	-4.7
1790.5	-4.56
1789.5	-4.66
1788.5	-4.58
1787.5	-4.65
1786.5	-4.81
1785.5	-4.74
1784.5	-4.88
1783.5	-4.62
1782.5	-4.66
1781.5	-4.66
