# PAGES2kv2_Ocean2kHR-PacificNauruGuilderson1999LMR658 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Ocean2kHR-PacificNauruGuilderson1999LMR658 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Guilderson
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Guilderson
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: NaN
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Nauru
#	Location: 
#	Country: 
#	Northernmost_Latitude: -0.53296
#	Southernmost_Latitude: -0.53296
#	Easternmost_Longitude: 166.9283
#	Westernmost_Longitude: 166.9283
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Ocean2kHR-PacificNauruGuilderson1999LMR658
#	Earliest_Year: 1897.54
#	Most_Recent_Year: 1995.25
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"duplicate":"99naur01a.txt"} {"database":"PAGES2"}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"sea_surface", "interpDirection":"negative", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##d18O	, , , permil, seasonal, Corals and Sclerosponges, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	d18O
1995.25	-5.16
1995.16	-5.39
1995.06	-5.24
1994.97	-5.33
1994.87	-5.5
1994.78	-5.66
1994.68	-5.73
1994.59	-5.69
1994.49	-5.62
1994.4	-5.5
1994.3	-5.26
1994.21	-5.22
1994.11	-5.16
1994.02	-5.41
1993.92	-5.52
1993.83	-5.62
1993.73	-5.7
1993.64	-5.7
1993.54	-5.69
1993.45	-5.61
1993.35	-5.48
1993.26	-5.41
1993.16	-5.53
1993.07	-5.4
1992.97	-5.49
1992.88	-5.61
1992.78	-5.47
1992.69	-5.43
1992.59	-5.37
1992.5	-5.3
1992.36	-5.44
1992.22	-5.56
1992.08	-5.57
1991.92	-5.64
1991.75	-5.39
1991.58	-5.45
1991.42	-5.45
1991.25	-5.23
1991.08	-5.32
1990.92	-5.26
1990.75	-5.49
1990.58	-5.46
1990.42	-5.46
1990.25	-5.3
1990.08	-5.42
1989.97	-5.37
1989.87	-5.11
1989.76	-5.17
1989.65	-4.98
1989.54	-5.03
1989.43	-4.91
1989.32	-4.99
1989.21	-4.93
1989.1	-4.88
1988.99	-4.91
1988.88	-4.83
1988.78	-4.89
1988.67	-4.78
1988.56	-4.77
1988.45	-4.98
1988.35	-4.88
1988.24	-5.04
1988.14	-5.0
1988.03	-4.92
1987.92	-5.32
1987.82	-5.26
1987.71	-5.57
1987.61	-5.46
1987.5	-5.21
1987.39	-5.53
1987.29	-5.45
1987.18	-5.44
1987.08	-5.37
1986.97	-5.34
1986.86	-5.53
1986.76	-5.54
1986.65	-5.57
1986.55	-5.31
1986.44	-5.08
1986.33	-5.04
1986.23	-4.96
1986.13	-5.12
1986.03	-5.2
1985.93	-5.16
1985.83	-5.04
1985.73	-5.13
1985.63	-5.07
1985.53	-4.95
1985.43	-5.0
1985.33	-4.99
1985.23	-4.93
1985.13	-5.17
1985.03	-5.11
1984.93	-5.15
1984.83	-4.98
1984.73	-5.13
1984.63	-4.93
1984.53	-4.95
1984.43	-4.85
1984.33	-4.74
1984.23	-4.68
1984.13	-4.98
1984.03	-5.12
1983.93	-4.88
1983.83	-4.91
1983.73	-5.0
1983.63	-5.14
1983.53	-5.02
1983.43	-4.72
1983.33	-4.75
1983.23	-5.06
1983.13	-5.3
1983.02	-5.12
1982.92	-5.13
1982.81	-5.2
1982.71	-5.24
1982.6	-5.28
1982.5	-5.26
1982.33	-5.1
1982.17	-4.89
