# PAGES2kv2_Ocean2kHR-PacificQuinn2008RabaulLMR667 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Ocean2kHR-PacificQuinn2008RabaulLMR667 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Quinn, Terrence M.,Taylor, Frederick W.,Crowley, Thomas J.
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Quinn, Terrence M.,Taylor, Frederick W.,Crowley, Thomas J.
#	Published_Date_or_Year: 
#	Published_Title: Coral-based climate variability in the Western Pacific Warm Pool since 1867
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 10.1029/2005JC003243
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Rabaul
#	Location: 
#	Country: 
#	Northernmost_Latitude: -4.1916
#	Southernmost_Latitude: -4.1916
#	Easternmost_Longitude: 151.9772
#	Westernmost_Longitude: 151.9772
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Ocean2kHR-PacificQuinn2008RabaulLMR667
#	Earliest_Year: 1867.38
#	Most_Recent_Year: 1997.54
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"duplicate":"06papu01a.txt"} {"database":"PAGES2"}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"sea_surface", "interpDirection":"negative", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##Sr/Ca	strontium calcium ratio, , , mmol/mol, , Corals and Sclerosponges, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	Sr/Ca
1997.54	8.7482
1997.46	8.73776
1997.37	8.71021
1997.29	8.71228
1997.21	8.74329
1997.12	8.77843
1997.04	8.82381
1996.96	8.85966
1996.87	8.9
1996.79	8.93324
1996.71	8.9434
1996.62	8.93044
1996.54	8.90122
1996.46	8.84778
1996.37	8.80266
1996.29	8.78608
1996.21	8.79565
1996.12	8.8163
1996.04	8.80272
1995.96	8.77344
1995.87	8.7567
1995.79	8.75095
1995.71	8.74103
1995.62	8.72229
1995.54	8.71384
1995.46	8.71304
1995.37	8.71068
1995.29	8.71571
1995.21	8.72964
1995.12	8.73276
1995.04	8.71696
1994.96	8.69582
1994.87	8.70887
1994.79	8.74691
1994.71	8.77453
1994.62	8.80238
1994.54	8.90304
1994.46	8.97085
1994.37	8.96364
1994.29	8.92744
1994.21	8.87524
1994.12	8.8671
1994.04	8.8884
1993.96	8.90969
1993.87	8.90466
1993.79	8.91057
1993.71	8.89498
1993.62	8.87036
1993.54	8.85633
1993.46	8.84364
1993.37	8.83096
1993.29	8.81804
1993.21	8.80401
1993.12	8.78983
1993.04	8.77565
1992.96	8.76441
1992.87	8.77416
1992.79	8.77981
1992.71	8.76485
1992.62	8.76243
1992.54	8.79264
1992.46	8.82203
1992.37	8.84285
1992.29	8.80049
1992.21	8.77633
1992.12	8.77792
1992.04	8.79512
1991.96	8.78785
1991.87	8.74889
1991.79	8.78836
1991.71	8.81775
1991.62	8.77573
1991.54	8.76496
1991.46	8.7799
1991.37	8.76655
1991.29	8.75131
1991.21	8.7525
1991.12	8.75504
1991.04	8.75193
1990.96	8.76055
1990.87	8.75799
1990.79	8.75544
1990.71	8.79322
1990.62	8.80873
1990.54	8.80793
1990.46	8.79602
1990.37	8.78444
1990.29	8.76576
1990.21	8.73752
1990.12	8.74321
1990.04	8.75324
1989.96	8.74269
1989.87	8.73654
1989.79	8.73829
1989.71	8.73363
1989.62	8.73155
1989.54	8.73816
1989.46	8.75236
1989.37	8.76717
1989.29	8.77589
1989.21	8.77661
1989.12	8.73476
1989.04	8.72311
1988.96	8.72072
1988.87	8.72402
1988.79	8.74601
1988.71	8.74997
1988.62	8.71933
1988.54	8.70329
1988.46	8.70428
1988.37	8.71703
1988.29	8.73257
1988.21	8.72396
1988.12	8.71857
1988.04	8.74326
1987.96	8.74325
1987.87	8.73779
1987.79	8.75868
1987.71	8.78506
1987.62	8.82564
1987.54	8.83552
1987.46	8.83929
1987.37	8.82874
1987.29	8.77531
1987.21	8.72996
1987.12	8.74209
1987.04	8.74467
1986.96	8.73354
1986.87	8.73853
1986.79	8.77849
1986.71	8.81505
1986.62	8.82288
1986.54	8.7964
1986.46	8.81352
1986.37	8.82865
1986.29	8.81375
1986.21	8.77216
1986.12	8.75233
1986.04	8.76403
1985.96	8.75053
1985.87	8.72213
1985.79	8.70767
1985.71	8.71548
1985.62	8.71998
1985.54	8.72464
1985.46	8.73365
1985.37	8.74349
1985.29	8.74092
1985.21	8.72189
1985.12	8.68082
1985.04	8.66732
1984.96	8.68131
1984.87	8.68155
1984.79	8.70775
1984.71	8.72431
1984.62	8.71878
