# asia_mong002 - Manzshir Hiid - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: asia_mong002 - Manzshir Hiid - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Manzshir Hiid
#	Location:
#	Country: Mongolia
#	Northernmost_Latitude: 47.77
#	Southernmost_Latitude: 47.77
#	Easternmost_Longitude: 107.0
#	Westernmost_Longitude: 107.0
#	Elevation: 1755 m
#--------------------
# Data_Collection
#	Collection_Name: asia_mong002B
#	Earliest_Year: 1798
#	Most_Recent_Year: 1994
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"3.715001774","T2":"16.5009420067","M1":"0.0231070137202","M2":"0.46356401432"}}
#--------------------
# Species
#	Species_Name: Siberian stone pine
#	Species_Code: PISI
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1798	1.085
1799	0.867
1800	0.673
1801	0.918
1802	0.464
1803	1.297
1804	1.158
1805	1.132
1806	1.057
1807	1.01
1808	0.759
1809	1.088
1810	1.336
1811	0.842
1812	1.641
1813	1.425
1814	0.934
1815	0.414
1816	1.341
1817	1.189
1818	1.143
1819	0.957
1820	1.09
1821	0.789
1822	0.593
1823	0.919
1824	0.929
1825	0.682
1826	1.004
1827	0.833
1828	1.124
1829	1.354
1830	1.458
1831	1.037
1832	0.441
1833	0.922
1834	0.739
1835	0.481
1836	0.118
1837	1.008
1838	0.833
1839	0.399
1840	0.673
1841	1.395
1842	1.111
1843	1.248
1844	0.391
1845	0.737
1846	1.318
1847	0.994
1848	1.121
1849	1.451
1850	0.95
1851	1.133
1852	0.695
1853	0.925
1854	0.596
1855	0.697
1856	1.255
1857	1.406
1858	0.72
1859	0.734
1860	0.804
1861	0.614
1862	0.711
1863	0.625
1864	1.182
1865	0.806
1866	0.229
1867	0.452
1868	1.006
1869	1.138
1870	1.175
1871	0.361
1872	1.158
1873	1.157
1874	0.55
1875	1.022
1876	0.898
1877	1.321
1878	1.035
1879	1.014
1880	0.616
1881	1.9
1882	0.52
1883	1.031
1884	0.823
1885	0.953
1886	1.858
1887	1.165
1888	0.914
1889	1.119
1890	1.104
1891	0.765
1892	1.406
1893	0.654
1894	0.842
1895	1.61
1896	1.136
1897	1.617
1898	1.102
1899	0.786
1900	1.473
1901	0.624
1902	0.754
1903	0.216
1904	0.589
1905	0.471
1906	0.453
1907	0.984
1908	1.534
1909	1.319
1910	1.263
1911	1.587
1912	2.196
1913	0.832
1914	0.442
1915	1.494
1916	1.725
1917	1.684
1918	1.091
1919	1.633
1920	1.28
1921	1.579
1922	0.703
1923	0.625
1924	0.968
1925	1.069
1926	0.445
1927	1.386
1928	0.478
1929	0.694
1930	0.797
1931	1.235
1932	1.075
1933	1.301
1934	2.126
1935	1.199
1936	1.23
1937	1.346
1938	0.927
1939	1.554
1940	1.128
1941	1.26
1942	0.856
1943	0.613
1944	0.936
1945	0.802
1946	0.8
1947	0.72
1948	0.502
1949	0.952
1950	1.03
1951	0.654
1952	0.563
1953	1.121
1954	0.725
1955	0.992
1956	0.967
1957	0.57
1958	0.893
1959	1.297
1960	1.775
1961	0.546
1962	1.022
1963	0.752
1964	1.497
1965	0.931
1966	0.911
1967	1.612
1968	1.421
1969	0.437
1970	1.164
1971	1.255
1972	0.771
1973	0.736
1974	1.0
1975	1.053
1976	1.31
1977	0.853
1978	1.065
1979	0.739
1980	0.372
1981	0.332
1982	0.756
1983	1.218
1984	0.975
1985	1.383
1986	1.104
1987	0.395
1988	1.413
1989	0.918
1990	0.61
1991	0.952
1992	0.661
1993	1.143
1994	0.833
