# asia_mong010 - Suuleen Bagtraa - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: asia_mong010 - Suuleen Bagtraa - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Suuleen Bagtraa
#	Location:
#	Country: Mongolia
#	Northernmost_Latitude: 47.27
#	Southernmost_Latitude: 47.27
#	Easternmost_Longitude: 100.03
#	Westernmost_Longitude: 100.03
#	Elevation: 2500 m
#--------------------
# Data_Collection
#	Collection_Name: asia_mong010B
#	Earliest_Year: 1363
#	Most_Recent_Year: 1999
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"3.23868292332","T2":"18.7899815499","M1":"0.0223005871218","M2":"0.24871353986"}}
#--------------------
# Species
#	Species_Name: Siberian larch
#	Species_Code: LASI
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1363	1.389
1364	1.186
1365	1.008
1366	0.924
1367	0.889
1368	1.078
1369	0.991
1370	0.43
1371	0.587
1372	1.123
1373	0.889
1374	0.855
1375	0.778
1376	0.805
1377	1.234
1378	1.165
1379	1.775
1380	1.016
1381	0.988
1382	1.056
1383	1.034
1384	1.413
1385	0.654
1386	1.225
1387	1.067
1388	1.257
1389	1.229
1390	1.056
1391	1.272
1392	0.909
1393	0.844
1394	1.226
1395	0.95
1396	1.109
1397	1.202
1398	1.162
1399	0.72
1400	0.587
1401	0.496
1402	0.828
1403	0.906
1404	0.675
1405	0.764
1406	0.916
1407	1.45
1408	1.306
1409	1.264
1410	1.083
1411	1
1412	1.141
1413	0.948
1414	1.108
1415	0.817
1416	0.524
1417	0.853
1418	0.323
1419	0.509
1420	1.195
1421	1.362
1422	1.091
1423	0.961
1424	1.202
1425	0.972
1426	1.196
1427	0.92
1428	1.199
1429	1.299
1430	1.203
1431	1.339
1432	1.211
1433	0.712
1434	0.726
1435	0.808
1436	0.668
1437	0.774
1438	0.836
1439	0.856
1440	0.746
1441	0.775
1442	1.165
1443	1.24
1444	1.296
1445	1.402
1446	1.159
1447	1.114
1448	1.096
1449	0.475
1450	0.596
1451	0.636
1452	0.532
1453	0.696
1454	0.891
1455	1.041
1456	0.939
1457	0.521
1458	0.811
1459	0.892
1460	0.91
1461	1.046
1462	1.257
1463	1.228
1464	1.315
1465	1.227
1466	1.119
1467	1.058
1468	0.899
1469	1.049
1470	1.167
1471	0.659
1472	0.658
1473	0.631
1474	0.864
1475	1.12
1476	0.597
1477	1.08
1478	1.094
1479	0.869
1480	1.119
1481	0.919
1482	1.259
1483	1.233
1484	1.185
1485	1.333
1486	0.928
1487	1.071
1488	1.346
1489	1.271
1490	1.586
1491	0.788
1492	0.321
1493	0.387
1494	0.686
1495	0.22
1496	0.615
1497	0.803
1498	0.792
1499	1.03
1500	1.565
1501	1.2
1502	1.35
1503	1.309
1504	1.653
1505	1.445
1506	1.394
1507	1.269
1508	0.87
1509	1.068
1510	1.114
1511	0.85
1512	0.541
1513	0.797
1514	1.468
1515	1.203
1516	0.483
1517	0.451
1518	0.963
1519	0.94
1520	1.318
1521	0.782
1522	1.047
1523	0.906
1524	0.54
1525	0.842
1526	0.817
1527	1.12
1528	0.959
1529	0.91
1530	0.738
1531	1.209
1532	0.771
1533	1.124
1534	0.899
1535	1.328
1536	1.43
1537	1.474
1538	1.983
1539	1.822
1540	1.918
1541	1.419
1542	0.738
1543	0.747
1544	1.208
1545	0.94
1546	0.578
1547	1.01
1548	1.078
1549	1.093
1550	1.518
1551	1.472
1552	1.744
1553	1.337
1554	1.301
1555	1.217
1556	1.127
1557	0.991
1558	1.26
1559	1.153
1560	1.64
1561	1.386
1562	1.091
1563	1.319
1564	1.427
1565	1.351
1566	0.479
1567	0.806
1568	1.218
1569	1.259
1570	0.934
1571	1.092
1572	1.179
1573	1.38
1574	1.676
1575	1.354
1576	1.364
1577	1.431
1578	1.103
1579	0.378
1580	0.318
1581	0.482
1582	0.465
1583	0.529
1584	0.858
1585	0.908
1586	0.968
1587	0.847
1588	0.638
1589	0.39
1590	0.599
1591	0.796
1592	1.223
1593	0.787
1594	0.614
1595	0.941
1596	1.301
1597	0.837
1598	1.115
1599	1.029
1600	1.276
1601	1.289
1602	1.363
1603	0.781
1604	0.813
1605	0.842
1606	0.928
1607	1.217
1608	0.961
1609	0.723
1610	0.74
1611	1.113
1612	1.122
1613	1.289
1614	1.455
1615	1.201
1616	0.888
1617	1.408
1618	1.212
1619	1.184
1620	1.129
1621	1.379
1622	1.343
1623	1.011
1624	1.518
1625	1.457
1626	0.909
1627	0.445
1628	0.544
1629	0.695
1630	0.585
1631	0.656
1632	0.883
1633	0.968
1634	0.968
1635	0.761
1636	0.673
1637	0.842
1638	0.549
1639	0.522
1640	0.844
1641	0.582
1642	0.779
1643	0.669
1644	0.898
