# asia_nepa010 - Bhule Pokari - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: asia_nepa010 - Bhule Pokari - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Bhule Pokari
#	Location:
#	Country: Nepal
#	Northernmost_Latitude: 27.43
#	Southernmost_Latitude: 27.43
#	Easternmost_Longitude: 86.28
#	Westernmost_Longitude: 86.28
#	Elevation: 3600 m
#--------------------
# Data_Collection
#	Collection_Name: asia_nepa010B
#	Earliest_Year: 1417
#	Most_Recent_Year: 1998
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.84000982068","T2":"17.1490379168","M1":"0.0228732935958","M2":"0.273261371446"}}
#--------------------
# Species
#	Species_Name: drooping juniper
#	Species_Code: JURE
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1417	0.647
1418	0.606
1419	0.596
1420	0.618
1421	0.553
1422	0.491
1423	0.475
1424	0.581
1425	0.5
1426	0.478
1427	0.45
1428	0.548
1429	0.489
1430	0.669
1431	0.671
1432	0.513
1433	0.706
1434	0.732
1435	1.277
1436	1.069
1437	1.063
1438	0.845
1439	0.863
1440	1.096
1441	0.83
1442	0.713
1443	0.638
1444	0.649
1445	0.776
1446	0.602
1447	0.615
1448	0.576
1449	0.556
1450	0.463
1451	0.428
1452	0.528
1453	0.515
1454	0.529
1455	0.546
1456	0.526
1457	0.487
1458	0.458
1459	0.483
1460	0.464
1461	0.433
1462	0.514
1463	0.562
1464	0.499
1465	0.564
1466	0.477
1467	0.55
1468	0.448
1469	0.589
1470	0.653
1471	0.527
1472	0.603
1473	0.503
1474	0.457
1475	0.513
1476	0.477
1477	0.556
1478	0.53
1479	0.431
1480	0.456
1481	0.493
1482	0.366
1483	0.383
1484	0.392
1485	0.45
1486	0.458
1487	0.422
1488	0.489
1489	0.516
1490	0.481
1491	0.422
1492	0.447
1493	0.606
1494	0.848
1495	0.74
1496	0.655
1497	0.56
1498	0.621
1499	0.607
1500	0.653
1501	0.751
1502	0.666
1503	0.654
1504	0.786
1505	0.797
1506	0.986
1507	0.987
1508	0.678
1509	0.79
1510	0.785
1511	0.929
1512	0.709
1513	0.772
1514	0.656
1515	1.035
1516	0.914
1517	0.584
1518	0.663
1519	1.054
1520	1.073
1521	0.989
1522	0.886
1523	0.94
1524	1.036
1525	0.84
1526	0.884
1527	0.839
1528	0.733
1529	0.768
1530	0.528
1531	0.476
1532	0.488
1533	0.648
1534	0.539
1535	0.521
1536	0.522
1537	0.721
1538	0.67
1539	0.693
1540	0.613
1541	0.524
1542	0.489
1543	0.42
1544	0.659
1545	0.484
1546	0.644
1547	0.487
1548	0.264
1549	0.355
1550	0.88
1551	0.731
1552	0.667
1553	0.969
1554	1.56
1555	1.759
1556	1.618
1557	1.515
1558	1.473
1559	1.395
1560	1.104
1561	1.159
1562	1.2
1563	1.339
1564	1.099
1565	1.397
1566	1.559
1567	1.447
1568	1.746
1569	1.814
1570	1.327
1571	1.206
1572	1.389
1573	1.202
1574	1.173
1575	1.238
1576	1.139
1577	1.332
1578	1.045
1579	0.804
1580	0.601
1581	0.933
1582	1.288
1583	1.083
1584	0.862
1585	1.323
1586	1.121
1587	1.039
1588	0.812
1589	0.52
1590	0.536
1591	0.749
1592	0.644
1593	0.854
1594	0.807
1595	0.734
1596	0.677
1597	0.703
1598	0.68
1599	0.764
1600	0.807
1601	0.707
1602	0.846
1603	0.797
1604	0.959
1605	0.76
1606	0.839
1607	0.891
1608	0.758
1609	0.803
1610	1.08
1611	1.252
1612	1.513
1613	1.39
1614	1.569
1615	1.592
1616	1.523
1617	1.633
1618	1.311
1619	1.118
1620	1.352
1621	1.044
1622	1.146
1623	1.027
1624	1.08
1625	1.034
1626	0.887
1627	0.765
1628	0.911
1629	0.895
1630	0.902
1631	0.9
1632	0.905
1633	0.588
1634	0.82
1635	0.729
1636	1.044
1637	1.171
1638	1.033
1639	1.513
1640	1.012
1641	1.02
1642	0.809
1643	0.948
1644	0.814
1645	0.913
1646	0.897
1647	1.168
1648	1.118
1649	1.188
1650	1.05
1651	1.026
1652	1.276
1653	1.183
1654	1.248
1655	0.937
1656	1.242
1657	0.989
1658	0.785
1659	1.026
1660	0.87
1661	0.71
1662	0.822
1663	0.7
1664	0.656
1665	0.644
1666	0.809
1667	1.005
1668	0.857
1669	0.689
1670	0.769
1671	0.735
1672	0.966
1673	0.918
1674	0.942
1675	0.882
1676	0.952
1677	0.76
1678	0.656
1679	0.618
1680	0.778
1681	0.859
1682	1.005
1683	0.85
1684	1.024
1685	1.039
1686	0.979
1687	1.212
1688	1.607
1689	1.092
1690	1.201
1691	0.939
1692	1.214
1693	1.571
1694	1.509
1695	1.517
1696	1.535
1697	1.25
