# asia_russ065w - Kuonamka River (trocken) - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: asia_russ065w - Kuonamka River (trocken) - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Kuonamka River (trocken)
#	Location:
#	Country: Russia
#	Northernmost_Latitude: 69.77
#	Southernmost_Latitude: 69.77
#	Easternmost_Longitude: 112.82
#	Westernmost_Longitude: 112.82
#	Elevation: 150 m
#--------------------
# Data_Collection
#	Collection_Name: asia_russ065wB
#	Earliest_Year: 1621
#	Most_Recent_Year: 1990
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"5.45752919728","T2":"17.0735019245","M1":"0.0225820516188","M2":"0.387799624611"}}
#--------------------
# Species
#	Species_Name: Dahurian larch
#	Species_Code: LAGM
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1621	0.802
1622	0.694
1623	0.725
1624	0.676
1625	0.519
1626	0.722
1627	0.789
1628	0.756
1629	1.011
1630	1.341
1631	1.275
1632	0.639
1633	1.379
1634	1.357
1635	1.557
1636	1.511
1637	1.602
1638	1.257
1639	1.291
1640	1.385
1641	0.73
1642	0.134
1643	0.86
1644	0.992
1645	0.922
1646	0.869
1647	0.675
1648	0.742
1649	1.015
1650	1.029
1651	1.193
1652	1.254
1653	0.847
1654	1.027
1655	1.546
1656	1.29
1657	1.012
1658	1.156
1659	1.316
1660	1.158
1661	1.14
1662	1.139
1663	0.744
1664	1.201
1665	1.225
1666	1.143
1667	1.6
1668	0.589
1669	0.82
1670	1.059
1671	1.183
1672	1.306
1673	0.884
1674	0.733
1675	0.982
1676	1.166
1677	0.999
1678	0.845
1679	1.024
1680	1.078
1681	0.56
1682	1.114
1683	1.441
1684	1.067
1685	0.762
1686	1.227
1687	1.157
1688	0.587
1689	1.244
1690	1.056
1691	1.294
1692	1.11
1693	1.317
1694	1.235
1695	0.776
1696	0.253
1697	0.847
1698	0.596
1699	0.308
1700	0.69
1701	0.683
1702	0.656
1703	0.81
1704	0.616
1705	0.741
1706	0.591
1707	0.969
1708	0.579
1709	0.845
1710	0.908
1711	0.738
1712	0.836
1713	0.936
1714	0.816
1715	0.953
1716	0.963
1717	0.872
1718	0.6
1719	1.016
1720	0.96
1721	0.839
1722	0.645
1723	0.601
1724	0.72
1725	0.661
1726	0.717
1727	1.082
1728	0.143
1729	1.037
1730	1.012
1731	0.326
1732	0.846
1733	0.838
1734	0.737
1735	0.558
1736	0.79
1737	1.12
1738	0.444
1739	0.864
1740	1.089
1741	0.639
1742	0.442
1743	1.084
1744	0.963
1745	1.038
1746	0.88
1747	1.11
1748	0.836
1749	0.746
1750	0.903
1751	0.781
1752	1.281
1753	1.115
1754	0.499
1755	0.871
1756	0.926
1757	1.504
1758	0.813
1759	1.019
1760	0.619
1761	1.366
1762	0.946
1763	1.041
1764	0.676
1765	0.978
1766	1.081
1767	1.031
1768	0.622
1769	0.594
1770	0.742
1771	0.762
1772	0.392
1773	0.586
1774	0.917
1775	0.935
1776	0.842
1777	1.055
1778	0.76
1779	0.147
1780	0.775
1781	0.551
1782	0.72
1783	0.637
1784	0.995
1785	0.733
1786	0.578
1787	0.651
1788	0.222
1789	1.093
1790	0.922
1791	0.15
1792	0.732
1793	0.744
1794	1.09
1795	0.804
1796	0.817
1797	0.735
1798	1.082
1799	0.761
1800	0.154
1801	0.917
1802	0.97
1803	1.171
1804	1.527
1805	0.874
1806	1.542
1807	0.715
1808	1.134
1809	0.9
1810	1.096
1811	1.351
1812	1.091
1813	0.728
1814	1.518
1815	1.16
1816	1.389
1817	0.843
1818	1.318
1819	0.179
1820	1.571
1821	1.017
1822	0.996
1823	0.828
1824	1.2
1825	0.636
1826	1.136
1827	0.381
1828	1.316
1829	1.735
1830	0.664
1831	1.683
1832	1.007
1833	0.901
1834	1.333
1835	1.109
1836	1.394
1837	1.212
1838	0.6
1839	0.988
1840	1.834
1841	1.108
1842	1.38
1843	1.312
1844	0.637
1845	0.952
1846	1.24
1847	1.133
1848	1.071
1849	0.402
1850	1.301
1851	1.132
1852	1.379
1853	1.259
1854	0.825
1855	1.0
1856	1.131
1857	0.894
1858	1.445
1859	0.668
1860	1.786
1861	1.716
1862	1.681
1863	1.07
1864	1.213
1865	1.38
1866	1.801
1867	0.608
1868	1.46
1869	0.558
1870	1.112
1871	1.126
1872	1.005
1873	0.725
1874	1.191
1875	1.413
1876	1.439
1877	1.448
1878	0.779
1879	1.515
1880	1.576
1881	1.492
1882	1.549
1883	1.719
1884	1.554
1885	1.527
1886	0.41
1887	1.296
1888	0.955
1889	0.704
1890	0.943
1891	1.381
1892	1.34
1893	1.025
1894	1.047
1895	1.519
1896	1.739
1897	1.133
1898	0.987
1899	0.61
1900	0.137
1901	1.751
1902	1.402
1903	0.941
