# asia_russ191 - Northern Yakutia - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: asia_russ191 - Northern Yakutia - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Northern Yakutia
#	Location:
#	Country: Russia
#	Northernmost_Latitude: 69.5
#	Southernmost_Latitude: 69.5
#	Easternmost_Longitude: 147.0
#	Westernmost_Longitude: 147.0
#	Elevation: 80 m
#--------------------
# Data_Collection
#	Collection_Name: asia_russ191B
#	Earliest_Year: 1600
#	Most_Recent_Year: 1994
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"5.41053509256","T2":"17.5017720194","M1":"0.0211806277344","M2":"0.335395181276"}}
#--------------------
# Species
#	Species_Name: Dahurian larch
#	Species_Code: LAGM
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1259	0.992
1260	0.852
1261	0.839
1262	0.904
1263	0.824
1264	0.767
1265	0.819
1266	1.255
1267	1.445
1268	1.185
1269	0.513
1270	1.341
1271	0.938
1272	0.796
1273	0.564
1274	0.773
1275	0.835
1276	0.917
1277	1.137
1278	0.784
1279	1.526
1280	1.492
1281	1.583
1282	1.626
1283	1.488
1284	0.921
1285	1.205
1286	0.665
1287	1.149
1288	0.887
1289	1.121
1290	0.598
1291	0.997
1292	1.031
1293	1.282
1294	1.042
1295	0.966
1296	1.401
1297	1.163
1298	0.57
1299	0.874
1300	0.723
1301	0.93
1302	1.223
1303	1.303
1304	1.371
1305	0.722
1306	0.898
1307	1.28
1308	1.423
1309	1.583
1310	1.284
1311	1.762
1312	1.122
1313	1.685
1314	1.31
1315	1.005
1316	1.504
1317	0.618
1318	1.09
1319	0.836
1320	0.725
1321	0.922
1322	1.19
1323	1.247
1324	0.525
1325	0.806
1326	0.996
1327	0.874
1328	1.178
1329	0.603
1330	0.73
1331	1.115
1332	0.825
1333	1.083
1334	0.959
1335	0.71
1336	0.715
1337	0.582
1338	0.46
1339	0.719
1340	0.746
1341	0.47
1342	0.98
1343	1.153
1344	0.737
1345	0.995
1346	0.641
1347	0.919
1348	0.672
1349	0.869
1350	0.639
1351	0.748
1352	0.641
1353	0.499
1354	0.68
1355	0.826
1356	0.782
1357	0.884
1358	0.618
1359	1.159
1360	0.903
1361	0.606
1362	0.693
1363	0.9
1364	0.522
1365	0.325
1366	0.306
1367	0.456
1368	1.212
1369	1.195
1370	1.059
1371	1.742
1372	0.728
1373	1.041
1374	1.191
1375	1.654
1376	0.952
1377	0.818
1378	0.932
1379	1.595
1380	2.006
1381	1.653
1382	1.587
1383	0.977
1384	0.977
1385	1.004
1386	1.98
1387	1.181
1388	0.922
1389	0.252
1390	1.063
1391	0.668
1392	0.742
1393	0.653
1394	1.148
1395	0.966
1396	1.068
1397	0.708
1398	0.364
1399	0.762
1400	1.041
1401	1.24
1402	0.634
1403	0.766
1404	0.925
1405	0.452
1406	0.38
1407	0.657
1408	0.878
1409	0.764
1410	0.569
1411	0.907
1412	0.971
1413	1.13
1414	0.76
1415	0.911
1416	0.85
1417	1.08
1418	0.971
1419	0.945
1420	0.755
1421	0.797
1422	0.944
1423	1.234
1424	1.007
1425	0.789
1426	0.78
1427	0.947
1428	1.284
1429	0.88
1430	1.271
1431	1.104
1432	1.226
1433	1.425
1434	0.836
1435	0.956
1436	0.945
1437	1.004
1438	0.885
1439	1.388
1440	1.31
1441	1.526
1442	1.034
1443	1.268
1444	1.441
1445	1.394
1446	1.502
1447	1.349
1448	1.979
1449	1.469
1450	1.711
1451	1.11
1452	1.203
1453	0.977
1454	1.572
1455	1.255
1456	1.439
1457	1.282
1458	0.783
1459	0.829
1460	1.038
1461	0.978
1462	1.302
1463	0.334
1464	0.654
1465	0.774
1466	0.589
1467	0.366
1468	0.421
1469	0.706
1470	0.823
1471	0.893
1472	1.153
1473	0.386
1474	0.533
1475	1.017
1476	1.063
1477	0.618
1478	0.948
1479	0.475
1480	0.775
1481	0.705
1482	1.122
1483	1.196
1484	1.019
1485	1.24
1486	1.079
1487	0.813
1488	1.246
1489	0.605
1490	1.415
1491	1.215
1492	1.154
1493	0.927
1494	1.024
1495	0.277
1496	0.98
1497	0.632
1498	0.873
1499	0.803
1500	0.958
1501	0.964
1502	1.007
1503	0.96
1504	0.457
1505	1.086
1506	0.956
1507	0.871
1508	1.196
1509	1.492
1510	1.022
1511	0.804
1512	0.896
1513	1.041
1514	0.712
1515	0.828
1516	1.042
1517	1.039
1518	1.132
1519	1.012
1520	1.221
1521	0.632
1522	1.063
1523	0.758
1524	1.092
1525	1.4
1526	1.338
1527	1.658
1528	0.832
1529	1.01
1530	0.775
1531	0.685
1532	1.401
1533	1.296
1534	0.787
1535	1.173
1536	1.116
1537	0.721
1538	0.775
1539	0.936
1540	1.036
1541	0.526
1542	0.447
1543	0.379
1544	0.904
1545	0.618
1546	0.516
1547	1.126
1548	0.855
1549	0.999
1550	1.393
1551	1.089
1552	1.249
1553	1.059
1554	0.875
1555	1.046
1556	0.706
1557	0.293
1558	1.239
1559	0.726
1560	0.913
1561	1.012
1562	0.966
1563	1.222
1564	0.73
1565	0.941
1566	0.673
1567	0.776
1568	1.604
1569	1.236
1570	0.866
1571	1.255
1572	0.197
1573	1.208
1574	0.812
1575	1.396
1576	0.382
1577	0.789
1578	0.621
1579	0.931
1580	0.153
1581	1.02
1582	0.654
1583	0.421
1584	0.848
1585	0.251
1586	0.823
1587	0.606
1588	0.899
1589	0.544
1590	1.036
1591	1.037
1592	0.98
1593	1.149
1594	1.079
1595	1.443
1596	0.984
1597	0.653
1598	1.168
1599	0.969
1600	1.158
1601	0.623
1602	0.715
1603	0.972
1604	0.966
1605	0.281
1606	1.005
1607	0.715
1608	0.749
1609	0.542
1610	0.963
1611	0.667
1612	1.109
1613	1.301
1614	0.682
1615	1.241
1616	0.946
1617	0.937
1618	1.307
1619	0.821
1620	0.501
1621	1.178
1622	0.821
1623	1.407
1624	1.586
1625	1.668
1626	1.636
1627	0.872
1628	0.774
1629	1.198
1630	1.59
1631	1.15
1632	0.675
1633	1.155
1634	0.733
1635	0.659
1636	0.551
1637	0.599
1638	1.174
1639	0.885
1640	1.085
1641	0.819
1642	0.236
1643	0.212
1644	0.994
1645	0.273
1646	1.034
1647	1.18
1648	1.152
1649	1.239
1650	1.1
1651	0.82
1652	1.097
1653	1.315
1654	1.27
1655	1.637
1656	0.958
1657	1.764
1658	1.666
1659	1.558
1660	1.564
1661	0.565
1662	0.897
1663	1.191
1664	1.73
1665	0.961
1666	0.966
1667	1.168
1668	0.92
1669	0.987
1670	1.45
1671	0.871
1672	1.359
1673	1.287
1674	1.425
1675	0.425
1676	0.881
1677	1.275
1678	0.753
1679	0.695
1680	-0.089
1681	0.776
1682	1.096
1683	0.887
1684	0.611
1685	0.638
1686	0.79
1687	0.58
1688	0.797
1689	0.961
1690	0.31
1691	1.068
1692	0.581
1693	1.474
1694	0.927
1695	-0.003
1696	0.418
1697	1.378
1698	0.291
1699	1.225
1700	1.014
1701	1.267
1702	1.203
1703	1.39
1704	1.405
1705	1.047
