# australia_ausl009 - Beyond Burn - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: australia_ausl009 - Beyond Burn - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Beyond Burn
#	Location:
#	Country: Australia
#	Northernmost_Latitude: -42.65
#	Southernmost_Latitude: -42.65
#	Easternmost_Longitude: 146.57
#	Westernmost_Longitude: 146.57
#	Elevation: 1200 m
#--------------------
# Data_Collection
#	Collection_Name: australia_ausl009B
#	Earliest_Year: 1028
#	Most_Recent_Year: 1975
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[-12, 1, 2]"}}{"VSLite_parameters":{"T1":"5.68665366115","T2":"18.4454829277","M1":"0.022622765746","M2":"0.462063498345"}}
#--------------------
# Species
#	Species_Name: pencil pine
#	Species_Code: ATCU
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1028	0.761
1029	0.79
1030	0.96
1031	1.031
1032	0.918
1033	0.904
1034	0.848
1035	0.749
1036	0.792
1037	0.948
1038	0.949
1039	1.049
1040	0.95
1041	0.736
1042	0.437
1043	0.794
1044	0.594
1045	0.58
1046	0.781
1047	0.724
1048	0.781
1049	0.696
1050	0.724
1051	0.825
1052	0.825
1053	0.897
1054	0.758
1055	0.935
1056	0.866
1057	0.808
1058	0.667
1059	0.901
1060	1.139
1061	1.215
1062	1.096
1063	0.826
1064	0.816
1065	0.783
1066	0.856
1067	0.839
1068	0.846
1069	0.753
1070	0.853
1071	0.726
1072	0.775
1073	1.222
1074	1.181
1075	0.852
1076	1.113
1077	0.978
1078	0.92
1079	1.051
1080	0.966
1081	0.76
1082	0.833
1083	1.031
1084	1.016
1085	1.041
1086	0.793
1087	0.987
1088	0.847
1089	1.136
1090	0.984
1091	0.927
1092	1.027
1093	0.889
1094	0.881
1095	1.067
1096	0.851
1097	0.971
1098	0.901
1099	1.021
1100	1.048
1101	1.142
1102	1.28
1103	1.048
1104	0.903
1105	1.163
1106	1.156
1107	1.063
1108	1.182
1109	0.894
1110	1.156
1111	0.974
1112	0.88
1113	0.956
1114	0.911
1115	0.844
1116	1.137
1117	0.872
1118	1
1119	1.057
1120	1.178
1121	1.152
1122	1.064
1123	1.167
1124	1.255
1125	1.074
1126	0.932
1127	0.933
1128	0.969
1129	1.123
1130	1.015
1131	1.149
1132	1.344
1133	1.189
1134	1.013
1135	1.339
1136	1.198
1137	1.199
1138	1.208
1139	1.251
1140	1.033
1141	1.086
1142	1.344
1143	0.933
1144	0.831
1145	0.938
1146	0.975
1147	0.64
1148	0.978
1149	0.796
1150	0.488
1151	0.648
1152	0.858
1153	1.026
1154	0.724
1155	0.579
1156	0.719
1157	1.05
1158	0.448
1159	0.588
1160	0.771
1161	0.77
1162	0.858
1163	0.901
1164	0.97
1165	0.84
1166	0.807
1167	1.005
1168	0.827
1169	0.867
1170	1.049
1171	0.919
1172	0.903
1173	0.947
1174	0.768
1175	0.734
1176	0.916
1177	0.954
1178	0.962
1179	1.161
1180	0.952
1181	0.819
1182	1.178
1183	1.227
1184	0.957
1185	1.13
1186	1.003
1187	1.049
1188	0.892
1189	1.065
1190	0.941
1191	1.108
1192	1.297
1193	0.908
1194	1.178
1195	1.097
1196	0.923
1197	0.865
1198	0.745
1199	0.684
1200	0.671
1201	0.938
1202	1.115
1203	0.66
1204	0.925
1205	1.136
1206	1.18
1207	1.088
1208	1.237
1209	0.997
1210	1.067
1211	1.141
1212	1.141
1213	1.069
1214	1.024
1215	0.947
1216	0.97
1217	1.3
1218	1.073
1219	1.142
1220	1.059
1221	1.116
1222	0.915
1223	0.77
1224	1.129
1225	1.129
1226	0.905
1227	1.043
1228	1.118
1229	1.133
1230	1.048
1231	1.001
1232	1.082
1233	0.813
1234	0.835
1235	1.139
1236	1.13
1237	1.073
1238	1.149
1239	1.149
1240	1.311
1241	0.896
1242	1.017
1243	0.96
1244	1.011
1245	0.766
1246	0.732
1247	0.929
1248	0.884
1249	0.905
1250	1.135
1251	1.077
1252	0.845
1253	0.797
1254	0.565
1255	0.768
1256	0.913
1257	1.002
1258	0.997
1259	0.913
1260	0.924
1261	0.92
1262	0.982
1263	1.11
1264	1.002
1265	0.876
1266	0.828
1267	0.862
1268	0.922
1269	0.967
1270	1.103
1271	1
1272	1.268
1273	1.29
1274	1.402
1275	1.295
1276	0.802
1277	0.593
1278	0.759
1279	0.806
1280	0.618
1281	0.604
1282	0.71
1283	0.858
1284	0.926
1285	1.002
1286	0.931
1287	0.843
1288	0.87
1289	0.973
1290	1.089
1291	1.112
1292	1.072
1293	1.248
1294	1.37
1295	1.307
1296	1.177
1297	1.235
1298	1.239
1299	1.262
1300	1.346
1301	1.159
1302	1.223
1303	1.409
1304	1.145
1305	1.276
1306	1.522
1307	1.244
1308	1.422
