# australia_newz063 - Urewera Recollection - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: australia_newz063 - Urewera Recollection - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Urewera Recollection
#	Location:
#	Country: New Zealand
#	Northernmost_Latitude: -38.68
#	Southernmost_Latitude: -38.68
#	Easternmost_Longitude: 177.2
#	Westernmost_Longitude: 177.2
#	Elevation: 854 m
#--------------------
# Data_Collection
#	Collection_Name: australia_newz063B
#	Earliest_Year: 1140
#	Most_Recent_Year: 1992
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[-12, 1, 2]"}}{"VSLite_parameters":{"T1":"5.03498833572","T2":"13.8357844458","M1":"0.0226181647036","M2":"0.370242394576"}}
#--------------------
# Species
#	Species_Name: New Zealand cedar
#	Species_Code: LIBI
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1140	0.896
1141	0.857
1142	0.993
1143	0.973
1144	0.914
1145	1.07
1146	1.011
1147	0.875
1148	0.874
1149	1.146
1150	1.087
1151	1.086
1152	0.854
1153	1.027
1154	1.104
1155	1.085
1156	1.335
1157	1.026
1158	1.103
1159	0.813
1160	0.986
1161	0.812
1162	0.87
1163	0.677
1164	0.677
1165	0.561
1166	0.6
1167	0.657
1168	0.676
1169	0.944
1170	0.771
1171	0.924
1172	1.077
1173	0.866
1174	1.095
1175	0.865
1176	0.903
1177	0.751
1178	0.865
1179	1.321
1180	1.244
1181	1.244
1182	1.148
1183	1.129
1184	0.863
1185	0.938
1186	0.9
1187	0.71
1188	0.824
1189	0.785
1190	0.917
1191	1.389
1192	1.162
1193	0.822
1194	0.784
1195	0.671
1196	0.595
1197	0.727
1198	0.614
1199	0.745
1200	0.764
1201	0.932
1202	1.007
1203	0.857
1204	0.613
1205	0.837
1206	0.856
1207	0.912
1208	0.762
1209	0.65
1210	0.724
1211	0.631
1212	0.966
1213	1.282
1214	1.17
1215	1.02
1216	1.15
1217	1.075
1218	0.945
1219	1.13
1220	1.037
1221	1.018
1222	1.184
1223	1.775
1224	1.183
1225	0.998
1226	0.979
1227	0.997
1228	0.72
1229	0.794
1230	0.83
1231	0.701
1232	0.866
1233	0.866
1234	0.774
1235	1.012
1236	0.774
1237	1.085
1238	0.883
1239	0.956
1240	0.791
1241	0.827
1242	0.717
1243	1.082
1244	0.881
1245	0.972
1246	1.245
1247	1.517
1248	1.207
1249	1.316
1250	1.515
1251	1.424
1252	1.351
1253	1.259
1254	1.229
1255	1.371
1256	1.27
1257	1.114
1258	0.893
1259	0.906
1260	0.711
1261	0.83
1262	0.696
1263	0.819
1264	0.528
1265	0.584
1266	0.763
1267	0.793
1268	1.015
1269	1.101
1270	1.037
1271	1.133
1272	0.872
1273	1.103
1274	0.97
1275	0.948
1276	0.84
1277	0.948
1278	0.951
1279	1.045
1280	0.875
1281	1.146
1282	0.965
1283	0.914
1284	1.109
1285	1.162
1286	1.092
1287	1.421
1288	0.989
1289	0.809
1290	0.859
1291	0.73
1292	0.612
1293	0.646
1294	0.704
1295	0.576
1296	0.652
1297	1.169
1298	0.818
1299	0.662
1300	0.797
1301	0.747
1302	0.646
1303	0.562
1304	0.646
1305	0.747
1306	1.016
1307	0.887
1308	1.184
1309	1.19
1310	0.922
1311	0.907
1312	1.036
1313	1.122
1314	0.914
1315	0.704
1316	0.64
1317	0.825
1318	1.021
1319	1.001
1320	1.309
1321	1.117
1322	0.781
1323	0.934
1324	0.979
1325	0.914
1326	1.138
1327	1.34
1328	1.469
1329	1.023
1330	1.091
1331	1.091
1332	1.089
1333	1.484
1334	1.128
1335	1.058
1336	0.692
1337	0.811
1338	0.973
1339	1.09
1340	0.621
1341	0.624
1342	0.704
1343	0.55
1344	0.898
1345	1.476
1346	1.052
1347	0.864
1348	0.776
1349	0.652
1350	0.558
1351	0.751
1352	0.537
1353	1.158
1354	0.906
1355	0.636
1356	0.744
1357	0.709
1358	0.564
1359	0.75
1360	0.699
1361	0.696
1362	0.78
1363	0.86
1364	0.964
1365	0.861
1366	0.846
1367	0.846
1368	0.852
1369	0.766
1370	0.64
1371	0.697
1372	0.675
1373	0.669
1374	1.068
1375	0.947
1376	0.61
1377	0.64
1378	0.906
1379	1.049
1380	0.906
1381	0.804
1382	0.739
1383	0.509
1384	0.356
1385	0.595
1386	0.818
1387	0.819
1388	0.856
1389	1.083
1390	1.212
1391	1.571
1392	1.345
1393	1.191
1394	0.95
1395	0.995
1396	0.775
1397	0.88
1398	0.842
1399	0.671
1400	0.745
1401	0.556
1402	0.569
1403	0.732
1404	0.846
1405	0.539
1406	0.335
1407	0.494
1408	0.467
1409	0.703
1410	0.785
1411	0.712
1412	0.764
1413	0.708
1414	0.515
1415	0.535
1416	0.447
1417	0.355
1418	0.495
1419	0.647
1420	0.575
