# australia_newz083 - Hidden Valley NZ - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: australia_newz083 - Hidden Valley NZ - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Hidden Valley NZ
#	Location:
#	Country: New Zealand
#	Northernmost_Latitude: -36.2
#	Southernmost_Latitude: -36.2
#	Easternmost_Longitude: 175.43
#	Westernmost_Longitude: 175.43
#	Elevation: 220 m
#--------------------
# Data_Collection
#	Collection_Name: australia_newz083B
#	Earliest_Year: 1706
#	Most_Recent_Year: 1997
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[-12, 1, 2]"}}{"VSLite_parameters":{"T1":"4.70124711715","T2":"11.5862628285","M1":"0.0225461604857","M2":"0.541570501094"}}
#--------------------
# Species
#	Species_Name: kauri pine
#	Species_Code: AGAU
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1706	0.764
1707	0.823
1708	0.729
1709	0.848
1710	0.903
1711	1.008
1712	0.959
1713	1.154
1714	1.234
1715	0.714
1716	0.902
1717	1.098
1718	1.114
1719	1.17
1720	0.862
1721	1.028
1722	0.969
1723	0.938
1724	0.699
1725	0.845
1726	0.992
1727	0.918
1728	0.937
1729	0.756
1730	0.837
1731	0.622
1732	0.896
1733	1.13
1734	1.306
1735	0.906
1736	0.882
1737	0.895
1738	0.562
1739	0.854
1740	0.694
1741	0.891
1742	1.423
1743	1.134
1744	1.355
1745	0.89
1746	1.182
1747	1.342
1748	1.116
1749	1.026
1750	0.828
1751	0.984
1752	0.825
1753	0.902
1754	0.663
1755	0.92
1756	1.124
1757	0.883
1758	1.384
1759	1.101
1760	0.938
1761	1.011
1762	1.05
1763	1.059
1764	0.958
1765	0.817
1766	0.891
1767	0.87
1768	0.982
1769	1.185
1770	0.694
1771	0.977
1772	0.884
1773	0.912
1774	1.111
1775	0.941
1776	0.971
1777	1.159
1778	0.831
1779	1.205
1780	0.937
1781	1.078
1782	0.965
1783	0.83
1784	0.849
1785	1.115
1786	1.055
1787	0.813
1788	1.132
1789	0.752
1790	1.018
1791	1.284
1792	0.924
1793	0.822
1794	0.888
1795	0.665
1796	0.839
1797	1.032
1798	1.022
1799	1.187
1800	1.02
1801	0.972
1802	0.979
1803	0.916
1804	0.8
1805	0.941
1806	0.942
1807	1.237
1808	1.166
1809	1.326
1810	1.241
1811	1.312
1812	1.311
1813	1.184
1814	1.287
1815	1.329
1816	1.487
1817	1.07
1818	1.096
1819	0.952
1820	1.008
1821	0.933
1822	1.311
1823	0.874
1824	0.717
1825	0.994
1826	0.942
1827	1.101
1828	0.857
1829	1.324
1830	1.057
1831	1.551
1832	1.153
1833	1.425
1834	1.332
1835	1.256
1836	1.096
1837	1.512
1838	1.106
1839	0.867
1840	1.123
1841	0.782
1842	0.886
1843	0.968
1844	0.923
1845	1.128
1846	0.739
1847	1.038
1848	0.732
1849	0.881
1850	0.873
1851	1.038
1852	1.445
1853	1.54
1854	1.074
1855	1.068
1856	1.059
1857	1.074
1858	1.121
1859	0.804
1860	0.708
1861	0.676
1862	0.778
1863	0.721
1864	1.074
1865	0.971
1866	0.825
1867	0.814
1868	1.13
1869	1.049
1870	0.952
1871	0.894
1872	0.662
1873	0.529
1874	0.509
1875	0.64
1876	0.942
1877	0.826
1878	0.718
1879	0.859
1880	0.684
1881	0.875
1882	0.864
1883	1.021
1884	0.903
1885	0.881
1886	0.585
1887	0.568
1888	0.887
1889	0.567
1890	0.52
1891	0.747
1892	0.645
1893	0.856
1894	0.986
1895	0.973
1896	0.818
1897	0.805
1898	0.731
1899	0.77
1900	0.907
1901	0.843
1902	0.921
1903	0.471
1904	1.332
1905	1.282
1906	1.018
1907	0.692
1908	0.605
1909	0.826
1910	0.738
1911	1.265
1912	0.772
1913	1.345
1914	0.65
1915	1.227
1916	0.591
1917	0.957
1918	1.12
1919	1.402
1920	1.117
1921	1.033
1922	0.939
1923	1.184
1924	1.152
1925	0.997
1926	0.784
1927	0.834
1928	0.639
1929	0.582
1930	0.766
1931	0.936
1932	0.755
1933	0.838
1934	0.768
1935	0.8
1936	0.776
1937	0.638
1938	0.938
1939	0.789
1940	1.299
1941	0.752
1942	0.881
1943	0.654
1944	0.889
1945	0.578
1946	0.566
1947	0.333
1948	0.453
1949	1.069
1950	0.429
1951	1.072
1952	0.928
1953	0.593
1954	0.824
1955	0.475
1956	0.324
1957	0.733
1958	0.526
1959	0.878
1960	0.624
1961	1.097
1962	0.977
1963	1.645
1964	1.526
1965	1.707
1966	1.606
1967	1.485
1968	1.041
1969	0.815
1970	0.576
1971	0.741
1972	0.916
1973	0.64
1974	0.963
1975	0.824
1976	1.328
1977	1.351
1978	1.115
1979	0.776
1980	0.953
1981	0.926
1982	1.058
1983	0.844
1984	1.311
1985	0.981
1986	1.166
1987	0.76
1988	0.762
1989	0.664
1990	0.901
1991	1.258
1992	1.395
1993	1.489
1994	1.227
1995	1.08
1996	1.039
1997	0.898
