# europe_brit017 - Ballochbuite - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: europe_brit017 - Ballochbuite - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Ballochbuite
#	Location:
#	Country: United Kingdom
#	Northernmost_Latitude: 56.95
#	Southernmost_Latitude: 56.95
#	Easternmost_Longitude: -3.32
#	Westernmost_Longitude: -3.32
#	Elevation: 381 m
#--------------------
# Data_Collection
#	Collection_Name: europe_brit017B
#	Earliest_Year: 1737
#	Most_Recent_Year: 1978
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"3.59596466284","T2":"17.6944064451","M1":"0.0227074575387","M2":"0.435416423794"}}
#--------------------
# Species
#	Species_Name: Scots pine
#	Species_Code: PISY
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1737	0.837
1738	1.182
1739	1.018
1740	0.883
1741	1.053
1742	0.915
1743	1.009
1744	0.997
1745	0.954
1746	1.017
1747	1.106
1748	0.996
1749	1.086
1750	1.231
1751	1.012
1752	1.16
1753	1.064
1754	1.254
1755	1.179
1756	0.937
1757	0.8
1758	0.742
1759	0.842
1760	0.878
1761	0.999
1762	0.751
1763	0.992
1764	1.042
1765	0.816
1766	1.071
1767	1.037
1768	1.099
1769	1.169
1770	0.963
1771	0.744
1772	0.772
1773	0.899
1774	0.824
1775	0.886
1776	1.109
1777	1.105
1778	1.084
1779	1.349
1780	1.01
1781	1.045
1782	0.896
1783	1.086
1784	0.909
1785	0.839
1786	0.732
1787	0.911
1788	0.946
1789	1.1
1790	1.046
1791	1.138
1792	1.043
1793	0.842
1794	0.963
1795	0.969
1796	0.933
1797	1.026
1798	1.076
1799	0.872
1800	0.865
1801	0.928
1802	0.938
1803	0.791
1804	0.887
1805	0.967
1806	0.853
1807	0.9
1808	1.161
1809	0.931
1810	0.851
1811	1.059
1812	1.145
1813	1.259
1814	0.982
1815	0.999
1816	0.826
1817	0.981
1818	0.939
1819	1.119
1820	0.912
1821	0.932
1822	1.058
1823	1.154
1824	1.266
1825	1.112
1826	0.913
1827	1.116
1828	1.009
1829	1.092
1830	1.288
1831	1.377
1832	1.306
1833	1.048
1834	1.168
1835	0.979
1836	0.825
1837	0.922
1838	0.855
1839	0.719
1840	0.786
1841	0.901
1842	0.815
1843	0.897
1844	0.863
1845	1.029
1846	1.306
1847	1.211
1848	1.026
1849	1.177
1850	1.063
1851	0.853
1852	0.825
1853	0.75
1854	0.906
1855	0.777
1856	0.69
1857	0.999
1858	0.796
1859	0.84
1860	0.79
1861	0.937
1862	1.094
1863	1.149
1864	0.937
1865	0.754
1866	0.746
1867	0.605
1868	0.764
1869	0.618
1870	0.751
1871	0.81
1872	0.902
1873	0.864
1874	0.96
1875	1.121
1876	0.99
1877	0.94
1878	1.162
1879	0.764
1880	1.078
1881	0.812
1882	0.986
1883	0.629
1884	0.609
1885	0.71
1886	0.863
1887	0.811
1888	0.764
1889	0.904
1890	1.052
1891	1.017
1892	0.923
1893	1.068
1894	0.994
1895	0.801
1896	0.923
1897	1.047
1898	1.014
1899	1.002
1900	0.948
1901	1.07
1902	0.912
1903	1.143
1904	1.227
1905	1.187
1906	0.923
1907	0.85
1908	0.772
1909	0.744
1910	0.97
1911	0.812
1912	0.955
1913	0.866
1914	0.775
1915	0.713
1916	0.764
1917	0.806
1918	0.852
1919	0.858
1920	0.828
1921	0.788
1922	0.825
1923	0.965
1924	1.122
1925	1.221
1926	1.33
1927	0.819
1928	0.729
1929	0.963
1930	0.901
1931	0.872
1932	1.225
1933	1.219
1934	1.014
1935	1.063
1936	1.182
1937	1.082
1938	1.184
1939	1.229
1940	0.751
1941	0.966
1942	1.007
1943	1.356
1944	1.271
1945	1.389
1946	1.174
1947	1.216
1948	1.047
1949	1.672
1950	1.255
1951	1.099
1952	1.196
1953	1.388
1954	1.077
1955	0.994
1956	0.827
1957	0.924
1958	0.952
1959	0.999
1960	0.873
1961	0.643
1962	0.722
1963	0.983
1964	1.1
1965	1.071
1966	1.006
1967	1.174
1968	0.938
1969	0.818
1970	0.903
1971	1.27
1972	1.308
1973	1.145
1974	0.858
1975	0.913
1976	0.94
1977	0.886
1978	1.158
