# europe_cypr002 - Troodos (Mittel) - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: europe_cypr002 - Troodos (Mittel) - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Troodos (Mittel)
#	Location:
#	Country: Cyprus
#	Northernmost_Latitude: 34.93
#	Southernmost_Latitude: 34.93
#	Easternmost_Longitude: 32.87
#	Westernmost_Longitude: 32.87
#	Elevation: 1820 m
#--------------------
# Data_Collection
#	Collection_Name: europe_cypr002B
#	Earliest_Year: 1642
#	Most_Recent_Year: 1981
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.89229450819","T2":"16.4460042638","M1":"0.0228345447897","M2":"0.45154442225"}}
#--------------------
# Species
#	Species_Name: Austrian pine
#	Species_Code: PINI
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1642	1.042
1643	1.175
1644	1.022
1645	1.132
1646	1.219
1647	1.084
1648	1.076
1649	1.135
1650	0.943
1651	0.988
1652	0.966
1653	1.021
1654	0.957
1655	1.103
1656	0.995
1657	0.785
1658	0.88
1659	0.925
1660	0.924
1661	1.078
1662	1.051
1663	1.106
1664	1.047
1665	1.425
1666	1.307
1667	1.15
1668	0.879
1669	1.048
1670	0.741
1671	0.9
1672	0.754
1673	1.03
1674	0.945
1675	0.876
1676	0.839
1677	1.013
1678	1.128
1679	1.032
1680	0.901
1681	1.2
1682	1.306
1683	1.175
1684	1.192
1685	1.013
1686	1.069
1687	1.059
1688	0.754
1689	0.799
1690	0.844
1691	0.94
1692	1.039
1693	0.726
1694	0.875
1695	0.904
1696	0.936
1697	0.982
1698	0.849
1699	0.867
1700	0.86
1701	0.708
1702	0.783
1703	0.749
1704	0.735
1705	0.872
1706	0.71
1707	0.726
1708	0.814
1709	1.091
1710	1.013
1711	0.689
1712	0.665
1713	0.712
1714	0.773
1715	0.51
1716	0.649
1717	0.643
1718	0.564
1719	0.696
1720	0.855
1721	1.025
1722	0.624
1723	0.642
1724	0.735
1725	0.519
1726	0.601
1727	0.563
1728	0.812
1729	0.697
1730	0.696
1731	0.749
1732	0.859
1733	0.871
1734	0.868
1735	0.824
1736	0.897
1737	0.949
1738	0.827
1739	0.89
1740	0.71
1741	0.729
1742	0.91
1743	1.056
1744	1.055
1745	0.783
1746	0.649
1747	0.652
1748	1.001
1749	0.705
1750	0.763
1751	1.05
1752	0.999
1753	1.061
1754	1.171
1755	1.393
1756	1.217
1757	1.377
1758	1.334
1759	1.265
1760	1.096
1761	0.945
1762	0.937
1763	0.775
1764	0.807
1765	0.817
1766	0.791
1767	0.884
1768	0.794
1769	0.804
1770	1.022
1771	1.129
1772	1.282
1773	1.196
1774	1.135
1775	1.224
1776	1.333
1777	1.174
1778	1.179
1779	1.168
1780	1.078
1781	0.939
1782	1.025
1783	1.019
1784	1.067
1785	0.95
1786	1.113
1787	1.009
1788	1.332
1789	1.082
1790	1.159
1791	1.211
1792	1.116
1793	1.022
1794	1.013
1795	1.102
1796	1.082
1797	0.992
1798	0.977
1799	0.98
1800	0.94
1801	0.942
1802	0.88
1803	0.796
1804	0.787
1805	0.909
1806	0.958
1807	1.077
1808	1.069
1809	1.109
1810	1.148
1811	1.275
1812	0.978
1813	0.967
1814	0.944
1815	0.974
1816	0.878
1817	1.01
1818	1.046
1819	0.951
1820	1.03
1821	1.069
1822	0.879
1823	0.994
1824	1.015
1825	0.936
1826	0.935
1827	1.003
1828	1.127
1829	1.084
1830	0.892
1831	0.94
1832	0.93
1833	0.853
1834	0.765
1835	0.749
1836	0.927
1837	0.983
1838	0.953
1839	1.049
1840	0.99
1841	1.017
1842	0.956
1843	0.763
1844	0.642
1845	0.576
1846	0.655
1847	0.763
1848	0.751
1849	0.853
1850	0.822
1851	0.69
1852	0.582
1853	0.69
1854	0.736
1855	0.914
1856	0.976
1857	1.028
1858	1.063
1859	1.053
1860	1.201
1861	1.172
1862	1.26
1863	1.208
1864	1.146
1865	1.187
1866	1.426
1867	1.335
1868	1.142
1869	1.16
1870	1.058
1871	1.145
1872	1.42
1873	1.426
1874	0.98
1875	1.169
1876	1.173
1877	0.934
1878	0.741
1879	0.989
1880	1.184
1881	1.16
1882	1.414
1883	1.475
1884	1.265
1885	1.393
1886	1.139
1887	1.114
1888	1.225
1889	1.391
1890	1.262
1891	1.269
1892	1.181
1893	0.82
1894	0.863
1895	1.007
1896	0.917
1897	1.123
1898	1.109
1899	1.105
1900	1.21
1901	1.018
1902	1.059
1903	0.914
1904	0.927
1905	0.914
1906	1.03
1907	0.913
1908	1.094
1909	0.706
1910	1.168
1911	1.19
1912	1.193
1913	0.952
1914	1.056
1915	1.019
1916	0.884
1917	0.781
1918	0.954
1919	1.105
1920	1.174
1921	1.462
1922	1.395
1923	1.091
