# europe_cypr004 - Plano Platres (Feucht) - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: europe_cypr004 - Plano Platres (Feucht) - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Plano Platres (Feucht)
#	Location:
#	Country: Cyprus
#	Northernmost_Latitude: 34.9
#	Southernmost_Latitude: 34.9
#	Easternmost_Longitude: 32.9
#	Westernmost_Longitude: 32.9
#	Elevation: 1600 m
#--------------------
# Data_Collection
#	Collection_Name: europe_cypr004B
#	Earliest_Year: 1794
#	Most_Recent_Year: 1981
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"5.54741900163","T2":"16.4045539364","M1":"0.0226784958224","M2":"0.439930713057"}}
#--------------------
# Species
#	Species_Name: Austrian pine
#	Species_Code: PINI
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1794	0.995
1795	0.849
1796	0.816
1797	0.78
1798	0.731
1799	0.869
1800	1.004
1801	1.047
1802	0.954
1803	0.836
1804	0.954
1805	1.041
1806	0.975
1807	0.998
1808	1.005
1809	0.949
1810	1.081
1811	1.072
1812	1.057
1813	0.923
1814	0.901
1815	0.855
1816	1.035
1817	1.011
1818	0.981
1819	0.806
1820	0.827
1821	0.807
1822	0.757
1823	0.76
1824	1.012
1825	0.858
1826	0.898
1827	1.124
1828	0.973
1829	1.248
1830	0.898
1831	0.944
1832	1.014
1833	1.324
1834	1.036
1835	1.264
1836	1.252
1837	1.31
1838	1.031
1839	1.01
1840	1.029
1841	1.008
1842	1.002
1843	1.138
1844	1.117
1845	1.009
1846	1.101
1847	1.084
1848	1.03
1849	0.985
1850	0.831
1851	0.531
1852	0.401
1853	0.756
1854	0.787
1855	0.909
1856	0.856
1857	0.954
1858	1.049
1859	0.949
1860	1.1
1861	1.011
1862	1.107
1863	1.064
1864	1.25
1865	1.444
1866	1.387
1867	1.578
1868	1.187
1869	1.142
1870	1.098
1871	1.23
1872	1.215
1873	1.176
1874	0.67
1875	0.816
1876	1.019
1877	0.965
1878	0.778
1879	0.892
1880	1.081
1881	1.125
1882	0.939
1883	1.032
1884	0.965
1885	1.218
1886	1.21
1887	0.965
1888	0.929
1889	1.206
1890	0.968
1891	0.983
1892	0.959
1893	0.698
1894	0.524
1895	0.84
1896	0.834
1897	1.096
1898	0.781
1899	0.747
1900	1.049
1901	1.181
1902	1.28
1903	1.046
1904	1.126
1905	1.024
1906	0.938
1907	0.897
1908	1.094
1909	0.932
1910	1.229
1911	1.15
1912	1.213
1913	1.173
1914	1.203
1915	1.19
1916	0.916
1917	0.789
1918	0.82
1919	1.043
1920	0.959
1921	1.286
1922	1.296
1923	0.884
1924	1.042
1925	1.033
1926	1.04
1927	0.872
1928	0.791
1929	0.801
1930	1.011
1931	1.008
1932	0.859
1933	0.97
1934	0.955
1935	0.891
1936	1.053
1937	0.968
1938	0.806
1939	0.96
1940	1.003
1941	0.832
1942	0.636
1943	0.757
1944	1.009
1945	0.731
1946	0.808
1947	0.906
1948	0.724
1949	0.608
1950	0.91
1951	0.998
1952	1.006
1953	1.208
1954	1.008
1955	1.041
1956	0.818
1957	0.674
1958	1.135
1959	1.081
1960	1.02
1961	0.781
1962	1.059
1963	0.948
1964	0.964
1965	0.842
1966	1.09
1967	0.989
1968	1.194
1969	1.228
1970	1.201
1971	1.188
1972	1.428
1973	1.083
1974	0.692
1975	1.173
1976	1.055
1977	0.901
1978	0.761
1979	1.04
1980	0.749
1981	0.736
