# europe_finl2 - Väistönselkä, Sauvasaaret Savonlinna - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: europe_finl2 - Väistönselkä, Sauvasaaret Savonlinna - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganovâ€“Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4â€“6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL modelâ€™s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Väistönselkä, Sauvasaaret Savonlinna
#	Location:
#	Country: Finland
#	Northernmost_Latitude: 61.67
#	Southernmost_Latitude: 61.67
#	Easternmost_Longitude: 29.17
#	Westernmost_Longitude: 29.17
#	Elevation: 90 m
#--------------------
# Data_Collection
#	Collection_Name: europe_finl2B
#	Earliest_Year: 1826
#	Most_Recent_Year: 1993
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"3.25152097698","T2":"14.9470522969","M1":"0.0231311470199","M2":"0.547412287368"}}
#--------------------
# Species
#	Species_Name: Scots pine
#	Species_Code: PISY
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1826	0.828
1827	0.642
1828	0.827
1829	0.803
1830	0.879
1831	0.721
1832	0.329
1833	0.366
1834	0.543
1835	0.432
1836	0.395
1837	0.504
1838	0.621
1839	0.535
1840	0.852
1841	0.735
1842	0.556
1843	0.584
1844	0.791
1845	0.434
1846	0.705
1847	0.725
1848	1.002
1849	1.142
1850	0.975
1851	1.179
1852	0.87
1853	0.719
1854	1.125
1855	0.878
1856	1.13
1857	1.301
1858	0.883
1859	0.879
1860	1.141
1861	1.26
1862	1.537
1863	1.337
1864	1.157
1865	1.554
1866	1.382
1867	1.095
1868	1.079
1869	1.149
1870	1.304
1871	1.192
1872	0.953
1873	1.301
1874	1.021
1875	0.607
1876	0.734
1877	0.696
1878	0.786
1879	1.042
1880	1.132
1881	0.998
1882	1.01
1883	0.913
1884	1.024
1885	0.947
1886	1.249
1887	1.078
1888	0.957
1889	0.574
1890	1.163
1891	1.157
1892	1.414
1893	1.214
1894	1.333
1895	1.062
1896	0.877
1897	0.869
1898	0.666
1899	0.719
1900	0.636
1901	0.948
1902	1.054
1903	1.363
1904	1.406
1905	1.415
1906	1.216
1907	1.226
1908	0.875
1909	0.839
1910	0.651
1911	0.733
1912	0.852
1913	0.847
1914	0.91
1915	1.204
1916	0.81
1917	0.657
1918	0.731
1919	0.59
1920	0.814
1921	1.076
1922	1.321
1923	1.333
1924	1.631
1925	1.427
1926	0.892
1927	1.061
1928	0.72
1929	0.677
1930	0.639
1931	0.481
1932	0.698
1933	0.605
1934	1.008
1935	1.012
1936	0.865
1937	1.057
1938	1.086
1939	0.646
1940	0.543
1941	0.646
1942	0.525
1943	0.882
1944	1.194
1945	1.273
1946	1.408
1947	1.104
1948	1.067
1949	1.172
1950	1.3
1951	1.045
1952	1.171
1953	1.249
1954	1.257
1955	0.864
1956	0.824
1957	1.411
1958	1.43
1959	0.757
1960	0.74
1961	0.618
1962	0.6
1963	0.584
1964	0.586
1965	0.646
1966	0.687
1967	0.89
1968	0.749
1969	0.594
1970	0.677
1971	0.975
1972	1.001
1973	0.753
1974	0.926
1975	0.944
1976	1.163
1977	0.966
1978	1.082
1979	1.26
1980	1.024
1981	1.23
1982	1.491
1983	1.332
1984	0.797
1985	1.292
1986	1.114
1987	1.308
1988	1.304
1989	0.974
1990	1.129
1991	1.024
1992	0.544
1993	1.0
