# europe_fran011 - L'Orgere B - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: europe_fran011 - L'Orgere B - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: L'Orgere B
#	Location:
#	Country: France
#	Northernmost_Latitude: 45.22
#	Southernmost_Latitude: 45.22
#	Easternmost_Longitude: 6.68
#	Westernmost_Longitude: 6.68
#	Elevation: 2100 m
#--------------------
# Data_Collection
#	Collection_Name: europe_fran011B
#	Earliest_Year: 1516
#	Most_Recent_Year: 1973
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"5.33616430101","T2":"17.17991427","M1":"0.0226673635477","M2":"0.404432157157"}}
#--------------------
# Species
#	Species_Name: European larch
#	Species_Code: LADE
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1516	0.994
1517	0.959
1518	1.176
1519	1.045
1520	0.68
1521	1.049
1522	0.936
1523	0.771
1524	0.931
1525	1.275
1526	0.895
1527	0.783
1528	0.951
1529	0.945
1530	0.562
1531	0.925
1532	1.072
1533	0.862
1534	1.06
1535	1.146
1536	0.788
1537	0.723
1538	0.661
1539	1.189
1540	1.249
1541	1.018
1542	0.684
1543	0.791
1544	0.775
1545	1.02
1546	0.851
1547	0.735
1548	1.088
1549	1.049
1550	1.495
1551	1.385
1552	1.42
1553	1.143
1554	0.791
1555	1.053
1556	1.293
1557	1.3
1558	1.144
1559	1.047
1560	0.999
1561	1.136
1562	1.055
1563	1.095
1564	1.108
1565	0.969
1566	1.283
1567	1.199
1568	1.293
1569	1.062
1570	0.857
1571	0.712
1572	0.964
1573	0.816
1574	0.906
1575	1.135
1576	1.006
1577	0.902
1578	1.088
1579	0.52
1580	0.495
1581	0.787
1582	0.943
1583	1.272
1584	1.477
1585	1.376
1586	1.351
1587	1.216
1588	0.73
1589	0.97
1590	1.024
1591	0.937
1592	1.016
1593	1.016
1594	0.836
1595	1.138
1596	0.914
1597	1.091
1598	0.798
1599	0.739
1600	0.914
1601	0.727
1602	0.764
1603	0.852
1604	1.012
1605	0.991
1606	0.946
1607	1.078
1608	1.026
1609	1.131
1610	1.271
1611	1.203
1612	0.951
1613	1.154
1614	1.32
1615	1.295
1616	1.464
1617	1.201
1618	1.048
1619	1.239
1620	1.08
1621	0.983
1622	1.059
1623	1.232
1624	0.973
1625	1.104
1626	0.843
1627	1.037
1628	0.574
1629	0.982
1630	1.128
1631	1.105
1632	0.937
1633	0.953
1634	0.881
1635	1.263
1636	1.021
1637	1.15
1638	1.219
1639	0.531
1640	0.825
1641	0.647
1642	0.542
1643	0.924
1644	0.689
1645	0.855
1646	0.772
1647	0.593
1648	0.965
1649	1.032
1650	1.091
1651	1.09
1652	0.888
1653	0.89
1654	0.85
1655	1.276
1656	1.324
1657	1.204
1658	1.154
1659	0.853
1660	0.475
1661	1.365
1662	1.154
1663	1.077
1664	1.411
1665	1.132
1666	0.932
1667	0.78
1668	0.84
1669	1.261
1670	1.003
1671	1.112
1672	0.938
1673	1.077
1674	1.156
1675	0.468
1676	0.746
1677	0.44
1678	0.601
1679	0.967
1680	0.993
1681	1.16
1682	1.245
1683	1.26
1684	1.436
1685	0.374
1686	0.594
1687	0.62
1688	0.696
1689	0.499
1690	0.66
1691	0.746
1692	0.713
1693	0.578
1694	0.78
1695	0.683
1696	0.55
1697	0.768
1698	0.775
1699	0.85
1700	0.966
1701	0.697
1702	0.841
1703	0.83
1704	0.99
1705	1.006
1706	1.231
1707	1.385
1708	0.89
1709	0.776
1710	1.015
1711	0.975
1712	1.101
1713	1.087
1714	1.281
1715	0.967
1716	1.208
1717	0.952
1718	1.323
1719	1.429
1720	1.7
1721	1.072
1722	1.401
1723	1.021
1724	1.673
1725	1.122
1726	1.211
1727	1.298
1728	1.729
1729	1.312
1730	0.93
1731	1.097
1732	0.684
1733	1.003
1734	1.034
1735	0.819
1736	0.943
1737	0.968
1738	0.965
1739	1.477
1740	1.09
1741	0.963
1742	0.894
1743	0.747
1744	0.958
1745	0.893
1746	1.19
1747	0.952
1748	1.148
1749	0.746
1750	0.684
1751	1.014
1752	0.921
1753	0.914
1754	0.936
1755	1.044
1756	1.078
1757	1.121
1758	0.656
1759	0.73
1760	1.06
1761	1.042
1762	1.006
1763	1.078
1764	1.343
1765	0.867
1766	1.067
1767	1.163
1768	1.078
1769	1.315
1770	1.177
1771	0.809
1772	1.021
1773	0.928
1774	0.95
1775	1.024
1776	1.017
1777	0.714
1778	0.908
1779	0.602
1780	1.218
1781	1.037
1782	1.128
1783	0.869
1784	1.017
1785	0.894
1786	1.088
1787	0.943
1788	1.113
1789	0.756
1790	0.731
1791	0.939
1792	0.999
1793	0.934
1794	0.891
