# europe_germ004 - Barkhausen - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: europe_germ004 - Barkhausen - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Barkhausen
#	Location:
#	Country: Germany
#	Northernmost_Latitude: 52.25
#	Southernmost_Latitude: 52.25
#	Easternmost_Longitude: 8.9
#	Westernmost_Longitude: 8.9
#	Elevation: 43 m
#--------------------
# Data_Collection
#	Collection_Name: europe_germ004B
#	Earliest_Year: 1854
#	Most_Recent_Year: 1972
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"6.21454744646","T2":"18.8789721","M1":"0.0225000171565","M2":"0.372382085885"}}
#--------------------
# Species
#	Species_Name: English oak
#	Species_Code: QURO
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1854	0.924
1855	0.757
1856	0.77
1857	1.131
1858	1.101
1859	1.068
1860	0.816
1861	0.835
1862	0.992
1863	1.152
1864	0.929
1865	1.369
1866	1.094
1867	1.505
1868	1.34
1869	1.067
1870	1.471
1871	1.066
1872	0.854
1873	0.986
1874	0.356
1875	0.34
1876	0.432
1877	0.564
1878	1.039
1879	0.98
1880	0.923
1881	0.857
1882	0.634
1883	0.848
1884	1.069
1885	0.97
1886	1.097
1887	0.916
1888	1.099
1889	0.996
1890	0.792
1891	0.698
1892	1.219
1893	1.094
1894	0.961
1895	1.186
1896	1.193
1897	1.184
1898	0.919
1899	1.101
1900	0.816
1901	0.746
1902	0.717
1903	1.299
1904	1.077
1905	0.922
1906	0.935
1907	1.233
1908	1.216
1909	0.628
1910	0.701
1911	1.032
1912	1.188
1913	1.084
1914	1.409
1915	1.22
1916	1.168
1917	1.784
1918	0.902
1919	1.038
1920	1.16
1921	0.85
1922	1.368
1923	1.194
1924	1.253
1925	0.583
1926	0.549
1927	0.695
1928	0.451
1929	0.556
1930	0.637
1931	0.941
1932	0.957
1933	0.924
1934	0.969
1935	0.789
1936	0.703
1937	0.696
1938	0.689
1939	0.624
1940	0.566
1941	0.645
1942	0.818
1943	1.123
1944	1.022
1945	1.459
1946	1.571
1947	0.946
1948	1.248
1949	1.49
1950	2.179
1951	1.174
1952	1.077
1953	1.329
1954	0.82
1955	0.823
1956	0.598
1957	0.494
1958	0.483
1959	0.351
1960	0.466
1961	0.699
1962	0.872
1963	0.805
1964	0.827
1965	0.971
1966	1.276
1967	1.643
1968	1.407
1969	1.011
1970	1.28
1971	1.418
1972	1.379
